#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
##################################################################################;;;;;;;;;;;X
#  Event Texts;;;;;;;;;;;X
##################################################################################;;;;;;;;;;;X
ELECTION_TITLE;選挙;Election Times;;;;;;;;;X
ELECTION_DESC;民主主義国家では、政府が期待どおりの仕事をしているかどうか、国民の意見を問う選挙を実施しなければならない。1期以上同じ政権の人気が持続するのは稀で、定期的に野党と政権交代が起こる。;Any Democratic country must hold elections to allow the population to express their views on the performance of the government. Incumbent governments are rarely popular after more than one term in office, and are regularly replaced the party that opposes them.;;;;;;;;;X
ELECT_A;左派を選ぶ;Elect Left;;;;;;;;;X
ELECT_B;右派を選ぶ;Elect Right;;;;;;;;;X
ELECT_UK_1A;保守党を選ぶ;Elect Conservative Party;;;;;;;;;X
ELECT_UK_1B;労働党を選ぶ;Elect Labour Party;;;;;;;;;X
ACTION_NAME_DAMN;なんてこった！;Damn!;;;;;;;;;X
##;;;;;;;;;;;X
EVT_3500_NAME;イタリアの最後通牒;Italian Ultimatum;;;;;;;;;X
EVT_3500_DESC;1939年3月25日、イタリアはアルバニアの首都ティラナに、イタリアによる占領を受け入れろという内容の最後通牒を突きつけた。さらにその裏ではアルバニアのゾグ国王がイタリアによるアルバニアの完全占領ならびに植民地化に反対しないよう、賄賂で買収しようとした。だが国王がこの提案を拒絶すると、ムッソリーニは1939年4月7日にアルバニアへの侵略を開始する。ドゥラスなど一部の地域でアルバニア軍による頑強な抵抗が見られたものの、アルバ二ア全土は瞬く間にイタリア軍の手に落ちた。イタリアの操り人形になることを嫌ったゾグ国王は、ゲラルディナ・アポニ王妃や幼いスカンガル王子とともにギリシャに逃れ、最終的にロンドンに亡命した。4月12日にアルバニア議会は同国のイタリアへの併合を可決し、イタリア国王ヴィットリオ・エマヌエーレ3世をアルバニアの新たな王とする。これに続いてイタリアはシェフクト・ヴェルラチを首班とするファシスト政権を擁立し、まもなくアルバニア全軍と外交団をイタリア軍および政府に吸収した。;Italy delivered Tirane an ultimatum on March 25,1939, demanding that it accede to Italy's occupation of Albania. Zog refused to accept money in exchange for countenancing a full Italian takeover and colonization of Albania, and on April 7,1939, Mussolini's troops invaded Albania. Despite some stubborn resistance, especially at Durres, the Italians made short shrift of the Albanians. Unwilling to become an Italian puppet, King Zog, his wife, Queen Geraldine Apponyi, and their infant son Skander fled to Greece and eventually to London. On April 12, the Albanian parliament voted to unite the country with Italy. Victor Emmanuel III took the Albanian crown, and the Italians set up a fascist government under Shefqet Verlaci and soon absorbed Albania's military and diplomatic service into Italy's.;;;;;;;;;X
ACTIONNAME3500A;断固拒否！;Never!;;;;;;;;;X
ACTIONNAME3500B;よかろう。（ゲーム終了）;Very well. (Game Over);;;;;;;;;X
EVT_2100_NAME;オーストリア併合;Anschluss;;;;;;;;;X
