MODEL_AFG_4_0;CV-33;CV-33;;;;;;;;;X
MODEL_AFG_4_1;LT vs.35;LT vs.35;;;;;;;;;X
MODEL_AFG_4_2;BT-7;BT-7;;;;;;;;;X
MODEL_AFG_5_0;T-18;T-18;;;;;;;;;X
MODEL_AFG_5_1;T-28;T-28;;;;;;;;;X
MODEL_AFG_5_2;BT-7M;BT-7M;;;;;;;;;X
MODEL_AFG_5_3;T-34/76;T-34/76;;;;;;;;;X
MODEL_AFG_5_4;T-34/85;T-34/85;;;;;;;;;X
MODEL_AFG_13_0;ホーカー・ハインド;Hawker Hind;;;;;;;;;X
MODEL_AFG_17_0;ブレダ Ba.25;Breda Ba.25;;;;;;;;;X
MODEL_ALB_4_0;CV-35;CV-35;;;;;;;;;X
MODEL_ALB_4_1;L3/38;L.3/38;;;;;;;;;X
MODEL_ALB_4_2;L6/40;L.6/40;;;;;;;;;X
MODEL_ALB_5_0;フィアット 2000;Fiat 2000;;;;;;;;;X
MODEL_ALB_5_1;M11/39;M.11/39;;;;;;;;;X
MODEL_ALB_5_2;M13/40;M.13/40;;;;;;;;;X
MODEL_ALB_5_3;M15/42;M.15/42;;;;;;;;;X
MODEL_ALB_5_4;M18/43 サハリアノ;M.18/43 Sahariano;;;;;;;;;X
MODEL_ARG_4_0;M1A2;M1A2;;;;;;;;;X
MODEL_ARG_4_1;L-60S;L-60S;;;;;;;;;X
MODEL_ARG_4_2;LT vz 38;LT vz. 38;;;;;;;;;X
MODEL_ARG_5_0;ルノー FT-17;Renault FT17;;;;;;;;;X
MODEL_ARG_5_1;T4E1;T4E1;;;;;;;;;X
MODEL_ARG_5_2;ナウエル D.L.43;Nahuel D.L.43;;;;;;;;;X
MODEL_ARG_5_3;M4A1 シャーマン;M4A1 Sherman;;;;;;;;;X
MODEL_ARG_5_4;M4/E8 シャーマン;M4/E8 Sherman;;;;;;;;;X
MODEL_ARG_5_5;M26 パーシング;M26 Pershing;;;;;;;;;X
MODEL_ARG_12_3;FMA I.Ae.33 プルキ II;FMA I.Ae.33 Pulqui II;;;;;;;;;X
MODEL_ARG_13_0;カーチス・ホーク III;Curtiss Hawk III;;;;;;;;;X
MODEL_ARG_13_1;カーチス・ホーク 75H;Curtiss Hawk 75H;;;;;;;;;X
MODEL_ARG_13_2;FMA I.Ae-22 DL;FMA I.Ae-22 DL;;;;;;;;;X
MODEL_ARG_13_8;FMA I.Ae.27 プルキ;FMA I.Ae.27 Pulqui;;;;;;;;;X
MODEL_ARG_16_0;コンソリデーテッド P2Y-3A レンジャー;Consolidated P2Y-3A Ranger;;;;;;;;;X
MODEL_ARG_17_0;FMA Ae-MB2 ボンビ;FMA Ae-MB2 Bombi;;;;;;;;;X
MODEL_ARG_18_0;ダグラス C-32;Douglas C-32;;;;;;;;;X
