#;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;ｧW = white text;;;;;;;;;;X
##;ｧY = orange text;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
#LANGUAGE;English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
##;;;;;;;;;;;X
RT_USER_1;騎兵戦術;User tech component 1;;;;;;;;;X
RT_USER_2;ユーザー定義;User tech component 2;;;;;;;;;X
RT_USER_3;ユーザー定義;User tech component 3;;;;;;;;;X
RT_USER_4;ユーザー定義;User tech component 4;;;;;;;;;X
RT_USER_5;ユーザー定義;User tech component 5;;;;;;;;;X
RT_USER_6;ユーザー定義;User tech component 6;;;;;;;;;X
RT_USER_7;ユーザー定義;User tech component 7;;;;;;;;;X
RT_USER_8;ユーザー定義;User tech component 8;;;;;;;;;X
RT_USER_9;ユーザー定義;User tech component 9;;;;;;;;;X
RT_USER_10;ユーザー定義;User tech component 10;;;;;;;;;X
RT_USER_11;ユーザー定義;User tech component 11;;;;;;;;;X
RT_USER_12;ユーザー定義;User tech component 12;;;;;;;;;X
RT_USER_13;ユーザー定義;User tech component 13;;;;;;;;;X
RT_USER_14;ユーザー定義;User tech component 14;;;;;;;;;X
RT_USER_15;ユーザー定義;User tech component 15;;;;;;;;;X
RT_USER_16;ユーザー定義;User tech component 16;;;;;;;;;X
RT_USER_17;ユーザー定義 17;User tech component 17;;;;;;;;;X
RT_USER_18;ユーザー定義 18;User tech component 18;;;;;;;;;X
RT_USER_19;ユーザー定義 19;User tech component 19;;;;;;;;;X
RT_USER_20;ユーザー定義 20;User tech component 20;;;;;;;;;X
RT_USER_21;ユーザー定義 21;User tech component 21;;;;;;;;;X
RT_USER_22;ユーザー定義 22;User tech component 22;;;;;;;;;X
RT_USER_23;ユーザー定義 23;User tech component 23;;;;;;;;;X
RT_USER_24;ユーザー定義 24;User tech component 24;;;;;;;;;X
RT_USER_25;ユーザー定義 25;User tech component 25;;;;;;;;;X
RT_USER_26;ユーザー定義 26;User tech component 26;;;;;;;;;X
RT_USER_27;ユーザー定義 27;User tech component 27;;;;;;;;;X
RT_USER_28;ユーザー定義 28;User tech component 28;;;;;;;;;X
RT_USER_29;ユーザー定義 29;User tech component 29;;;;;;;;;X
RT_USER_30;ユーザー定義 30;User tech component 30;;;;;;;;;X
RT_USER_31;ユーザー定義 31;User tech component 31;;;;;;;;;X
RT_USER_32;ユーザー定義 32;User tech component 32;;;;;;;;;X
RT_USER_33;ユーザー定義 33;User tech component 33;;;;;;;;;X
RT_USER_34;ユーザー定義 34;User tech component 34;;;;;;;;;X
RT_USER_35;ユーザー定義 35;User tech component 35;;;;;;;;;X
RT_USER_36;ユーザー定義 36;User tech component 36;;;;;;;;;X
RT_USER_37;ユーザー定義 37;User tech component 37;;;;;;;;;X
RT_USER_38;ユーザー定義 38;User tech component 38;;;;;;;;;X
RT_USER_39;ユーザー定義 39;User tech component 39;;;;;;;;;X
RT_USER_40;ユーザー定義 40;User tech component 40;;;;;;;;;X
RT_USER_41;ユーザー定義 41;User tech component 41;;;;;;;;;X
RT_USER_42;ユーザー定義 42;User tech component 42;;;;;;;;;X
RT_USER_43;ユーザー定義 43;User tech component 43;;;;;;;;;X
RT_USER_44;ユーザー定義 44;User tech component 44;;;;;;;;;X
RT_USER_45;ユーザー定義 45;User tech component 45;;;;;;;;;X
RT_USER_46;ユーザー定義 46;User tech component 46;;;;;;;;;X
