;;;;;;;;;;;X
;;;;;;;;;;;X
;;;;;;;;;;;X
;;;;;;;;;;;X
;;;;;;;;;;;X
NAME_INFANTRY;歩兵;Infantry;;;;;;;;;X
NAME_CAVALRY;騎兵;Cavalry;;;;;;;;;X
NAME_MOTORIZED;自動車化歩兵;Motorized;;;;;;;;;X
NAME_MECHANIZED;機械化歩兵;Mechanized;;;;;;;;;X
NAME_LIGHT_ARMOR;軽戦車;Light Armored;;;;;;;;;X
NAME_ARMOR;戦車;Armored;;;;;;;;;X
NAME_PARATROOPER;空挺兵;Paratroops;;;;;;;;;X
NAME_MARINE;海兵;Marines;;;;;;;;;X
NAME_BERGSJAEGER;山岳兵;Mountain;;;;;;;;;X
NAME_MILITIA;民兵;Militia;;;;;;;;;X
NAME_GARRISON;守備師団;Garrison;;;;;;;;;X
NAME_HQ;司令部;HQ;;;;;;;;;X
NAME_FIGHTER;戦闘機;Fighters;;;;;;;;;X
NAME_INTERCEPTOR;迎撃機;Interceptors;;;;;;;;;X
NAME_MULTI_ROLE;戦闘機;Fighters;;;;;;;;;X
NAME_ESCORT;護衛戦闘機;Escort Fighters;;;;;;;;;X
NAME_STRATEGIC_BOMBER;戦略爆撃機;Strategic Bombers;;;;;;;;;X
NAME_TACTICAL_BOMBER;戦術爆撃機;Tactical Bombers;;;;;;;;;X
NAME_NAVAL_BOMBER;海軍爆撃機;Naval Bomber;;;;;;;;;X
NAME_TRANSPORT_PLANE;輸送機;Transport Planes;;;;;;;;;X
NAME_BATTLESHIP;戦艦;Battleship;;;;;;;;;X
NAME_LIGHT_CRUISER;軽巡洋艦;Light Cruiser;;;;;;;;;X
NAME_HEAVY_CRUISER;重巡洋艦;Heavy Cruiser;;;;;;;;;X
NAME_BATTLECRUISER;巡洋戦艦;Battlecruiser;;;;;;;;;X
NAME_DESTROYER;駆逐艦;Destroyers;;;;;;;;;X
NAME_CARRIER;空母;Carrier;;;;;;;;;X
NAME_SUBMARINE;潜水艦;Submarines;;;;;;;;;X
NAME_TRANSPORT;輸送艦;Transports;;;;;;;;;X
NAME_FLYING_BOMB;飛行爆弾;Flying Bomb;;;;;;;;;X
NAME_FLYING_ROCKET;戦略ロケット;Strategic Rocket;;;;;;;;;X
NAME_BALLISTIC_MISSILE;ミサイル;Missile;;;;;;;;;X
NAME_ICBM;大陸間弾道ミサイル;ICBM;;;;;;;;;X
NAME_ARTILLERY;砲兵旅団;Artillery Brigade;;;;;;;;;X
NAME_SP_ARTILLERY;自走砲;Self-Propelled Artillery;;;;;;;;;X
NAME_ROCKET_ARTILLERY;ロケット砲;Rocket Artillery;;;;;;;;;X
NAME_SP_ROCKET_ARTILLERY;自走ロケット砲;Self-Propelled Rocket Artillery;;;;;;;;;X
NAME_TANK_DESTROYER;駆逐戦車;Tank Destroyer;;;;;;;;;X
NAME_HEAVY_ARMOR;重戦車;Heavy Armored;;;;;;;;;X
NAME_SUPER_HEAVY_ARMOR;超重戦車;Super Heavy Armored;;;;;;;;;X
NAME_ARMORED_CAR;装甲車;Armored Car;;;;;;;;;X
NAME_POLICE;憲兵;Police;;;;;;;;;X
NAME_ANTITANK;対戦車兵旅団;Anti-tank Brigade;;;;;;;;;X
NAME_ANTIAIR;対空砲旅団;Anti-aircraft Brigade;;;;;;;;;X
NAME_ENGINEER;工兵旅団;Engineer Brigade;;;;;;;;;X
NAME_CAS;近接航空支援機;Close Air Support;;;;;;;;;X
NAME_CAG;空母航空隊;Carrier Air Group;;;;;;;;;X
SNAME_ARTILLERY;砲兵旅;Art;;;;;;;;;X
SNAME_SP_ARTILLERY;自走砲;SP Art;;;;;;;;;X
SNAME_ROCKET_ARTILLERY;ロケ砲;R Art;;;;;;;;;X
SNAME_SP_ROCKET_ARTILLERY;自ﾛｹ砲;SP R Art;;;;;;;;;X
SNAME_TANK_DESTROYER;駆逐戦;SP AT;;;;;;;;;X
SNAME_HEAVY_ARMOR;重戦車;H Arm;;;;;;;;;X
SNAME_SUPER_HEAVY_ARMOR;超重戦;SH Arm;;;;;;;;;X
SNAME_ARMORED_CAR;装甲車;AC;;;;;;;;;X
SNAME_ANTITANK;対戦車;AT;;;;;;;;;X
SNAME_ANTIAIR;対空;AA;;;;;;;;;X
SNAME_ENGINEER;工兵;Eng;;;;;;;;;X
SNAME_POLICE;憲兵;Pol;;;;;;;;;X
SNAME_CAS;近接支;CAS;;;;;;;;;X
SNAME_CAG;艦載機;CAG;;;;;;;;;X
SNAME_INFANTRY;歩兵;Inf;;;;;;;;;X
SNAME_CAVALRY;騎兵;Cav;;;;;;;;;X
SNAME_MOTORIZED;自動車;Mot;;;;;;;;;X
SNAME_MECHANIZED;機械化;Mec;;;;;;;;;X
SNAME_LIGHT_ARMOR;軽戦車;L Arm;;;;;;;;;X
