#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X;
#;;;;;;;;;;;X;
# Countries!;;;;;;;;;;;X;
#;;;;;;;;;;;X;
ETH;エチオピア;;;;;;;;;;X;
IND;インド;;;;;;;;;;X;
SPR;スペイン共和国;;;;;;;;;;X;
CHC;中国共産党;;;;;;;;;;X;
KOR;韓国;;;;;;;;;;X;
INO;インドネシア;;;;;;;;;;X;
CRO;クロアチア;;;;;;;;;;X;
SLO;スロヴァキア;;;;;;;;;;X;
ALB;アルバニア;;;;;;;;;;X;
SIA;タイ;;;;;;;;;;X;
SAU;サウジアラビア;;;;;;;;;;X;
MON;モンゴル;;;;;;;;;;X;
GUA;グアテマラ;;;;;;;;;;X
COS;コスタリカ;;;;;;;;;;X
NIC;ニカラグア;;;;;;;;;;X
DOM;ドミニカ共和国;;;;;;;;;;X
PHI;フィリピン;;;;;;;;;;X
BHU;ブータン;;;;;;;;;;x
BRU;ブルネイ;;;;;;;;;;x
EGY;エジプト;;;;;;;;;;x
SAL;エルサルバドル;;;;;;;;;;x
HAI;ハイチ;;;;;;;;;;x
HON;ホンジュラス;;;;;;;;;;x
ICL;アイスランド;;;;;;;;;;x
IRQ;イラク;;;;;;;;;;x
JOR;ヨルダン;;;;;;;;;;x
LEB;レバノン;;;;;;;;;;x
LIB;リベリア;;;;;;;;;;x
LUX;ルクセンブルク;;;;;;;;;;x
MIN;（未定義国家）;;;;;;;;;;X
ENG;イギリス;;;;;;;;;;X
FRA;フランス;;;;;;;;;;X
GER;ドイツ;;;;;;;;;;X
HOL;オランダ;;;;;;;;;;X
POR;ポルトガル;;;;;;;;;;X
ITA;イタリア;;;;;;;;;;X
SOV;ソビエト連邦;;;;;;;;;;X
SPA;スペイン;;;;;;;;;;X
SWE;スウェーデン;;;;;;;;;;X
TUR;トルコ;;;;;;;;;;X
JAP;日本;;;;;;;;;;X
CHI;中華民国;;;;;;;;;;X
POL;ポーランド;;;;;;;;;;X
NOR;ノルウェー;;;;;;;;;;X
BEL;ベルギー;;;;;;;;;;X
DEN;デンマーク;;;;;;;;;;X
SCH;スイス;;;;;;;;;;X
CUB;キューバ;;;;;;;;;;X
GRE;ギリシア;;;;;;;;;;X
BUL;ブルガリア;;;;;;;;;;X
YUG;ユーゴスラビア;;;;;;;;;;X
HUN;ハンガリー;;;;;;;;;;X
ROM;ルーマニア;;;;;;;;;;X
AUS;オーストリア;;;;;;;;;;X
CZE;チェコスロヴァキア;;;;;;;;;;X
IRE;アイルランド;;;;;;;;;;X
EST;エストニア;;;;;;;;;;X
LAT;ラトヴィア;;;;;;;;;;X
LIT;リトアニア;;;;;;;;;;X
FIN;フィンランド;;;;;;;;;;X
PER;イラン;;;;;;;;;;X
AFG;アフガニスタン;;;;;;;;;;X
BRA;ブラジル;;;;;;;;;;X
ARG;アルゼンチン;;;;;;;;;;X
MEX;メキシコ;;;;;;;;;;X
COL;コロンビア;;;;;;;;;;X
VEN;ベネズエラ;;;;;;;;;;X
PRU;ペルー;;;;;;;;;;X
ECU;エクアドル;;;;;;;;;;X
URU;ウルグアイ;;;;;;;;;;X
PAR;パラグアイ;;;;;;;;;;X
BOL;ボリビア;;;;;;;;;;X
NZL;ニュージーランド;;;;;;;;;;X
CAN;カナダ;;;;;;;;;;X
AST;オーストラリア;;;;;;;;;;X
VIC;フランス国;;;;;;;;;;X
MAN;満洲;;;;;;;;;;X;
USA;アメリカ合衆国;;;;;;;;;;X;
CHL;チリ;;;;;;;;;;X;
MTN;モンテネグロ;;;;;;;;;;x;
NEP;ネパール;;;;;;;;;;x;
OMN;オマーン;;;;;;;;;;x;
PAN;パナマ;;;;;;;;;;x;
SAR;サラワク;;;;;;;;;;x;
SER;セルビア;;;;;;;;;;x;
SIK;新疆;;;;;;;;;;x;
SAF;南アフリカ;;;;;;;;;;X;
SYR;シリア;;;;;;;;;;X;
TAN;タンヌ・トゥヴァ;;;;;;;;;;X;
TIB;チベット;;;;;;;;;;X;
YEM;イエメン;;;;;;;;;;X;
ALG;アルジェリア;;;;;;;;;;X;
ARM;アルメニア;;;;;;;;;;X
AZB;アゼルバイジャン;;;;;;;;;;X
BUR;ビルマ;;;;;;;;;;X
BLR;ベラルーシ;;;;;;;;;;X
GEO;グルジア;;;;;;;;;;X
IDC;インドシナ;;;;;;;;;;X
KAZ;カザフスタン;;;;;;;;;;X
KYG;キルギスタン;;;;;;;;;;X
LBY;リビア;;;;;;;;;;X
MLY;マレーシア;;;;;;;;;;X
MOR;モロッコ;;;;;;;;;;X
PAL;パレスチナ;;;;;;;;;;X
RUS;ロシア;;;;;;;;;;X
SIB;シベリア;;;;;;;;;;X
SLV;スロヴェニア;;;;;;;;;;X
TAJ;タジキスタン;;;;;;;;;;X
TUN;チュニジア;;;;;;;;;;X;
TRK;トルクメニスタン;;;;;;;;;;X;
UKR;ウクライナ;;;;;;;;;;X;
UZB;ウズベキスタン;;;;;;;;;;X;
ANG;アンゴラ;;;;;;;;;;X;
ARA;アラブ連盟国;;;;;;;;;;X;
BEN;ベニン・サヘル;;;;;;;;;;X;
BOS;ボスニア;;;;;;;;;;X;
CAL;カリフォルニア;;;;;;;;;;X;
CAM;カメルーン;;;;;;;;;;X;
CGX;広西軍閥;;;;;;;;;;X;
CMB;カンボジア;;;;;;;;;;X;
CON;コンゴ;;;;;;;;;;X;
CSA;アメリカ連合国;;;;;;;;;;X;
CSX;山西軍閥;;;;;;;;;;X;
CXB;西北三馬;;;;;;;;;;X;
CYN;雲南;;;;;;;;;;X;
CYP;キプロス;;;;;;;;;;X;
DDR;ドイツ民主共和国;;;;;;;;;;X;
DFR;ドイツ連邦共和国;;;;;;;;;;X;
EAF;東アフリカ連合;;;;;;;;;;X;
EQA;赤道アフリカ;;;;;;;;;;X;
EUS;エウスカディ;;;;;;;;;;X;
FLA;フランドル;;;;;;;;;;X;
GAB;ガボン;;;;;;;;;;X;
GLD;ゴールドコースト;;;;;;;;;;X;
GUI;ギニア;;;;;;;;;;X;
GUY;ガイアナ;;;;;;;;;;X;
ISR;イスラエル;;;;;;;;;;X;
KUR;クルジスタン;;;;;;;;;;X;
LAO;ラオス;;;;;;;;;;X;
MAD;マダガスカル;;;;;;;;;;X;
MAL;マリ連邦;;;;;;;;;;X;
MEN;蒙古;;;;;;;;;;X;
MOZ;モザンビーク;;;;;;;;;;X;
NAM;ナミビア;;;;;;;;;;X;
NIG;ナイジェリア;;;;;;;;;;X;
OTT;オスマントルコ;;;;;;;;;;X;
PAK;パキスタン;;;;;;;;;;X;
PRI;プリモルスク;;;;;;;;;;X;
PRK;朝鮮;;;;;;;;;;X;
QUE;ケベック;;;;;;;;;;X;
RHO;ローデシア・ニヤサランド連邦;;;;;;;;;;X;
RSI;イタリア社会共和国;;;;;;;;;;X;
SCA;スカンディナヴィア;;;;;;;;;;X;
SCO;スコットランド;;;;;;;;;;X;
SIE;シエラレオネ;;;;;;;;;;X;
SOM;ソマリア;;;;;;;;;;X;
SUD;スーダン;;;;;;;;;;X
TEX;テキサス;;;;;;;;;;X
TRA;トランスウラル共和国;;;;;;;;;;X
VIE;ベトナム;;;;;;;;;;X
WLL;ワロニア;;;;;;;;;;X
ALS;連合国;;;;;;;;;;X
AXI;枢軸国;;;;;;;;;;X
ALI;侵略者;;;;;;;;;;X
U00;ユーザー定義用;User Defined;;;;;;;;;X
U01;ユーザー定義用;User Defined;;;;;;;;;X
U02;ユーザー定義用;User Defined;;;;;;;;;X
U03;ユーザー定義用;User Defined;;;;;;;;;X
U04;ユーザー定義用;User Defined;;;;;;;;;X
U05;ユーザー定義用;User Defined;;;;;;;;;X
U06;ユーザー定義用;User Defined;;;;;;;;;X
U07;ユーザー定義用;User Defined;;;;;;;;;X
U08;ユーザー定義用;User Defined;;;;;;;;;X
U09;ユーザー定義用;User Defined;;;;;;;;;X
U10;ユーザー定義用;User Defined;;;;;;;;;X
U11;ユーザー定義用;User Defined;;;;;;;;;X
U12;ユーザー定義用;User Defined;;;;;;;;;X
U13;ユーザー定義用;User Defined;;;;;;;;;X
U14;ユーザー定義用;User Defined;;;;;;;;;X
U15;ユーザー定義用;User Defined;;;;;;;;;X
U16;ザカフカース;;;;;;;;;;X
U17;トルキスタン;;;;;;;;;;X
U18;ユーザー定義用;User Defined;;;;;;;;;X
U19;ユーザー定義用;User Defined;;;;;;;;;X
USN;北米合衆国;;;;;;;;;;x
UAU;オーストララシア;;;;;;;;;;x
UCH;中華民国;;;;;;;;;;x
UBO;ブルボン;;;;;;;;;;x
UTC;コサック連邦;;;;;;;;;;x
UGS;スウェーデン;;;;;;;;;;x
UCS;連合帝国;;;;;;;;;;x
UIC;インドシナ;;;;;;;;;;x
UPR;プロイセン;;;;;;;;;;x
UER;ロシア帝国;;;;;;;;;;x
UTO;オスマン;;;;;;;;;;x
UIR;インド共和国;;;;;;;;;;x
UTL;自由連合;;;;;;;;;;x
UPS;PRRS;;;;;;;;;;x
UES;欧州ソヴィエト;;;;;;;;;;x
URO;ローマ;;;;;;;;;;x
UAP;APR;;;;;;;;;;x
UPE;ペルシア共和国;;;;;;;;;;x
U33;ギリシャ民主共和国;Democratic Republic of Greece;;;;;;;;;X
U70;ウガンダ;Uganda;;;;;;;;;X
U71;北アイルランド;Northern Ireland;;;;;;;;;X
U72;共産ベトナム;Communist Vietnam;;;;;;;;;X
U73;イングランド;England;;;;;;;;;X
U74;北京中華民国臨時政府;Northern China;;;;;;;;;X
U75;シンガポール;Singapore;;;;;;;;;X
U76;ウェールズ;Wales;;;;;;;;;X
U77;大コロンビア;Greater Colombia;;;;;;;;;X
U78;中央アメリカ;Central America;;;;;;;;;X
U79;西インド諸島;West Indies;;;;;;;;;X
U80;カシミール;Kashmir;;;;;;;;;X
U81;オートボルタ;Upper Volta;;;;;;;;;X
U82;中央アフリカ;Central Africa;;;;;;;;;X
U83;セイロン;Ceylon;;;;;;;;;X
U84;チャド;Chad;;;;;;;;;X
U85;コンゴ＝ブラザヴィル;Congo-Brazzaville;;;;;;;;;X
U86;ガンビア;Gambia;;;;;;;;;X
U87;南京国民政府;China-Nanking;;;;;;;;;X
U88;コートジボワール;Ivory Coast;;;;;;;;;X
U89;ジャマイカ;Jamaica;;;;;;;;;X
U90;ケニア;Kenya;;;;;;;;;X
U91;クウェート;Kuwait;;;;;;;;;X
U92;マルタ;Malta;;;;;;;;;X
U93;モーリタニア;Mauritania;;;;;;;;;X
U94;ニジェール;Niger;;;;;;;;;X
U95;ルワンダ;Rwanda;;;;;;;;;X
U96;セネガル;Senegal;;;;;;;;;X
U97;タンガニーカ;Tanganyika;;;;;;;;;X
U98;トリニダード・トバゴ;Trinidad and Tobago;;;;;;;;;X
U99;トーゴ;Togo;;;;;;;;;X
##;;;;;;;;;;;X
#  Regional definitions;;;;;;;;;;;X
##;;;;;;;;;;;X
CON_-;-;-;;;;;;;;;X
CON_Africa;アフリカ;Africa;;;;;;;;;X
CON_Asia;アジア;Asia;;;;;;;;;X
CON_Europe;ヨーロッパ;Europe;;;;;;;;;X
CON_NAmerica;北アメリカ;North America;;;;;;;;;X
CON_Oceania;オセアニア;Oceania;;;;;;;;;X
CON_SAmerica;南アメリカ;South America;;;;;;;;;X
#;;;;;;;;;;;X
AREA_-;-;-;;;;;;;;;X
AREA_ADELAIDE;アデレード;Adelaide;;;;;;;;;X
AREA_AFGHANISTAN;アフガニスタン;Afghanistan;;;;;;;;;X
AREA_AGATS;アガッツ;Agats;;;;;;;;;X
AREA_ALABAMA;アラバマ;Alabama;;;;;;;;;X
AREA_ALASKA;アラスカ;Alaska;;;;;;;;;X
AREA_ALASKAN_ARCHIPELAGO;アリューシャン東部;East Aleutians;;;;;;;;;X
AREA_ALBANIA;アルバニア;Albania;;;;;;;;;X
AREA_ALBERTA;アルバータ;Alberta;;;;;;;;;X
AREA_ALGERIAN_COAST;アルジェリア沿岸;Algerian Coast;;;;;;;;;X
AREA_ALICE_SPRINGS;アリススプリングズ;Alice Springs;;;;;;;;;X
AREA_ALPES_PROVENCE;プロヴァンス・アルプ;Alpes-Provence;;;;;;;;;X
AREA_AMUR;アムール;Amur;;;;;;;;;X
AREA_ANATOLIAN_NORTH_COAST;アナトリア北部沿岸;Anatolian North Coast;;;;;;;;;X
AREA_ANATOLIAN_SOUTH_COAST;アナトリア南部沿岸;Anatolian South Coast;;;;;;;;;X
AREA_ANGOLAN_COAST;アンゴラ沿岸;Angolan Coast;;;;;;;;;X
AREA_ANGOLAN_PLAINS;アンゴラ平原;Angolan Plains;;;;;;;;;X
AREA_ANHUI;安徽;Anhui;;;;;;;;;X
AREA_ANTILLES;アンティル諸島;Antilles;;;;;;;;;X
AREA_APPENNINE_RIDGE;アペニノ山脈;Appennine Ridge;;;;;;;;;X
AREA_AQUITAINE;アキテーヌ;Aquitaine;;;;;;;;;X
AREA_ARABIAN_DESERT;アラビア砂漠;Arabian Desert;;;;;;;;;X
AREA_ARIZONA;アリゾナ;Arizona;;;;;;;;;X
AREA_ARKANSAS;アーカンソー;Arkansas;;;;;;;;;X
AREA_ARKHANGELSK;アルハンゲリスク;Arkhangelsk;;;;;;;;;X
AREA_ARMENIA_AZERBAIJAN;アルメニア・アゼルバイジャン;Armenia-Azerbaijan;;;;;;;;;X
AREA_ASTRAKHAN;アストラハン;Astrakhan;;;;;;;;;X
AREA_ASUNCION;アスンシオン;Asuncion;;;;;;;;;X
AREA_ATTICA;アッティカ;Attica;;;;;;;;;X
AREA_AUSTRIA;オーストリア;Austria;;;;;;;;;X
AREA_BABO;バブール;Babo;;;;;;;;;X
AREA_BADEN_WURTTEMBERG;バーデン・ヴュルテンベルク;Baden-Wurttemberg;;;;;;;;;X
AREA_BAHAMAS_ISLANDS;バハマ諸島;Bahamas Islands;;;;;;;;;X
AREA_BALEARES;バレアレス;Baleares;;;;;;;;;X
AREA_BAVARIA;バイエルン;Bavaria;;;;;;;;;X
AREA_BECHUANALAND;ベチュアナランド;Bechuanaland;;;;;;;;;X
AREA_BENGAL;ベンガル西部;West Bengal;;;;;;;;;X
AREA_BENGAZI;ベンガジ;Bengazi;;;;;;;;;X
AREA_BERMUDA;バミューダ;Bermuda;;;;;;;;;X
AREA_BESSARABIA;ベッサラビア;Bessarabia;;;;;;;;;X
AREA_BOHEMIA;チェコ;Bohemia;;;;;;;;;X
AREA_BOMBAY;ボンベイ;Bombay;;;;;;;;;X
AREA_BONIN;小笠原諸島;Bonin;;;;;;;;;X
AREA_BOSNIA;ボスニア;Bosnia;;;;;;;;;X
AREA_BOSPORUS;ボスポラス海峡;Bosporus;;;;;;;;;X
AREA_BOUGAINVILLE;ソロモン諸島北部;North Solomons;;;;;;;;;X
AREA_BOURGOGNE_CHAMPAGNE;ブルゴーニュ・シャンパーニュ;Bourgogne-Champagne;;;;;;;;;X
AREA_BRANDENBURG;ブランデンブルク;Brandenburg;;;;;;;;;X
AREA_BRASILIA;ブラジリア;Brasilia;;;;;;;;;X
AREA_BREST_LITOVSK;ブレストリトフスク;Brest Litovsk;;;;;;;;;X
AREA_BRISBANE;ブリスベン;Brisbane;;;;;;;;;X
AREA_BRITISH_COLUMBIA;ブリティッシュコロンビア;British Columbia;;;;;;;;;X
