Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
5 エーリヒ・アーブラハム;1;GER;1943;1944;1945;1990;2;5;0;2;0;5;0;L1;1943;1960;x
6 カール・アルメンディンガー;2;GER;1940;1942;1943;1990;2;6;0;2;0;5;0;L2;1940;1960;x
4 クルト・アンデルゼン;3;GER;1945;1990;1990;1990;3;4;0;1;0;5;0;L3;1945;1960;x
5 ヴェルナー・アントン;4;GER;1943;1944;1990;1990;3;5;2;2;0;5;0;L4;1943;1960;x
6 カール・アルント;5;GER;1943;1944;1990;1990;2;6;4;2;0;5;0;L5;1943;1960;x
8 ヘルゲ・アウレプ;6;GER;1939;1943;1990;1990;2;8;0;2;0;5;0;L6;1939;1960;x
6 エルンスト＝ギュンター・バーデ;7;GER;1943;1944;1990;1990;3;6;130;2;0;5;0;L7;1943;1945;x
7 パウル・バーダー;8;GER;1930;1939;1990;1990;2;7;577;2;0;5;0;L8;1930;1944;x
8 ヘルマン・バルク;9;GER;1942;1943;1944;1990;2;8;128;3;0;5;0;L9;1942;1960;x
5 エーリッヒ・バラ;10;GER;1942;1990;1990;1990;3;5;0;1;0;5;0;L10;1942;1943;x
6 ヴァルター・バレンティン;11;GER;1943;1990;1990;1990;3;6;256;1;0;5;0;L11;1943;1959;x
8 フリッツ・バイエルライン;12;GER;1943;1944;1990;1990;2;8;128;2;0;5;0;L12;1943;1960;x
6 ハンス・ベーレンドルフ;13;GER;1938;1940;1941;1990;2;6;32;3;0;5;0;L13;1938;1960;x
5 ヘルマン＝ハインリッヒ・ベーレント;14;GER;1945;1990;1990;1990;3;5;2;2;0;5;0;L14;1945;1960;x
5 ハンス・ベルゲン;15;GER;1941;1943;1990;1990;2;5;2;2;0;5;0;L15;1941;1957;x
6 フリードリヒ・ベルクマン;16;GER;1930;1938;1990;1990;3;6;4;2;0;5;0;L16;1930;1941;x
5 ヴィルヘルム・ベルリン;17;GER;1940;1943;1990;1990;3;5;0;2;0;5;0;L17;1940;1960;x
6 パウル・ベッツ;18;GER;1943;1990;1990;1990;3;6;32;1;0;5;0;L18;1943;1944;x
5 ブルーノ・ビーラー;19;GER;1938;1941;1990;1990;2;5;0;2;0;5;0;L19;1938;1945;x
9 ヨハネス・ブラスコヴィッツ;20;GER;1930;1930;1939;1990;1;9;6;3;0;5;0;L20;1930;1960;x
6 ギュンター・ブルーメントリット;21;GER;1942;1943;1944;1990;2;6;1;2;0;3;0;L21;1942;1960;x
5 マックス・ボック;22;GER;1930;1938;1940;1990;2;5;0;2;0;5;0;L22;1930;1943;x
6 ハンス・ベーク＝ベーレンス;23;GER;1942;1943;1990;1990;2;6;0;2;0;5;0;L23;1942;1960;x
6 エーヘンフリード＝オスカー・ベーゲ;24;GER;1942;1943;1944;1990;2;6;0;2;0;5;0;L24;1942;1960;x
5 ヘルムート・ベールケ;25;GER;1944;1945;1990;1990;3;5;0;2;0;5;0;L25;1944;1956;x
5 アルフレート・ベーム＝テッテルバッハ;26;GER;1930;1938;1940;1990;2;5;512;1;0;5;0;L26;1930;1943;x
7 エーリッヒ・ブランデンベルガー;27;GER;1940;1942;1943;1990;2;7;128;3;0;5;0;L27;1940;1955;x
6 ヘルマン・ブライト;28;GER;1941;1942;1943;1990;3;6;128;2;0;5;0;L28;1941;1960;x
8 ブルーノ・ブラウアー;29;GER;1940;1941;1944;1990;2;8;256;3;0;5;0;L29;1940;1947;x
6 アルベルト・ブック;30;GER;1940;1990;1990;1990;3;6;4;1;0;5;0;L30;1940;1942;x
5 エルンスト・ブッファ;31;GER;1940;1943;1990;1990;3;5;2;2;0;5;0;L31;1940;1960;x
6 ヴィルヘルム・ブルクドルフ;32;GER;1942;1943;1944;1990;2;6;0;3;0;5;0;L32;1942;1960;x
8 エルンスト・ブッシュ;33;GER;1930;1938;1940;1943;2;8;9;4;0;5;0;L33;1930;1945;x
6 テオドール・ブッセ;34;GER;1943;1944;1945;1990;2;6;3;3;0;5;0;L34;1943;1960;x
6 エーリッヒ・バーレンファンガー;35;GER;1945;1990;1990;1990;3;6;2;2;0;5;0;L35;1945;1960;x
6 フランツ・ベーメ;36;GER;1930;1939;1940;1990;2;6;256;3;0;5;0;L36;1938;1947;x
6 カール・ボットヒャー;37;GER;1940;1942;1990;1990;3;6;128;1;0;5;0;L37;1940;1960;x
6 エーリッヒ・クロスナー;38;GER;1937;1939;1942;1990;2;6;256;3;0;5;0;L38;1937;1960;x
5 アレクサンダー・コンラディ;39;GER;1942;1990;1990;1990;3;5;0;1;0;5;0;L39;1942;1944;x
6 パウル・コンラート;40;GER;1942;1943;1945;1990;2;6;384;3;0;5;0;L40;1942;1960;x
6 ハンス・クラーマー;41;GER;1942;1943;1944;1990;2;6;128;2;0;5;0;L41;1942;1960;x
5 フリードリヒ＝カール・クランツ;42;GER;1938;1940;1990;1990;3;5;0;2;0;5;0;L42;1938;1941;x
7 ルートヴィヒ・クルヴェル;43;GER;1939;1941;1990;1990;3;7;128;2;0;5;0;L43;1939;1942;x
7 マクシミリアン・デ・アンジェリス;44;GER;1939;1940;1942;1990;2;7;4;3;0;5;0;L44;1939;1960;x
5 ヴァルター・チャールズ・ド・ボーリュー;45;GER;1943;1944;1990;1990;2;5;2;2;0;5;0;L45;1943;1960;x
6 カール・デッカー;46;GER;1943;1944;1945;1990;2;6;128;2;0;5;0;L46;1943;1960;x
6 エルンスト・デーナー;47;GER;1940;1942;1943;1990;2;6;2;2;0;5;0;L47;1940;1960;x
5 ルドルフ・デンメ;48;GER;1945;1990;1990;1990;3;5;32;1;0;5;0;L48;1945;1960;x
9 エドゥアルト・ディートル;49;GER;1938;1940;1942;1990;2;9;266;4;0;5;0;L49;1938;1960;x
5 アルブレヒト・ディジョン・フォン・モンテトン;50;GER;1942;1943;1990;1990;3;5;0;2;0;5;0;L50;1942;1960;x
6 アントン・ドストラー;51;GER;1941;1943;1990;1990;2;6;0;2;0;5;0;L51;1941;1960;x
7 フリードリヒ・ドルマン;52;GER;1930;1930;1940;1990;1;7;66;3;0;5;0;L52;1930;1944;x
