Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
5 ベルガモ公アダルベルト;6000;ITA;1930;1930;1930;1990;1;5;0;2;0;5;0;L6000;1930;1960;x
5 アルベルト;6001;ITA;1943;1946;1990;1990;2;5;64;2;0;5;0;L6001;1943;1960;x
3 アゴ;6002;ITA;1930;1930;1941;1990;1;3;512;1;0;4;0;L6002;1930;1960;x
6 アンブロージョ;6003;ITA;1930;1930;1938;1990;1;6;4;2;0;5;0;L6003;1930;1958;x
3 アブルッツィ公アメデオ;6004;ITA;1930;1930;1930;1990;1;3;1;1;0;5;0;L6004;1930;1942;x
4 アミコ;6005;ITA;1937;1990;1990;1990;3;4;64;0;0;2;0;L6005;1937;1943;x
3 アントネッリ;6006;ITA;1938;1990;1990;1990;3;3;0;1;0;5;0;L6006;1938;1960;x
3 ソリス;6007;ITA;1930;1940;1990;1990;3;3;513;1;0;5;0;L6007;1930;1960;x
4 アレーナ;6008;ITA;1939;1990;1990;1990;3;4;128;0;0;4;0;L6008;1939;1942;x
4 アルメリーニ;6009;ITA;1930;1942;1990;1990;2;4;256;1;0;5;0;L6009;1930;1955;x
3 アシナリ・ディ・ベルネッゾ;6010;ITA;1930;1990;1990;1990;3;3;514;1;0;4;0;L6010;1930;1943;x
3 バビニ;6011;ITA;1930;1939;1990;1990;3;3;1;1;0;3;0;L6011;1930;1941;x
3 ブルザグリ;6012;ITA;1930;1990;1990;1990;3;3;512;1;0;4;1;L6012;1930;1943;x
5 バドリオ;6013;ITA;1930;1930;1930;1930;0;5;514;1;0;5;0;L6013;1930;1960;x
3 バイストロッチ;6014;ITA;1930;1930;1930;1990;1;3;513;1;0;5;0;L6014;1930;1940;x
8 バルボ;6015;ITA;1930;1930;1930;1930;0;8;5;3;0;5;0;L6015;1930;1960;x
3 バリスティ;6016;ITA;1939;1944;1990;1990;3;3;0;1;0;5;0;L6016;1939;1960;x
3 バロッコ;6017;ITA;1939;1940;1990;1990;2;3;0;1;0;3;0;L6017;1939;1960;x
4 バルバセッティ・ディ・プルン;6018;ITA;1930;1940;1990;1990;2;4;129;0;0;3;0;L6018;1930;1960;x
4 バルビエリ;6019;ITA;1937;1939;1990;1990;2;4;128;0;0;4;0;L6019;1937;1960;x
4 バッソ;6020;ITA;1940;1943;1990;1990;2;4;0;1;0;3;0;L6020;1940;1960;x
5 バスティコ;6021;ITA;1930;1930;1930;1942;1;5;516;1;0;5;0;L6021;1930;1960;x
5 バティスティ;6022;ITA;1938;1942;1946;1990;2;5;264;1;0;5;0;L6022;1938;1960;x
4 アシナリ・ディ・サン・マルツァーノ;6023;ITA;1930;1941;1990;1990;2;4;1;1;0;3;0;L6023;1930;1945;x
5 ベルゴンゾリ;6024;ITA;1937;1940;1990;1990;2;5;128;1;0;3;0;L6024;1937;1960;x
3 ベルティ;6025;ITA;1930;1930;1938;1990;1;3;32;1;0;4;0;L6025;1930;1941;x
3 ベトーニ;6026;ITA;1941;1990;1990;1990;3;3;8;0;0;3;0;L6026;1941;1947;x
