Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
4 阿部信行;101000;JAP;1930;1930;1930;1990;1;4;4;1;0;5;0;L101000;1930;1990;x
7 安達二十三;101001;JAP;1938;1940;1990;1990;2;7;17;3;0;5;0;L101001;1938;1990;x
4 相田俊二;101002;JAP;1943;1990;1990;1990;3;4;1;1;0;5;0;L101002;1943;1990;x
4 赤鹿理;101003;JAP;1941;1990;1990;1990;3;4;0;1;0;5;0;L101003;1941;1990;x
5 天野正一;101005;JAP;1945;1947;1990;1990;2;5;0;2;0;5;0;L101005;1945;1990;x
4 兩宮巽;101006;JAP;1940;1943;1990;1990;2;4;0;1;0;5;0;L101006;1930;1990;x
7 阿南惟幾;101007;JAP;1930;1938;1943;1990;1;7;4;2;0;5;0;L101007;1930;1990;x
6 安藤利吉;101008;JAP;1930;1930;1944;1990;1;6;4;3;0;5;0;L101008;1930;1990;x
4 安藤三郎;101009;JAP;1930;1938;1990;1990;2;4;0;1;0;5;2;L101009;1930;1942;x
5 青木敬一;101010;JAP;1938;1990;1990;1990;2;5;0;2;0;5;0;L101010;1938;1939;x
2 青津喜久太郎;101011;JAP;1944;1990;1990;1990;3;2;0;1;0;5;0;L101011;1944;1990;x
4 荒木貞夫;101012;JAP;1930;1930;1930;1990;1;4;516;2;0;5;0;L101012;1930;1990;x
4 有川圭一;101013;JAP;1944;1945;1990;1990;2;4;2;1;0;5;0;L101013;1944;1990;x
5 朝香宮鳩彦王;101014;JAP;1930;1930;1939;1990;1;5;4;2;0;5;0;L101014;1930;1990;x
6 アウン・サン;101015;JAP;1942;1990;1990;1990;3;6;16;1;0;5;0;L101015;1942;1990;x
6 綾部橘樹;101016;JAP;1940;1943;1990;1990;2;6;0;3;0;5;0;L101016;1940;1990;x
5 馬場正郎;101017;JAP;1940;1943;1990;1990;2;5;0;2;0;5;0;L101017;1940;1990;x
5 坂西一良;101018;JAP;1944;1990;1990;1990;3;5;256;1;0;5;0;L101018;1944;1990;x
4 チャンドラ・ボース;101019;JAP;1939;1942;1990;1990;3;4;16;2;0;5;0;L101019;1939;1990;x
6 長勇;101020;JAP;1938;1945;1990;1990;2;6;2;2;0;5;0;L101020;1941;1990;x
6 土肥原賢二;101021;JAP;1930;1936;1941;1990;1;6;1;3;0;5;0;L101021;1930;1990;x
5 遠藤三郎;101022;JAP;1938;1941;1990;1990;2;5;0;2;0;5;0;L101303;1939;1990;x
6 藤江惠輔;101023;JAP;1930;1937;1943;1990;1;6;64;3;0;5;0;L101023;1930;1990;x
4 富士井末吉;101024;JAP;1944;1990;1990;1990;3;4;0;1;0;5;0;L101024;1944;1990;x
4 藤岡武雄;101025;JAP;1943;1944;1990;1990;2;4;0;2;0;5;0;L101025;1943;1990;x
6 福井浩太郎;101026;JAP;1930;1930;1990;1990;2;6;514;1;0;5;0;L101026;1930;1990;x
5 船引正之;101027;JAP;1940;1943;1990;1990;2;5;8;2;0;5;0;L101027;1940;1990;x
5 波田重一;101029;JAP;1935;1938;1990;1990;2;5;512;1;0;5;0;L101029;1930;1941;x
3 花谷正;101030;JAP;1940;1943;1990;1990;2;3;512;0;0;5;0;L101030;1940;1990;x
4 原為一;101031;JAP;1944;1990;1990;1990;3;4;0;2;0;5;1;L101031;1944;1990;x
4 原田寛;101032;JAP;1943;1990;1990;1990;3;4;0;1;0;5;0;L101032;1943;1990;x
6 橋本博光;101033;JAP;1942;1990;1990;1990;3;6;64;1;0;5;0;L101033;1942;1990;x
7 畑俊六;101034;JAP;1930;1930;1937;1943;0;7;6;4;0;5;0;L101034;1930;1990;x
5 服部卓四郎;101035;JAP;1940;1990;1990;1990;3;5;4;1;0;5;0;L101035;1940;1990;x
5 林義秀;101036;JAP;1943;1944;1990;1990;2;5;1;2;0;5;0;L101036;1943;1990;x
4 林田金城;101037;JAP;1944;1990;1990;1990;3;4;0;1;0;5;0;L101037;1944;1990;x
5 東久邇宮稔彦王;101038;JAP;1930;1930;1939;1990;1;5;4;3;0;5;0;L101038;1930;1990;x
8 樋口季一郎;101039;JAP;1937;1939;1990;1990;2;8;5;3;0;5;0;L101039;1937;1990;x
5 平田正判;101040;JAP;1945;1990;1990;1990;3;5;0;1;0;5;0;L101040;1945;1990;x
4 人見秀三;101042;JAP;1941;1943;1990;1990;2;4;0;2;0;5;0;L101042;1941;1990;x
6 本多政材;101043;JAP;1937;1939;1990;1990;2;6;3;2;0;5;0;L101043;1937;1990;x
5 洪思翊（ホン・サイク）;101045;JAP;1941;1944;1990;1990;2;5;4;3;0;5;0;L101045;1941;1990;x
7 本間雅晴;101046;JAP;1930;1938;1990;1990;2;7;128;2;0;5;0;L101046;1930;1990;x
6 堀井富太郎;101048;JAP;1940;1990;1990;1990;3;6;256;2;0;5;0;L101048;1940;1990;x
5 堀内豐秋;101049;JAP;1941;1990;1990;1990;3;5;256;1;0;5;0;L101049;1941;1990;x
5 星野利元;101050;JAP;1939;1942;1990;1990;2;5;128;2;0;5;0;L101050;1939;1990;x
6 百武晴吉;101051;JAP;1937;1939;1990;1990;2;6;0;2;0;5;0;L101051;1937;1990;x
5 一木清直;101052;JAP;1942;1990;1990;1990;3;5;256;1;0;5;0;L101052;1942;1990;x
5 井出鐵藏;101054;JAP;1941;1990;1990;1990;3;5;1;1;0;5;0;L101054;1941;1990;x
6 飯田祥二郎;101055;JAP;1930;1939;1990;1990;2;6;4;2;0;5;0;L101055;1930;1990;x
4 飯村穰;101056;JAP;1930;1939;1990;1990;2;4;0;2;0;5;0;L101056;1930;1990;x
5 伊集院兼信;101057;JAP;1944;1990;1990;1990;3;5;8;1;0;5;0;L101057;1944;1990;x
5 今井武夫;101058;JAP;1943;1990;1990;1990;3;5;0;2;0;5;0;L101058;1943;1990;x
8 今村均;101059;JAP;1930;1938;1943;1990;1;8;260;3;0;5;0;L101059;1930;1990;x
4 稻葉四郎;101061;JAP;1930;1939;1990;1990;2;4;0;2;0;5;0;L101061;1930;1990;x
9 石原莞爾;101066;JAP;1930;1939;1990;1990;1;9;20;4;0;5;0;L101064;1930;1990;x
4 磯谷廉介;101067;JAP;1930;1937;1990;1990;2;4;0;2;0;5;0;L101067;1930;1990;x
5 板花義一;101068;JAP;1939;1942;1990;1990;2;5;0;2;0;5;0;L101068;1939;1990;x
8 板垣征四郎;101071;JAP;1930;1936;1941;1990;1;8;4;2;0;5;0;L101069;1930;1990;x
5 伊東武夫;101072;JAP;1941;1990;1990;1990;3;5;0;1;0;5;0;L101072;1941;1990;x
