Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
6 白崇禧（パイ・チュンシ）;50000;CHI;1930;1939;1941;1943;0;6;16;2;0;3;0;L50247;1930;1960;x
3 張軫（チャン・ゼン）;50002;CHI;1930;1942;1990;1990;3;3;0;1;0;3;0;L50002;1930;1960;x
4 張弛（チャン・チ）;50003;CHI;1930;1990;1990;1990;3;4;0;0;0;3;0;L50003;1930;1960;x
4 張治中（チャン・ヂゾン）;50004;CHI;1930;1930;1930;1990;1;4;0;1;0;3;0;L50004;1930;1943;x
3 常恩多（チャン・エンドゥオ）;50005;CHI;1930;1990;1990;1990;3;3;0;0;0;2;0;L50005;1930;1960;x
4 張発奎（チャン・ファクイ）;50006;CHI;1930;1930;1930;1990;1;4;2;1;0;3;0;L50006;1930;1960;x
3 張金方（チャン・ファン）;50007;CHI;1930;1990;1990;1990;3;3;0;0;0;3;0;L50007;1930;1941;x
3 張胥行（チャン・スクシン）;50008;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50008;1930;1939;x
4 張続滋（チャン・スジ）;50009;CHI;1944;1990;1990;1990;3;4;256;0;0;4;0;L50009;1944;1960;x
3 張雪中（チャン・スエゾン）;50010;CHI;1940;1990;1990;1990;3;3;0;0;0;3;0;L50010;1940;1960;x
5 張學良（チャン・スエリャン）;50011;CHI;1930;1938;1940;1941;1;5;4;3;0;3;0;L50011;1930;1946;x
3 張淦（チャン・ガン）;50012;CHI;1938;1990;1990;1990;3;3;0;0;0;4;0;L50012;1938;1960;x
3 張剋侠（チャン・ケクシア）;50013;CHI;1938;1990;1990;1990;3;3;0;0;0;4;0;L50013;1938;1960;x
4 張靈甫（チャン・リンフ）;50014;CHI;1930;1940;1990;1990;2;4;4;1;0;4;0;L50014;1930;1960;x
3 張世希（チャン・シクシ）;50015;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50015;1930;1941;x
4 張自忠（チャン・ジゾン）;50016;CHI;1938;1944;1990;1990;2;4;4;1;0;3;0;L50016;1938;1960;x
3 張篤倫（チャン・ドゥルン）;50017;CHI;1930;1990;1990;1990;3;3;1;0;0;4;0;L50017;1930;1943;x
3 張炎（チャン・ヤン）;50018;CHI;1941;1990;1990;1990;3;3;4;0;0;4;0;L50018;1941;1960;x
3 張耀明（チャン・ヤオミン）;50019;CHI;1943;1990;1990;1990;3;3;0;0;0;4;0;L50019;1943;1960;x
3 張蔭梧（チャン・インウー）;50020;CHI;1930;1990;1990;1990;3;3;0;0;0;4;0;L50020;1930;1960;x
4 趙承綬（ザオ・チェンショウ）;50021;CHI;1930;1930;1990;1990;2;4;0;0;0;4;0;L50021;1930;1945;x
