Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
7 ポール・D・アダムス;60000;USA;1945;1948;1953;1990;1;7;256;2;0;5;0;L60000;1945;1966;x ♯退役
4 ジョージ・M・アレクサンダー;60001;USA;1941;1990;1990;1990;3;4;1;1;0;5;0;L60001;1941;1949;x ♯退役
4 ジェームズ・アルフォンテ;60002;USA;1942;1990;1990;1990;3;4;0;1;0;5;0;L60002;1942;1946;x ♯退役
5 ダール・H・アルカイア;60003;USA;1945;1990;1990;1990;3;5;32768;1;0;5;2;L60003;1945;1956;x ♯退役
7 A・R・アレン;60004;USA;1941;1944;1990;1990;2;7;128;2;0;5;0;L60004;1941;1970;x
5 フランク・A・アレン Jr.;60005;USA;1942;1990;1990;1990;3;5;64;1;0;5;0;L60005;1942;1956;x ♯退役
5 ローデリック・R・アレン;60006;USA;1943;1990;1990;1990;3;5;128;1;0;5;0;L60006;1943;1954;x ♯退役
5 エドワード・アーモンド;60007;USA;1942;1951;1990;1990;2;5;0;2;0;5;0;L60007;1942;1953;x ♯退役
5 ケネス・G・アルサウス Sr.;60008;USA;1943;1990;1990;1990;3;5;128;1;0;5;0;L60008;1943;1946;x ♯退役
4 ウィリアム・A・アンダーセン;60009;USA;1940;1990;1990;1990;3;4;0;1;0;5;0;L60009;1940;1942;x ♯退役
4 ジョン・B・アンダーソン;60010;USA;1942;1990;1990;1990;3;4;0;1;0;5;0;L60010;1942;1946;x ♯退役
6 ジョナサン・W・アンダーソン;60011;USA;1942;1990;1990;1990;3;6;64;1;0;5;0;L60011;1942;1950;x ♯退役
4 クリフト・アンドラス;60012;USA;1942;1990;1990;1990;3;4;64;1;0;5;0;L60012;1942;1952;x ♯退役
4 チャールズ・M・アンコーン;60013;USA;1943;1990;1990;1990;3;4;0;1;0;5;0;L60013;1943;1944;x ♯退役
4 トーマス・S・アームズ;60014;USA;1943;1990;1990;1990;3;4;0;1;0;5;0;L60014;1943;1946;x ♯退役
5 ドナルド・アームストロング;60015;USA;1942;1990;1990;1990;3;5;64;1;0;5;0;L60015;1942;1946;x ♯退役
5 アーチボルド・V・アーノルド;60016;USA;1944;1990;1990;1990;3;5;64;2;0;5;0;L60016;1944;1948;x ♯退役
4 ジョン・C・アロースミス;60017;USA;1943;1990;1990;1990;3;4;0;1;0;5;0;L60017;1943;1953;x ♯退役
