Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
寺内壽一;974000;U74;1935;1937;1938;1943;2;4;4;1;0;2;0;L101179;1936;1990;x
寺内壽一;974001;U74;1935;1937;1938;1943;3;4;0;0;0;2;2;L101179;1936;1990;x
杉山元;974002;U74;1937;1938;1940;1943;2;3;2;2;0;2;0;L101163;1936;1990;x
杉山元;974003;U74;1937;1938;1940;1944;3;4;0;1;0;2;2;L101163;1936;1990;x
多田駿;974004;U74;1938;1939;1941;1990;2;4;2;0;0;2;0;L101170;1937;1990;x
多田駿;974005;U74;1938;1939;1941;1990;3;4;0;0;0;2;2;L101170;1937;1990;x
岡村寧次;974006;U74;1940;1941;1943;1990;2;6;4;2;0;2;0;L101141;1939;1990;x
岡村寧次;974007;U74;1940;1941;1943;1990;3;6;0;1;0;2;2;L101141;1939;1990;x
岡部直三郎;974008;U74;1943;1944;1946;1990;2;4;1;1;0;2;0;L101138;1942;1990;x
岡部直三郎;974009;U74;1943;1944;1946;1990;3;4;0;0;0;2;2;L101138;1942;1990;x
下村定;974010;U74;1943;1944;1946;1990;2;4;0;1;0;2;0;L101160;1942;1990;x
下村定;974011;U74;1943;1944;1946;1990;3;4;0;0;0;2;2;L101160;1942;1990;x
梅津美治郎;974012;U74;1937;1938;1940;1990;1;4;1;2;0;2;0;M5157;1936;1990;x
梅津美治郎;974013;U74;1937;1938;1940;1990;3;4;0;0;0;2;2;M5157;1936;1990;x
篠塚義男;974014;U74;1938;1939;1990;1990;2;4;1;1;0;2;0;M700432;1937;1990;x
岩松義雄;974015;U74;1939;1941;1990;1990;2;4;1;1;0;2;0;M700433;1939;1990;x
吉本貞一;974016;U74;1940;1942;1990;1990;2;4;1;1;0;2;0;M700434;1940;1990;x
澄田貝來四郎;974017;U74;1942;1944;1990;1990;2;4;1;1;0;2;0;L101165;1942;1990;x
野村直那;974018;U74;1939;1990;1990;1990;3;3;0;0;0;2;1;L101266;1937;1990;x
清水光美;974019;U74;1930;1939;1990;1990;2;4;0;0;0;2;1;L101159;1939;1990;x
杉山六蔵;974020;U74;1930;1939;1990;1990;2;4;0;0;0;2;1;M700444;1940;1990;x
河瀬四郎;974021;U74;1930;1939;1990;1990;2;4;0;0;0;2;1;M700445;1940;1990;x
斉燮元（チ・シーユアン）;974022;U74;1930;1930;1930;1930;1;4;0;1;0;5;0;M52017;1930;1990;x
斉燮元（チ・シーユアン）;974023;U74;1930;1930;1930;1930;1;4;0;1;0;5;1;M52017;1930;1990;x
斉燮元（チ・シーユアン）;974024;U74;1930;1930;1930;1930;1;4;0;1;0;5;2;M52017;1930;1990;x
ベルチャーキン;974025;U74;1930;1930;1990;1990;2;2;514;1;0;5;0;L503000;1930;1990;x
傅作義（フ・ツォーイー）;974026;U74;1930;1930;1942;1990;1;4;128;1;0;3;0;L50085;1930;1990;x
ケルニチェク;974027;U74;1930;1990;1990;1990;3;2;1;0;0;5;0;L503002;1930;1990;x
李服膺（リ・フーイン）;974028;U74;1930;1940;1942;1990;2;3;0;2;0;4;0;L50174;1930;1990;x
彭子謹（ペン・ズーチン）;974029;U74;1930;1990;1990;1990;3;3;8;0;0;5;0;L503004;1930;1990;x
ルディン;974030;U74;1930;1990;1990;1990;3;2;128;0;0;5;0;L503005;1930;1990;x
リマコフ;974031;U74;1930;1990;1990;1990;3;2;256;0;0;5;0;L503006;1930;1990;x
商震（シャン・チェン）;974032;U74;1930;1938;1990;1990;3;2;1;1;0;5;0;L503007;1930;1990;x
石至宝（シー・ツェポ）;974033;U74;1930;1938;1990;1990;2;3;0;1;0;5;0;L503008;1930;1990;x
董其武（タン・チウ）;974034;U74;1938;1990;1990;1990;3;2;0;0;0;4;0;L50300;1930;1990;x
王靖國（ワン・チンクオ）;974035;U74;1930;1930;1990;1990;2;2;2;0;0;3;0;L50314;1930;1943;x
閻錫山（イェン・シシャン）;974036;U74;1930;1930;1938;1940;0;3;2;2;0;5;0;L50348;1930;1990;x
クロルチェフ;974037;U74;1930;1930;1990;1990;2;2;0;0;0;5;1;L503012;1930;1990;x
リマコフ;974038;U74;1930;1990;1990;1990;3;2;0;0;0;5;1;L503006;1930;1990;x
閻錫山（イェン・シシャン）;974039;U74;1930;1930;1938;1990;1;2;0;1;0;5;1;L50348;1930;1990;x
グロスチヴィリ;974040;U74;1930;1939;1990;1990;2;2;0;1;0;5;2;L503015;1930;1990;x
ピリアキン;974041;U74;1930;1990;1990;1990;3;2;4096;0;0;5;2;L503016;1930;1990;x
閻錫山（イェン・シシャン）;974042;U74;1930;1930;1938;1990;1;2;0;1;0;5;2;L50348;1930;1990;x
ストレチウス;974043;U74;1930;1930;1990;1990;2;5;4;1;0;5;0;L503018;1930;1944;x
ヴォン・ドリング;974044;U74;1930;1930;1990;1990;2;3;1;1;0;5;0;L503019;1930;1990;x
河本大作;974045;U74;1930;1943;1945;1990;0;6;37;2;0;5;0;M700462;1930;1990;x
