Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アームストロング;450700;UAP;1936;1936;1936;1936;3;7;0;2;0;5;2;L450000;1936;1990;x
ベスター;450701;UAP;1936;1936;1936;1936;3;7;0;1;0;5;1;L450001;1936;1990;x
ベイヤース;450702;UAP;1936;1936;1990;1990;3;7;0;0;0;5;1;L450002;1936;1990;x
ボライン;450703;UAP;1936;1936;1990;1990;3;7;0;1;0;5;0;L450003;1936;1990;x
ボータ;450704;UAP;1936;1936;1936;1990;3;7;0;1;0;5;0;L450004;1936;1990;x
A・J・E・ブリンク;450705;UAP;1936;1936;1990;1990;3;7;0;0;0;5;0;L450005;1936;1990;x
G・E・ブリンク;450706;UAP;1936;1936;1990;1990;3;7;0;0;0;5;2;L450006;1936;1990;x
ブキャナン;450707;UAP;1936;1990;1990;1990;3;7;0;1;0;5;0;L450007;1936;1990;x
クーパー;450708;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L450008;1936;1990;x
デ・ヴィリアス;450709;UAP;1936;1990;1990;1990;3;7;0;2;0;5;1;L450009;1936;1990;x
デ・ウィーンバーグ・ド・トイト;450710;UAP;1936;1990;1990;1990;3;7;0;1;0;5;0;L450010;1936;1990;x
フルステンバーグ;450711;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L450011;1936;1990;x
ギルバート;450712;UAP;1936;1990;1990;1990;3;7;0;1;0;5;0;L450012;1936;1990;x
ハーツホーン;450713;UAP;1936;1990;1990;1990;3;7;0;2;0;5;0;L450013;1936;1990;x
ヘイトン;450714;UAP;1936;1936;1990;1990;3;7;0;0;0;5;1;L450014;1936;1990;x
ホアー;450715;UAP;1936;1936;1990;1990;3;7;0;1;0;5;0;L450015;1936;1990;x
ジョンストン＝コリアー;450716;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L450016;1936;1990;x
クロッパー;450717;UAP;1936;1936;1936;1936;3;7;0;1;0;5;0;L450017;1936;1990;x
クリーグラー;450718;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L450018;1936;1990;x
