Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アルダン・ド・ピク;240700;UBO;1936;1936;1936;1936;3;7;0;2;0;5;2;L24000;1936;1990;x
アルラボッセ;240701;UBO;1936;1936;1936;1936;3;7;0;1;0;5;1;L24001;1936;1990;x
アルマンド;240702;UBO;1936;1936;1990;1990;3;7;0;0;0;5;1;L24002;1936;1990;x
アルミンギート;240703;UBO;1936;1936;1990;1990;3;7;0;1;0;5;0;L24003;1936;1990;x
オーデット;240704;UBO;1936;1936;1936;1990;3;7;0;1;0;5;0;L24005;1936;1990;x
エーメ;240705;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;L24006;1936;1990;x
バロー;240706;UBO;1936;1936;1990;1990;3;7;0;0;0;5;2;L24007;1936;1990;x
バスティアン;240707;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24008;1936;1990;x
ベルタン＝ボウサス;240708;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24010;1936;1990;x
ベソアート;240709;UBO;1936;1990;1990;1990;3;7;0;2;0;5;1;L24011;1936;1990;x
ビヨッテ;240710;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24012;1936;1990;x
ビンゲン;240711;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24013;1936;1990;x
ブラン;240712;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24014;1936;1990;x
ブランシャール;240713;UBO;1936;1990;1990;1990;3;7;0;2;0;5;0;L24015;1936;1990;x
ブランシェ;240714;UBO;1936;1936;1990;1990;3;7;0;0;0;5;1;L24016;1936;1990;x
ブレイゾ;240715;UBO;1936;1936;1990;1990;3;7;0;1;0;5;0;L24017;1936;1990;x
ボンディ;240716;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24018;1936;1990;x
ブールジュ＝モーヌリー;240717;UBO;1936;1936;1936;1936;3;7;0;1;0;5;0;L24019;1936;1990;x
ブリドー;240718;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24020;1936;1990;x
ブリザック;240719;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24021;1936;1990;x
ブロカール;240720;UBO;1936;1990;1990;1990;3;7;0;1;0;5;1;L24022;1936;1990;x
ブロッサ;240721;UBO;1936;1936;1936;1990;3;7;0;0;0;5;0;L24023;1936;1990;x
ブリュノー;240722;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;L24024;1936;1990;x
キャリーズ;240723;UBO;1936;1936;1936;1990;3;7;0;0;0;5;0;L24025;1936;1990;x
カメリーニ;240724;UBO;1936;1936;1936;1990;3;7;0;0;0;5;2;L24026;1936;1990;x
カール;240725;UBO;1936;1936;1936;1990;3;7;0;2;0;5;1;L24027;1936;1990;x
カーペンティア;240726;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24028;1936;1990;x
カトルー;240727;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24029;1936;1990;x
シャバン＝デルマ;240728;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24030;1936;1990;x
シャルディグニ;240729;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24031;1936;1990;x
シェヴィロン;240730;UBO;1936;1990;1990;1990;3;7;0;2;0;5;1;L24032;1936;1990;x
コレット;240731;UBO;1936;1936;1990;1990;3;7;0;1;0;5;0;L24033;1936;1990;x
コルソン;240732;UBO;1936;1936;1990;1990;3;7;0;0;0;5;1;L24034;1936;1990;x
コンデ;240733;UBO;1936;1936;1936;1936;3;7;0;0;0;5;0;L24035;1936;1990;x
コラップ;240734;UBO;1936;1936;1936;1936;3;7;0;1;0;5;1;L24036;1936;1990;x
コルニレ;240735;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;L24037;1936;1990;x
クレパン＝アルトゥ;240736;UBO;1936;1936;1936;1990;3;7;0;2;0;5;0;L24038;1936;1990;x
