Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アルマサン;19700;UCS;1936;1936;1936;1936;3;7;0;2;0;5;2;L4500;1936;1990;x
アルバレス・アルグレア;19701;UCS;1936;1936;1936;1936;3;7;0;1;0;5;1;L4501;1936;1990;x
アマロ・ドミンゲス;19702;UCS;1936;1936;1990;1990;3;7;0;0;0;5;1;L4502;1936;1990;x
アビラ・カマチョ;19703;UCS;1936;1936;1990;1990;3;7;0;1;0;5;0;L4503;1936;1990;x
バリェストレロス・ミランダ;19704;UCS;1936;1936;1936;1990;3;7;0;1;0;5;0;L4504;1936;1990;x
カリェス・デル・リオ;19705;UCS;1936;1936;1990;1990;3;7;0;0;0;5;0;L4505;1936;1990;x
カリェス・プルタルコ;19706;UCS;1936;1936;1990;1990;3;7;0;0;0;5;2;L4506;1936;1990;x
カルデナス・デル・リオ;19707;UCS;1936;1990;1990;1990;3;7;0;1;0;5;0;L4507;1936;1990;x
カルデナス・ロドリゲス;19708;UCS;1936;1990;1990;1990;3;7;0;0;0;5;0;L4508;1936;1990;x
ディアス・オバリェ;19709;UCS;1936;1990;1990;1990;3;7;0;2;0;5;1;L4509;1936;1990;x
エストラダ・レイノソ;19710;UCS;1936;1990;1990;1990;3;7;0;1;0;5;0;L4510;1936;1990;x
フィゲロア・フィゲロア;19711;UCS;1936;1990;1990;1990;3;7;0;0;0;5;0;L4511;1936;1990;x
ガルシア・バラガン;19712;UCS;1936;1990;1990;1990;3;7;0;1;0;5;0;L4512;1936;1990;x
ガルサ・シリェル;19713;UCS;1936;1990;1990;1990;3;7;0;2;0;5;0;L4513;1936;1990;x
ギリェルモ・ビジャシナ;19714;UCS;1936;1936;1990;1990;3;7;0;0;0;5;1;L4514;1936;1990;x
エルナンデス・クルム;19715;UCS;1936;1936;1990;1990;3;7;0;1;0;5;0;L4515;1936;1990;x
イル;19716;UCS;1936;1990;1990;1990;3;7;0;0;0;5;0;L4516;1936;1990;x
ハラ・コロナ;19717;UCS;1936;1936;1936;1936;3;7;0;1;0;5;0;L4517;1936;1990;x
ララ・ビエホ;19718;UCS;1936;1990;1990;1990;3;7;0;0;0;5;0;L4518;1936;1990;x
リモン・マルケス;19719;UCS;1936;1990;1990;1990;3;7;0;0;0;5;0;L4519;1936;1990;x
マシアス・ベレンスエラ;19720;UCS;1936;1990;1990;1990;3;7;0;1;0;5;1;L4520;1936;1990;x
ムヒカ・バルデス;19721;UCS;1936;1936;1936;1990;3;7;0;0;0;5;0;L4521;1936;1990;x
オラチェア・アビレス;19722;UCS;1936;1936;1990;1990;3;7;0;0;0;5;0;L4522;1936;1990;x
パラフォックス;19723;UCS;1936;1936;1936;1990;3;7;0;0;0;5;0;L4523;1936;1990;x
プロ・ディアス;19724;UCS;1936;1936;1936;1990;3;7;0;0;0;5;2;L4524;1936;1990;x
キロガ・エスカミリャ;19725;UCS;1936;1936;1936;1990;3;7;0;2;0;5;1;L4525;1936;1990;x
ラモス・サントス;19726;UCS;1936;1990;1990;1990;3;7;0;1;0;5;0;L4526;1936;1990;x
ロハス・ラソ;19727;UCS;1936;1990;1990;1990;3;7;0;0;0;5;0;L4527;1936;1990;x
