Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アーカーヒールム;89700;UGS;1936;1936;1936;1936;3;7;0;2;0;5;2;L9000;1936;1990;x
アフ・クラーカー;89701;UGS;1936;1936;1936;1936;3;7;0;1;0;5;1;L9001;1936;1990;x
アンドレン;89702;UGS;1936;1936;1990;1990;3;7;0;0;0;5;1;L9002;1936;1990;x
バックルンド;89703;UGS;1936;1936;1990;1990;3;7;0;1;0;5;0;L9003;1936;1990;x
ベネディク;89704;UGS;1936;1936;1936;1990;3;7;0;1;0;5;0;L9004;1936;1990;x
ブレッドベルグ;89705;UGS;1936;1936;1990;1990;3;7;0;0;0;5;0;L9005;1936;1990;x
セーダースケルド;89706;UGS;1936;1936;1990;1990;3;7;0;0;0;5;2;L9006;1936;1990;x
ダグラス;89707;UGS;1936;1990;1990;1990;3;7;0;1;0;5;0;L9007;1936;1990;x
C・A・エーレンスヴァルド;89708;UGS;1936;1990;1990;1990;3;7;0;0;0;5;0;L9008;1936;1990;x
H・ガッド;89709;UGS;1936;1990;1990;1990;3;7;0;2;0;5;1;L9009;1936;1990;x
S・ガッド;89710;UGS;1936;1990;1990;1990;3;7;0;1;0;5;0;L9010;1936;1990;x
ギュレンクロック;89711;UGS;1936;1990;1990;1990;3;7;0;0;0;5;0;L9011;1936;1990;x
ハーゲルベルグ;89712;UGS;1936;1990;1990;1990;3;7;0;1;0;5;0;L9012;1936;1990;x
ハミルトン;89713;UGS;1936;1990;1990;1990;3;7;0;2;0;5;0;L9013;1936;1990;x
ホルムクエスト;89714;UGS;1936;1936;1990;1990;3;7;0;0;0;5;1;L9014;1936;1990;x
ホグベルグ;89715;UGS;1936;1936;1990;1990;3;7;0;1;0;5;0;L9015;1936;1990;x
ユング;89716;UGS;1936;1990;1990;1990;3;7;0;0;0;5;0;L9016;1936;1990;x
マルムベルグ;89717;UGS;1936;1936;1936;1936;3;7;0;1;0;5;0;L9017;1936;1990;x
ニグレン;89718;UGS;1936;1990;1990;1990;3;7;0;0;0;5;0;L9018;1936;1990;x
ペイロン;89719;UGS;1936;1990;1990;1990;3;7;0;0;0;5;0;L9019;1936;1990;x
ラッペ;89720;UGS;1936;1990;1990;1990;3;7;0;1;0;5;1;L9020;1936;1990;x
ローセンブラッド;89721;UGS;1936;1936;1936;1990;3;7;0;0;0;5;0;L9021;1936;1990;x
スタールハーネ;89722;UGS;1936;1936;1990;1990;3;7;0;0;0;5;0;L9022;1936;1990;x
シルヴァン;89723;UGS;1936;1936;1936;1990;3;7;0;0;0;5;0;L9023;1936;1990;x
ソルネル;89724;UGS;1936;1936;1936;1990;3;7;0;0;0;5;2;L9024;1936;1990;x
トッティ;89725;UGS;1936;1936;1936;1990;3;7;0;2;0;5;1;L9025;1936;1990;x
フォン・ローセン;89726;UGS;1936;1990;1990;1990;3;7;0;1;0;5;0;L9026;1936;1990;x
ビョルクルンド;89727;UGS;1936;1990;1990;1990;3;7;0;0;0;5;0;L9027;1936;1990;x
