Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アファイウォン;101700;UIC;1936;1936;1936;1936;3;7;0;2;0;5;2;L100000;1936;1990;x
バノミオン;101701;UIC;1936;1936;1936;1936;3;7;0;1;0;5;1;L100001;1936;1990;x
ブンヤケット;101702;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L100002;1936;1990;x
チトナソングキア;101703;UIC;1936;1936;1990;1990;3;7;0;1;0;5;0;L100003;1936;1990;x
フントラクール;101704;UIC;1936;1936;1936;1990;3;7;0;1;0;5;0;L100004;1936;1990;x
カムラナヴィン;101705;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L100005;1936;1990;x
カンフィアロン;101706;UIC;1936;1936;1990;1990;3;7;0;0;0;5;2;L100006;1936;1990;x
マグハヴィフラヤ;101707;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100007;1936;1990;x
ムンシルパ・シナディオドハラクサ;101708;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100008;1936;1990;x
ナクロブ;101709;UIC;1936;1990;1990;1990;3;7;0;2;0;5;1;L100009;1936;1990;x
ファホルフォンファユハセナ;101710;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100010;1936;1990;x
ファモンモントリ;101711;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100011;1936;1990;x
ファノミオン;101712;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100012;1936;1990;x
フィブンソングクラム;101713;UIC;1936;1990;1990;1990;3;7;0;2;0;5;0;L100013;1936;1990;x
フロミオシ;101714;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L100014;1936;1990;x
フロナラナサイ;101715;UIC;1936;1936;1990;1990;3;7;0;1;0;5;0;L100015;1936;1990;x
プンヤケトゥ;101716;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100016;1936;1990;x
ラーマ・プリクラングコーン;101717;UIC;1936;1936;1936;1936;3;7;0;1;0;5;0;L100017;1936;1990;x
ラーマ8世;101718;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100018;1936;1990;x
ラングシット;101719;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100019;1936;1990;x
サムパティシリ;101720;UIC;1936;1990;1990;1990;3;7;0;1;0;5;1;L100020;1936;1990;x
サワトロンナチャイ・サワトディキアト;101721;UIC;1936;1936;1936;1990;3;7;0;0;0;5;0;L100021;1936;1990;x
シラロングコーン;101722;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L100022;1936;1990;x
スエボン;101723;UIC;1936;1936;1936;1990;3;7;0;0;0;5;0;L100023;1936;1990;x
シシャムプラ;101724;UIC;1936;1936;1936;1990;3;7;0;0;0;5;2;L100024;1936;1990;x
ヴェチャヤンラングサリト;101725;UIC;1936;1936;1936;1990;3;7;0;2;0;5;1;L100025;1936;1990;x
ウィチトソングクラム;101726;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100026;1936;1990;x
ウィチトワサカーン;101727;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100027;1936;1990;x
チャムナナルサユサ;101728;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100028;1936;1990;x
カモナウィン;101729;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100029;1936;1990;x
ルアンソンブラノ;101730;UIC;1936;1990;1990;1990;3;7;0;2;0;5;1;L100030;1936;1990;x
フォラシンサナワト;101731;UIC;1936;1936;1990;1990;3;7;0;1;0;5;0;L100031;1936;1990;x
フナワサワト;101732;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L100032;1936;1990;x
フティアナンズ;101733;UIC;1936;1936;1936;1936;3;7;0;0;0;5;0;L100033;1936;1990;x
プリーチャチョラユダ;101734;UIC;1936;1936;1936;1936;3;7;0;1;0;5;1;L100034;1936;1990;x
サムロングナワサワト;101735;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L100035;1936;1990;x
ウィチャンウォラジャク;101736;UIC;1936;1936;1936;1990;3;7;0;2;0;5;0;L100036;1936;1990;x
ウィチトチョラサイ;101737;UIC;1936;1936;1936;1990;3;7;0;0;0;5;0;L100037;1936;1990;x
ユザサトコソン;101738;UIC;1936;1936;1936;1990;3;7;0;1;0;5;0;L100038;1936;1990;x
アミノスレイコーン;101739;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L100039;1936;1990;x
アルヴドシキコルン;101740;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100040;1936;1990;x
チャレルマルカス;101741;UIC;1936;1936;1990;1990;3;7;0;1;0;5;2;L100041;1936;1990;x
チャレルマルキアルト;101742;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100042;1936;1990;x
カジソングクラム;101743;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100043;1936;1990;x
フケトサムリー;101744;UIC;1936;1936;1936;1990;3;7;0;1;0;5;1;L100044;1936;1990;x
プラワスジャムシー;101745;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100045;1936;1990;x
シルパサクラコーン;101746;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L100046;1936;1990;x
シンスソングクラムチャイ;101747;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100047;1936;1990;x
サヤルンピカルト;101748;UIC;1936;1990;1990;1990;3;7;0;2;0;5;0;L100048;1936;1990;x
ヴェチャヤンラングサリト;101749;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L100049;1936;1990;x
ヴェハサヤーン;101750;UIC;1936;1936;1936;1936;3;7;0;1;0;5;0;L100050;1936;1990;x
アバラン;101751;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L542000;1936;1990;x
ボシュロン・ド・ボワスーディ;101752;UIC;1936;1936;1990;1990;3;7;0;1;0;5;0;L542001;1936;1990;x
バオ・ダイ;101753;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L542002;1936;1990;x
ベルナルディーノ;101754;UIC;1936;1936;1936;1990;3;7;0;0;0;5;0;L542003;1936;1990;x
シャヴァナック;101755;UIC;1936;1936;1936;1990;3;7;0;1;0;5;0;L542004;1936;1990;x
ドゥコー;101756;UIC;1936;1990;1990;1990;3;7;0;2;0;5;1;M542006;1936;1990;x
ド・ボーアルネ;101757;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;M542008;1936;1990;x
デルス;101758;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L542007;1936;1990;x
ド・ラ・ポイプ;101759;UIC;1936;1936;1936;1990;3;7;0;2;0;5;1;L542008;1936;1990;x
ドゥク・ダット;101760;UIC;1936;1936;1990;1990;3;7;0;0;0;5;2;L542009;1936;1990;x
ドゥオン・ヴァン・ミン;101761;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;M542046;1936;1990;x
ファブリチェット;101762;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L542011;1936;1990;x
フルコー;101763;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L542012;1936;1990;x
ジェルマン;101764;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L542013;1936;1990;x
ハージー;101765;UIC;1936;1990;1990;1990;3;7;0;0;0;5;2;L542014;1936;1990;x
ホアン・ミン・チャオ;101766;UIC;1936;1936;1936;1936;3;7;0;2;0;5;1;L542015;1936;1990;x
ホー・チ・ミン;101767;UIC;1936;1936;1936;1990;3;7;0;0;0;5;1;M542047;1936;1990;x
イエレ;101768;UIC;1936;1936;1936;1990;3;7;0;1;0;5;0;M542037;1936;1990;x
ジョール;101769;UIC;1936;1936;1936;1936;3;7;0;1;0;5;0;M542021;1936;1990;x
ル・コック;101770;UIC;1936;1990;1990;1990;3;7;0;0;0;5;1;L542019;1936;1990;x
ル・コニアク・ド・ラ・ロンレー;101771;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L542020;1936;1990;x
