Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
A・アフカーミ;440700;UPE;1936;1936;1936;1936;3;7;0;2;0;5;2;L440000;1936;1990;x
H・アフカーミ;440701;UPE;1936;1936;1936;1936;3;7;0;1;0;5;1;L440001;1936;1990;x
M・アフカーミ;440702;UPE;1936;1936;1990;1990;3;7;0;0;0;5;1;L440002;1936;1990;x
ガラマニ;440703;UPE;1936;1936;1990;1990;3;7;0;1;0;5;0;L440003;1936;1990;x
ゴラム・レザ・パーラヴィ;440704;UPE;1936;1936;1936;1990;3;7;0;1;0;5;0;L440004;1936;1990;x
ギランシャー;440705;UPE;1936;1936;1990;1990;3;7;0;0;0;5;0;L440005;1936;1990;x
ハディ・アタバイ;440706;UPE;1936;1936;1990;1990;3;7;0;0;0;5;2;L440006;1936;1990;x
ホセイン・フィルーズ;440707;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L440007;1936;1990;x
マジド・フィルーズ;440708;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440008;1936;1990;x
カーン・クーパル;440709;UPE;1936;1990;1990;1990;3;7;0;2;0;5;1;L440009;1936;1990;x
カーン・ナクジアム;440710;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L440010;1936;1990;x
ミア・ガーニ;440711;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440011;1936;1990;x
ミザニ;440712;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L440012;1936;1990;x
ナクジャヴァニ;440713;UPE;1936;1990;1990;1990;3;7;0;2;0;5;0;L440013;1936;1990;x
ニザムシャー;440714;UPE;1936;1936;1990;1990;3;7;0;0;0;5;1;L440014;1936;1990;x
クアランシャー;440715;UPE;1936;1936;1990;1990;3;7;0;1;0;5;0;L440015;1936;1990;x
レザ・パーラヴィ;440716;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440016;1936;1990;x
セパーボディ・カジャール;440717;UPE;1936;1936;1936;1936;3;7;0;1;0;5;0;L440017;1936;1990;x
ザヘディ;440718;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440018;1936;1990;x
アーマンプール;440719;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440019;1936;1990;x
アクバープール;440720;UPE;1936;1990;1990;1990;3;7;0;1;0;5;1;L440020;1936;1990;x
カーン・ナクジャヴァン;440721;UPE;1936;1936;1936;1990;3;7;0;0;0;5;0;L440021;1936;1990;x
クヒスラバディ;440722;UPE;1936;1936;1990;1990;3;7;0;0;0;5;0;L440022;1936;1990;x
コースラヴァニ;440723;UPE;1936;1936;1936;1990;3;7;0;0;0;5;0;L440023;1936;1990;x
ミザニ;440724;UPE;1936;1936;1936;1990;3;7;0;0;0;5;2;L440024;1936;1990;x
モハンナ;440725;UPE;1936;1936;1936;1990;3;7;0;2;0;5;1;L440025;1936;1990;x
クアランシャー;440726;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L440026;1936;1990;x
ギランシャー;440727;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440027;1936;1990;x
カーン・クーパル;440728;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440028;1936;1990;x
カーン・ナクジャヴァン;440729;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L440029;1936;1990;x
コースラヴァニ;440730;UPE;1936;1990;1990;1990;3;7;0;2;0;5;1;L440030;1936;1990;x
モハンナ;440731;UPE;1936;1936;1990;1990;3;7;0;1;0;5;0;L440031;1936;1990;x
モイニ;440732;UPE;1936;1936;1990;1990;3;7;0;0;0;5;1;L440032;1936;1990;x
ナクジャヴァニ;440733;UPE;1936;1936;1936;1936;3;7;0;0;0;5;0;L440033;1936;1990;x
セパープール;440734;UPE;1936;1936;1936;1936;3;7;0;1;0;5;1;L440034;1936;1990;x
ヌーディン;440735;UPE;1936;1936;1990;1990;3;7;0;0;0;5;0;L440035;1936;1990;x
グーラム・フィルーズ;440736;UPE;1936;1936;1936;1990;3;7;0;2;0;5;0;L440036;1936;1990;x
バイプール;440737;UPE;1936;1936;1936;1990;3;7;0;0;0;5;0;L440037;1936;1990;x
ニザムプール;440738;UPE;1936;1936;1936;1990;3;7;0;1;0;5;0;L440038;1936;1990;x
ミアグーラム;440739;UPE;1936;1936;1990;1990;3;7;0;0;0;5;1;L440039;1936;1990;x
タハカミ;440740;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440040;1936;1990;x
ラズマーラー;440741;UPE;1936;1936;1990;1990;3;7;0;1;0;5;2;M53114;1936;1990;x
アサドリアン;440742;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L515000;1936;1990;x
バナジャニアン;440743;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;M515024;1936;1990;x
バグラミアン;440744;UPE;1936;1936;1936;1990;3;7;0;1;0;5;1;L515002;1936;1990;x
ファイヤーアーベント;440745;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L515003;1936;1990;x
ホフマン;440746;UPE;1936;1936;1990;1990;3;7;0;0;0;5;0;M515007;1936;1990;x
カライジャン;440747;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L515005;1936;1990;x
カニアン;440748;UPE;1936;1990;1990;1990;3;7;0;2;0;5;0;L515006;1936;1990;x
カルダシアン;440749;UPE;1936;1936;1990;1990;3;7;0;0;0;5;0;L515007;1936;1990;x
ハチャトリアン;440750;UPE;1936;1936;1936;1936;3;7;0;1;0;5;0;L515008;1936;1990;x
ネデク;440751;UPE;1936;1936;1990;1990;3;7;0;0;0;5;1;M515017;1936;1990;x
オザニアン;440752;UPE;1936;1936;1990;1990;3;7;0;1;0;5;0;M515008;1936;1990;x
オゼビアン;440753;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;M515021;1936;1990;x
ラズミック;440754;UPE;1936;1936;1936;1990;3;7;0;0;0;5;0;L515012;1936;1990;x
ルベネ;440755;UPE;1936;1936;1936;1990;3;7;0;1;0;5;0;L515013;1936;1990;x
サファリアン;440756;UPE;1936;1990;1990;1990;3;7;0;2;0;5;1;L515014;1936;1990;x
セヴィアヒアン;440757;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L515015;1936;1990;x
フォン・ガブレンツ;440758;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L515016;1936;1990;x
フォン・ゲルマル;440759;UPE;1936;1936;1936;1990;3;7;0;2;0;5;1;L515017;1936;1990;x
フォン・ヘラウフ;440760;UPE;1936;1936;1990;1990;3;7;0;0;0;5;2;L515018;1936;1990;x
エサイアン;440761;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L515019;1936;1990;x
ベチェ;440762;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;M515009;1936;1990;x
ガドー;440763;UPE;1936;1936;1990;1990;3;7;0;0;0;5;1;L515021;1936;1990;x
イサカキアン;440764;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;M515026;1936;1990;x
