Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
ビルシュタイン・デ・メネセス;568000;ANG;1930;1930;1990;1990;2;4;544;1;0;5;0;L568000;1930;1960;x
カルヴァーリョ;568001;ANG;1930;1940;1990;1990;2;3;0;1;0;5;0;M568032;1930;1960;x
ダルス・リベイロ;568002;ANG;1938;1942;1990;1990;2;4;1;1;0;5;0;M568028;1938;1960;x
ダ・シルヴェイラ・マレイロ;568003;ANG;1938;1944;1990;1990;2;3;128;1;0;5;0;L568003;1938;1960;x
デ・フレイタス・モルナ;568004;ANG;1942;1990;1990;1990;3;6;272;1;0;5;0;M568003;1942;1960;x
デ・モライス・サルメント;568005;ANG;1930;1930;1941;1990;1;4;2;1;0;5;0;M568027;1930;1960;x
デ・パウラ・ピネイド;568006;ANG;1930;1940;1990;1990;2;4;1;1;0;5;0;M568023;1930;1960;x
ドミンゲス;568007;ANG;1930;1930;1990;1990;2;5;528;1;0;5;0;L568007;1930;1943;x
フラゴサ・デ・カルモナ;568008;ANG;1930;1930;1930;1930;0;3;514;1;0;5;0;L568008;1930;1945;x
ゴメス・ダ・コスタ;568009;ANG;1930;1942;1990;1990;2;3;0;1;0;5;0;M568019;1930;1960;x
ロペス・アルヴェス;568010;ANG;1940;1943;1990;1990;2;4;128;1;0;5;0;M568004;1940;1960;x
ロペス・ソアレス・ブランコ;568011;ANG;1938;1941;1990;1990;2;4;64;1;0;5;0;L568011;1938;1960;x
マセド・エ・ブリト;568012;ANG;1930;1930;1990;1990;2;6;516;1;0;5;0;M568007;1930;1943;x
ペレイラ・デ・エカ;568013;ANG;1930;1930;1930;1990;1;5;514;1;0;5;0;M568008;1930;1941;x
プラシド・ドゥアルテ;568014;ANG;1930;1939;1990;1990;2;4;2;1;0;5;0;M568025;1930;1960;x
ロドリゲス;568015;ANG;1938;1943;1990;1990;2;5;256;1;0;5;0;L568015;1938;1960;x
ダ・コスタ・アンドラーデ;568016;ANG;1930;1940;1990;1990;2;4;4096;1;0;5;1;M568030;1930;1960;x
デ・アルブケルケ;568017;ANG;1930;1930;1990;1990;2;4;1536;1;0;5;1;M568009;1930;1960;x
リベイロ;568018;ANG;1930;1930;1990;1990;2;4;2560;1;0;5;1;L568018;1930;1960;x
カルヴァーリョ;568019;ANG;1930;1940;1990;1990;2;4;4096;1;0;5;2;M568032;1930;1960;x
ダルス・リベイロ;568020;ANG;1938;1942;1990;1990;2;3;0;1;0;5;2;M568028;1938;1960;x
デ・フレイタス・モルナ;568021;ANG;1942;1990;1990;1990;3;3;0;0;0;5;2;M568003;1942;1960;x
ファンゲイロ;568022;ANG;1930;1940;1945;1990;1;5;16384;3;0;5;2;M568010;1930;1960;x
ゴンカルヴェス・デ・カンポス;568023;ANG;1930;1940;1990;1990;2;4;16384;1;0;5;2;M568026;1930;1960;x
