Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アスブラタム;516000;AZB;1930;1990;1990;1990;3;3;16;0;0;5;0;L516000;1930;1960;x
バエル;516001;AZB;1930;1990;1990;1990;3;3;64;0;0;5;0;L516001;1930;1960;x
ベルケズ;516002;AZB;1930;1930;1939;1990;1;3;4;1;0;5;0;M516007;1930;1960;x
ビュージンク;516003;AZB;1930;1990;1990;1990;3;3;256;0;0;5;0;L516003;1930;1960;x
ダンブラトフ;516004;AZB;1930;1990;1990;1990;3;2;2;0;0;5;0;L516004;1930;1960;x
ガラス;516005;AZB;1930;1990;1990;1990;3;4;256;1;0;5;0;L516005;1930;1960;x
ガスパリアン;516006;AZB;1930;1930;1990;1990;2;4;128;0;0;5;0;M516033;1930;1960;x
ヘロルド;516007;AZB;1930;1990;1990;1990;3;3;2;0;0;5;0;L516007;1930;1960;x
ジュムシュ・カスパロフ;516008;AZB;1930;1942;1990;1990;3;5;20;1;0;5;0;L516008;1930;1960;x
カルジン;516009;AZB;1930;1990;1990;1990;3;2;66;0;0;5;0;L516009;1930;1960;x
カマリアン;516010;AZB;1930;1990;1990;1990;3;2;0;0;0;5;0;L516010;1930;1960;x
カザリアン;516011;AZB;1930;1939;1990;1990;2;2;1;1;0;5;0;L516011;1930;1960;x
カムフェルチャン;516012;AZB;1930;1930;1990;1990;2;3;1;0;0;5;0;L516012;1930;1960;x
コスロフ・エブク;516013;AZB;1930;1990;1990;1990;3;2;0;0;0;5;0;M516028;1930;1960;x
マコフ;516014;AZB;1930;1990;1990;1990;3;2;256;0;0;5;0;M516035;1930;1960;x
マメドフ;516015;AZB;1930;1930;1941;1990;2;4;128;1;0;5;0;M516008;1930;1960;x
メーマンダロフ;516016;AZB;1930;1930;1990;1990;2;3;514;1;0;5;0;M516030;1930;1960;x
ミューラー＝カーレ;516017;AZB;1930;1940;1990;1990;3;4;320;1;0;5;0;L516017;1930;1960;x
テレシェンコ;516018;AZB;1930;1990;1990;1990;3;3;2;0;0;5;0;L516018;1930;1960;x
タムザカラム;516019;AZB;1930;1990;1990;1990;3;2;0;0;0;5;0;L516019;1930;1960;x
ヴェリロフ;516020;AZB;1930;1941;1990;1990;2;3;8;1;0;5;0;L516020;1930;1960;x
フォン・ボートマ;516021;AZB;1930;1990;1990;1990;3;3;32;0;0;5;0;L516021;1930;1960;x
フォン・ダワンス;516022;AZB;1930;1990;1990;1990;3;3;1;0;0;5;0;L516022;1930;1960;x
ウェーゼ;516023;AZB;1930;1940;1990;1990;2;3;64;1;0;5;0;L516023;1930;1960;x
クラスノシャプカ;516024;AZB;1930;1930;1930;1990;1;2;0;0;0;5;1;M516009;1930;1960;x
マコフ;516025;AZB;1930;1990;1990;1990;3;2;1024;0;0;5;1;M516035;1930;1960;x
プファイファー;516026;AZB;1930;1930;1990;1990;2;4;4608;0;0;5;1;L516026;1930;1960;x
プント;516027;AZB;1930;1990;1990;1990;3;3;0;0;0;5;1;L516027;1930;1960;x
リューマン;516028;AZB;1930;1990;1990;1990;3;3;0;0;0;5;1;L516028;1930;1960;x
ビュージンク;516029;AZB;1930;1990;1990;1990;3;3;0;0;0;5;2;L516003;1930;1960;x
フランセン;516030;AZB;1930;1930;1990;1990;2;3;0;0;0;5;2;L516030;1930;1960;x
ゴルジアン;516031;AZB;1930;1990;1990;1990;3;2;16384;0;0;5;2;L516031;1930;1960;x
カマリアン;516032;AZB;1930;1990;1990;1990;3;2;4096;0;0;5;2;M516010;1930;1960;x
カザリアン;516033;AZB;1930;1990;1990;1990;3;4;65536;0;0;5;2;M516037;1930;1960;x
クラスノシャプカ;516034;AZB;1930;1930;1930;1990;1;2;131072;1;0;5;2;M516009;1930;1960;x
フォン・マッソー;516035;AZB;1930;1990;1990;1990;3;2;0;1;0;5;2;L516035;1930;1960;x
