Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アルベルト・ヴェナンシオ;31000;BRA;1943;1990;1990;1990;3;4;1;0;0;3;0;L31000;1943;1960;x
アルヴェス・マリニョ;31001;BRA;1930;1930;1941;1990;1;4;0;1;0;5;0;L31001;1930;1946;x
アウレリオ・デ・モンテイロ;31002;BRA;1930;1930;1990;1990;2;4;514;1;0;5;0;L31002;1930;1938;x
バラタ・デ・アゼヴェド;31003;BRA;1930;1938;1990;1990;2;5;1;1;0;4;0;L31003;1930;1943;x
バルボザ;31004;BRA;1939;1990;1990;1990;3;6;256;0;0;4;0;L31004;1939;1960;x
ボルジェス・ダ・フォンゼカ・ネト;31005;BRA;1944;1990;1990;1990;3;5;1;0;0;5;0;L31005;1944;1960;x
カルドゾ;31006;BRA;1938;1943;1990;1990;2;4;1;1;0;4;0;L31006;1938;1960;x
カシアノ;31007;BRA;1945;1990;1990;1990;3;4;0;0;0;3;0;L31007;1945;1960;x
カステロ・ブランカ;31008;BRA;1940;1942;1990;1990;2;6;4;1;0;4;0;L31008;1940;1946;x
シャダヴェク・デ・ラヴァラデ;31009;BRA;1930;1930;1990;1990;2;4;0;0;0;5;0;L31009;1930;1941;x
コエリョ・ネト;31010;BRA;1937;1944;1990;1990;3;6;128;1;0;4;0;L31010;1937;1947;x
コルデイロ・デ・ファリアス;31011;BRA;1930;1940;1942;1990;1;6;1;2;0;5;0;L31011;1930;1960;x
コスタ・エ・シルヴァ;31012;BRA;1942;1947;1949;1951;1;6;4;3;0;5;0;L31012;1942;1960;x
ダリンクール・フォンゼカ;31013;BRA;1930;1930;1990;1990;2;5;2;0;0;5;0;L31013;1930;1945;x
ダ・ガマ・レイロス;31014;BRA;1937;1942;1990;1990;2;4;128;1;0;4;0;L31014;1937;1960;x
ダ・シルヴァ;31015;BRA;1930;1938;1990;1990;2;5;544;2;0;5;0;L31015;1930;1946;x
デ・アシス;31016;BRA;1938;1941;1943;1990;2;6;2;2;0;5;0;L31016;1938;1960;x
デ・ソーザ・ダンタス・デ・メロ;31017;BRA;1930;1990;1990;1990;3;4;0;0;0;3;0;L31017;1930;1940;x
