Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アルマンド;563000;BUR;1942;1990;1990;1990;3;5;256;0;0;5;0;L563000;1942;1947;x
アウン・サン;563001;BUR;1930;1939;1941;1990;1;5;17;3;0;5;0;L563001;1930;1947;x
バ・ジー;563002;BUR;1938;1940;1990;1990;2;4;17;1;0;5;0;L563002;1938;1960;x
ブレイカー;563003;BUR;1939;1990;1990;1990;3;5;256;1;0;5;0;L563003;1939;1960;x
クラークソン;563004;BUR;1930;1930;1990;1990;2;5;514;1;0;5;0;M563008;1930;1941;x
コクラン;563005;BUR;1930;1930;1930;1990;1;4;2;0;0;5;0;M563003;1930;1943;x
フィッツジェラルド;563006;BUR;1940;1943;1990;1990;2;5;64;1;0;5;0;M563037;1940;1960;x
フツニン・ナウンワウン;563007;BUR;1940;1990;1990;1990;3;4;16;0;0;5;0;L563007;1940;1960;x
クン・サ;563008;BUR;1930;1940;1945;1990;1;4;16;2;0;5;0;M563039;1930;1960;x
クンサーク・マンライ;563009;BUR;1938;1990;1990;1990;3;5;16;0;0;5;0;L563009;1938;1960;x
キー・アウン;563010;BUR;1945;1990;1990;1990;3;2;2;0;0;5;0;L563010;1945;1960;x
ルン・チー;563011;BUR;1944;1990;1990;1990;3;3;32;0;0;5;0;L563011;1944;1960;x
マウン・キン;563012;BUR;1941;1990;1990;1990;3;4;4;0;0;5;0;M563040;1941;1960;x
マウン・テイン;563013;BUR;1944;1990;1990;1990;3;3;4;0;0;5;0;L563013;1944;1960;x
メリック;563014;BUR;1943;1990;1990;1990;3;5;128;0;0;5;0;M563042;1943;1960;x
ミャー・ボー;563015;BUR;1930;1943;1990;1990;2;5;272;2;0;5;0;M563038;1930;1960;x
ミント・スウェ;563016;BUR;1943;1946;1990;1990;2;4;0;1;0;5;0;L563016;1943;1960;x
ネ・ウィン;563017;BUR;1939;1944;1947;1990;2;6;1;2;0;5;0;L101130;1939;1960;x
ニュント・ティン;563018;BUR;1945;1990;1990;1990;3;2;128;0;0;5;0;L563018;1945;1960;x
オーン・ミント;563019;BUR;1944;1990;1990;1990;3;3;64;0;0;5;0;L563019;1944;1960;x
ピー・ソネ;563020;BUR;1943;1945;1990;1990;2;3;128;1;0;5;0;L563020;1943;1960;x
サイ・フラ;563021;BUR;1940;1990;1990;1990;3;3;16;0;0;5;0;L563021;1940;1946;x
サウ・オー;563022;BUR;1939;1943;1990;1990;2;4;18;1;0;5;0;M563022;1939;1960;x
サウ・トゥン;563023;BUR;1944;1990;1990;1990;3;3;0;0;0;5;0;L563023;1944;1960;x
セイン・トゥワ;563024;BUR;1945;1990;1990;1990;3;2;0;0;0;5;0;L563024;1945;1960;x
スミス・ダン;563025;BUR;1930;1944;1990;1990;2;5;32;1;0;5;0;M563036;1930;1960;x
タイク・トゥン;563026;BUR;1940;1945;1990;1990;2;3;256;1;0;5;0;M563019;1940;1960;x
タン・シュウェ;563027;BUR;1943;1945;1947;1990;1;5;1;2;0;5;0;L563027;1943;1960;x
タパ;563028;BUR;1930;1990;1990;1990;3;5;256;0;0;5;0;L563028;1930;1945;x
テイン・ニュント;563029;BUR;1944;1946;1990;1990;2;4;0;1;0;5;0;L563029;1944;1960;x
ティン・ライン;563030;BUR;1945;1990;1990;1990;3;2;0;0;0;5;0;L563030;1945;1960;x
ティン・トゥ;563031;BUR;1944;1990;1990;1990;3;3;1;0;0;5;0;L563031;1944;1960;x
ウィン・マウン;563032;BUR;1938;1944;1990;1990;2;4;16;1;0;5;0;M563028;1938;1960;x
ブロメル;563033;BUR;1939;1990;1990;1990;3;4;0;0;0;5;1;L563033;1939;1960;x
リトル;563034;BUR;1941;1990;1990;1990;3;4;8192;0;0;5;1;L563034;1941;1960;x
ポイグデストル;563035;BUR;1938;1942;1990;1990;2;4;4096;1;0;5;1;M563047;1938;1960;x
スコット＝ペイン;563036;BUR;1930;1939;1990;1990;2;5;0;1;0;5;1;M563009;1930;1960;x
ソー・ブー;563037;BUR;1930;1940;1990;1990;2;3;1024;1;0;5;1;M563015;1930;1960;x
タウ・カー;563038;BUR;1939;1990;1990;1990;3;2;2048;0;0;5;1;M563048;1939;1960;x
アイク・ルク;563039;BUR;1942;1990;1990;1990;3;3;4096;0;0;5;2;M563051;1942;1960;x
ボールドウィン;563040;BUR;1930;1940;1990;1990;2;4;0;1;0;5;2;L563040;1930;1960;x
モルトビー;536041;BUR;1930;1930;1939;1990;1;6;16384;2;0;5;2;M563010;1930;1960;x
ロブ;536042;BUR;1930;1990;1990;1990;3;4;4096;0;0;5;2;L563042;1930;1945;x
スマート;536043;BUR;1941;1990;1990;1990;3;4;65536;0;0;5;2;L563043;1941;1960;x
タイク・トゥン;563044;BUR;1940;1945;1990;1990;2;3;0;1;0;5;2;M563019;1940;1960;x
ティン・トゥン;563045;BUR;1942;1990;1990;1990;3;3;32768;0;0;5;2;M563052;1942;1960;x
