Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
ブラウン;76300;CHC;1930;1990;1990;1990;3;4;64;1;0;4;0;L76300;1930;1960;x
張琴秋（ツァン・キンキウ）;76301;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;L76301;1930;1960;x
張國燾（チャン・クオタオ）;76302;CHC;1930;1930;1930;1944;1;4;0;2;0;1;0;L76302;1930;1937;x
張鼎成（チャン・ディンチェン）;76303;CHC;1941;1990;1990;1990;3;4;0;1;0;4;0;L76303;1941;1960;x
張雲逸（チャン・ユンイ）;76304;CHC;1938;1943;1946;1990;2;4;0;3;0;4;0;L76304;1938;1960;x
趙尚志（ザオ・シャンジイ）;76305;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;L76305;1930;1960;x
趙一曼（ザオ・イイマン）;76306;CHC;1939;1990;1990;1990;3;5;0;1;0;4;0;L76306;1939;1960;x
陳昌浩（チェン・チャンハオ）;76307;CHC;1930;1930;1939;1990;1;6;0;2;0;4;0;L76307;1930;1960;x
陳庚（チェン・ゲン）;76308;CHC;1941;1945;1990;1990;3;4;0;2;0;4;0;L76308;1941;1960;x
陳光（チェン・グアン）;76309;CHC;1940;1990;1990;1990;3;4;4;1;0;4;0;L76309;1940;1960;x
陳毅（チェン・イー）;76310;CHC;1930;1930;1942;1990;1;7;68;3;0;4;0;L76310;1930;1960;x
周恩來（チョウ・エンライ）;76311;CHC;1930;1930;1930;1990;1;4;1;2;0;4;0;L76311;1930;1960;x
朱德（チュ・テイ）;76312;CHC;1930;1930;1930;1946;0;8;20;4;0;4;0;L76312;1930;1960;x
賀龍（ヘ・ロン）;76313;CHC;1942;1943;1990;1990;2;6;0;2;0;3;0;L76313;1942;1960;x
項英（シャン・イン）;76314;CHC;1930;1990;1990;1990;3;4;0;1;0;4;0;L76314;1930;1960;x
