Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アデア;1000;ENG;1942;1990;1990;1990;3;5;0;1;0;5;0;L1000;1942;1947;x
アダム;1001;ENG;1930;1930;1942;1990;2;6;513;2;0;5;0;L1001;1930;1946;x
エイケンヘッド;1002;ENG;1944;1990;1990;1990;3;5;64;1;0;5;0;L1002;1944;1947;x
アイリー;1003;ENG;1943;1946;1990;1990;3;4;129;2;0;5;0;L1003;1943;1960;x
アイズルウッド;1004;ENG;1940;1990;1990;1990;3;5;128;1;0;5;0;L1004;1940;1945;x
アランブルック;1005;ENG;1930;1930;1939;1944;1;9;6;5;0;5;0;L1005;1930;1946;x
アレクサンダー;1006;ENG;1930;1940;1942;1944;1;9;7;5;0;5;0;L1006;1930;1946;x
アルフライ;1007;ENG;1941;1944;1990;1990;3;6;2;2;0;5;0;L1007;1941;1960;x
アンブローズ;1008;ENG;1943;1990;1990;1990;3;5;16;1;0;5;0;L1008;1943;1947;x
アミアット＝ハル;1009;ENG;1943;1944;1947;1954;0;7;128;4;0;5;0;L1009;1943;1970;x
D・F・アンダーソン;1010;ENG;1939;1940;1990;1990;2;5;0;2;0;5;0;L1010;1939;1944;x
K・A・N・アンダーソン;1011;ENG;1938;1942;1990;1990;2;7;3;3;0;5;0;L1011;1938;1960;x
アーバスノット;1012;ENG;1943;1990;1990;1990;3;5;0;1;0;5;0;L1012;1943;1960;x
アークライト＝ホア＝ルースヴェン;1013;ENG;1942;1990;1990;1990;3;5;128;1;0;5;0;L1013;1942;1960;x
オーキンレック;1014;ENG;1930;1939;1940;1946;1;8;7;5;0;5;0;L1014;1930;1947;x
バイロン;1015;ENG;1941;1990;1990;1990;3;5;0;1;0;5;0;L1015;1941;1960;x
ベアード・オブ・ストーンヘイヴン;1016;ENG;1930;1930;1930;1990;1;5;514;1;0;5;0;L1016;1930;1940;x
ベラーノ・オブ・カリー;1017;ENG;1942;1990;1990;1990;3;4;0;1;0;5;0;L1017;1942;1945;x
バルフォア;1018;ENG;1930;1941;1990;1990;2;5;0;2;0;5;0;L1018;1930;1942;x
バレンタイン;1019;ENG;1943;1990;1990;1990;3;5;128;1;0;5;0;L1019;1943;1960;x
バンクロフト＝クック;1020;ENG;1943;1990;1990;1990;3;7;192;1;0;5;0;L1020;1943;1960;x
バンクス＝マクドナルド;1021;ENG;1939;1990;1990;1990;3;4;516;1;0;5;0;L1021;1939;1945;x
E・H・バーカー;1022;ENG;1941;1944;1990;1990;3;5;0;2;0;5;0;L1022;1941;1960;x
M・G・H・バーカー;1023;ENG;1930;1940;1990;1990;2;4;528;2;0;5;0;L1023;1930;1941;x
バルトロミュウ;1024;ENG;1930;1937;1990;1990;2;5;0;2;0;5;0;L1024;1930;1940;x
バーストウ;1025;ENG;1938;1990;1990;1990;3;5;256;1;0;5;0;L1025;1938;1942;x
バスティアン;1026;ENG;1942;1943;1990;1990;2;5;4;2;0;5;0;L1026;1942;1960;x
ベイトマン;1027;ENG;1940;1990;1990;1990;3;5;1;1;0;5;0;L1027;1940;1960;x
ビアード;1028;ENG;1943;1990;1990;1990;3;5;2;1;0;5;0;L1028;1943;1946;x
ボウマン;1029;ENG;1930;1990;1990;1990;3;5;0;1;0;5;0;L1029;1930;1944;x
ベック;1030;ENG;1938;1990;1990;1990;3;5;128;1;0;5;0;L1030;1938;1940;x
ベケット;1031;ENG;1941;1990;1990;1990;3;5;64;1;0;5;0;L1031;1941;1946;x
ベックウィズ＝スミス;1032;ENG;1938;1990;1990;1990;3;4;256;1;0;5;0;L1032;1938;1942;x
ベロー;1033;ENG;1930;1990;1990;1990;3;5;128;1;0;5;0;L1033;1930;1939;x
バーナード;1034;ENG;1930;1939;1990;1990;2;4;544;1;0;5;0;L1034;1930;1941;x
バーニー＝フィックリン;1035;ENG;1943;1990;1990;1990;3;5;1;1;0;5;0;L1035;1943;1960;x
ベッツ;1036;ENG;1945;1990;1990;1990;3;5;1;1;0;5;0;L1036;1945;1960;x
バード;1037;ENG;1939;1942;1990;1990;3;5;1;2;0;5;0;L1037;1939;1944;x
バークス;1038;ENG;1943;1990;1990;1990;3;5;128;1;0;5;0;L1038;1943;1946;x
ブラキストン＝ヒューストン;1039;ENG;1930;1990;1990;1990;3;5;576;1;0;5;0;L1039;1930;1941;x
ブラックスランド;1040;ENG;1942;1943;1990;1990;2;5;1;2;0;5;0;L1040;1942;1960;x
ボディントン;1041;ENG;1944;1946;1990;1990;2;5;32;2;0;5;0;L1041;1944;1960;x
ボルス;1042;ENG;1944;1990;1990;1990;3;5;256;1;0;5;0;L1042;1944;1960;x
バウチャー;1043;ENG;1942;1990;1990;1990;3;7;256;1;0;5;0;L1043;1942;1960;x
ボーン・オブ・アサーストン;1044;ENG;1943;1990;1990;1990;2;6;257;1;0;5;0;L1044;1943;1960;x
バウアー;1045;ENG;1945;1990;1990;1990;3;5;256;1;0;5;0;L1045;1945;1960;x
ブラッドショー;1046;ENG;1942;1990;1990;1990;3;5;0;1;0;5;0;L1046;1942;1946;x
H・R・ブリッグス;1047;ENG;1940;1942;1990;1990;2;5;1;2;0;5;0;L1047;1940;1960;x
R・ブリッグス;1048;ENG;1940;1990;1990;1990;3;5;128;1;0;5;0;L1048;1940;1947;x
ブロード;1049;ENG;1930;1940;1990;1990;2;5;640;2;0;5;0;L1049;1930;1942;x
ブローカス＝バロウズ;1050;ENG;1940;1942;1990;1990;2;5;4;2;0;5;0;L1050;1940;1946;x
ブルック＝ポファム;1051;ENG;1930;1930;1930;1990;1;6;513;3;0;5;0;L1051;1930;1941;x
ブラウンジョン;1052;ENG;1944;1990;1990;1990;3;5;128;1;0;5;0;L1052;1944;1960;x
ブラウニング;1053;ENG;1940;1944;1990;1990;3;7;256;2;0;5;0;L1053;1940;1960;x
ブルース;1054;ENG;1944;1990;1990;1990;3;5;264;1;0;5;0;L1054;1944;1960;x
バックナル;1055;ENG;1939;1941;1990;1990;2;5;0;2;0;5;0;L1055;1939;1990;x
ブレン＝スミス;1056;ENG;1942;1990;1990;1990;3;5;0;1;0;5;0;L1056;1942;1960;x
バーンズ;1057;ENG;1940;1990;1990;1990;3;5;64;1;0;5;0;L1057;1940;1960;x
バトラー;1058;ENG;1943;1990;1990;1990;3;4;1;1;0;5;0;L1058;1943;1944;x
カルスロップ＝ソーン;1059;ENG;1945;1990;1990;1990;3;5;0;1;0;5;0;L1059;1945;1960;x
カルヴァート＝ジョーンズ;1060;ENG;1942;1990;1990;1990;3;5;64;1;0;5;0;L1060;1942;1960;x
A・D・キャンベル;1061;ENG;1943;1990;1990;1990;3;5;32;1;0;5;0;L1061;1943;1960;x
キャンベル・オブ・アチャラダー;1062;ENG;1941;1990;1990;1990;3;5;4;1;0;5;0;L1062;1941;1946;x
キャンベル・オブ・エアーズ;1063;ENG;1943;1990;1990;1990;3;6;0;1;0;5;0;L1063;1943;1945;x
J・キャンベル;1064;ENG;1941;1990;1990;1990;3;5;128;1;0;5;0;L1064;1941;1942;x
キャメロン;1065;ENG;1942;1944;1990;1990;3;5;2;2;0;5;0;L1065;1942;1960;x
カーネ;1066;ENG;1944;1990;1990;1990;3;4;0;1;0;5;0;L1066;1944;1945;x
カー＝ホワイト;1067;ENG;1942;1990;1990;1990;3;4;1;1;0;5;0;L1067;1942;1944;x
カートン・デ・ウィアール;1068;ENG;1930;1941;1990;1990;2;5;768;2;0;5;0;L1068;1930;1943;x
カーヴァー;1069;ENG;1942;1944;1990;1990;2;8;129;2;0;5;0;L1069;1942;1960;x
A・J・H・カッセルズ;1070;ENG;1942;1944;1946;1990;2;7;4;3;0;5;0;L1070;1942;1960;x
R・A・カッセルズ;1071;ENG;1930;1930;1930;1990;1;4;513;1;0;5;0;L1071;1930;1941;x
シャーリントン;1072;ENG;1930;1990;1990;1990;3;5;640;1;0;5;0;L1072;1930;1943;x
クリスティー＝ミラー;1073;ENG;1930;1930;1990;1990;2;5;513;1;0;5;0;L1073;1930;1939;x
クリスティソン;1074;ENG;1941;1943;1945;1990;2;6;0;3;0;5;0;L1074;1941;1960;x
チャーチル;1075;ENG;1942;1990;1990;1990;3;6;1;1;0;5;0;L1075;1942;1960;x
クラーク;1076;ENG;1939;1942;1990;1990;2;5;2;2;0;5;0;L1076;1939;1946;x
クラーク;1077;ENG;1942;1990;1990;1990;3;5;128;1;0;5;0;L1077;1942;1946;x
クラッターバック;1078;ENG;1941;1990;1990;1990;3;5;0;1;0;5;0;L1078;1941;1946;x
コレット;1079;ENG;1930;1990;1990;1990;3;5;514;1;0;5;0;L1079;1930;1939;x
コリア;1080;ENG;1943;1990;1990;1990;3;5;4;1;0;5;0;L1080;1943;1960;x
クーム;1081;ENG;1930;1990;1990;1990;3;5;128;1;0;5;0;L1081;1930;1941;x
コットレル＝ヒル;1082;ENG;1943;1990;1990;1990;3;5;1;1;0;5;0;L1082;1943;1960;x
コックス;1083;ENG;1943;1990;1990;1990;3;6;0;1;0;5;0;L1083;1943;1960;x
クレイヴン＝ヴィカリー＝ブレヴェット;1084;ENG;1930;1990;1990;1990;3;4;514;1;0;5;0;L1084;1930;1938;x
クロッカー;1085;ENG;1940;1942;1943;1990;1;6;128;3;0;5;0;L1085;1940;1960;x
カニンガム;1086;ENG;1938;1941;1945;1990;3;6;4;4;0;5;0;L1086;1938;1946;x
カリー;1087;ENG;1942;1990;1990;1990;3;5;4;1;0;5;0;L1087;1942;1944;x
カーティス;1088;ENG;1942;1990;1990;1990;3;5;0;1;0;5;0;L1088;1942;1946;x
カスタンス;1089;ENG;1941;1990;1990;1990;3;6;128;1;0;5;0;L1089;1941;1943;x
ダルリンプル＝ファンショー;1090;ENG;1939;1990;1990;1990;3;5;128;1;0;5;0;L1090;1939;1945;x
ダーシー・アンダーソン;1091;ENG;1944;1947;1990;1990;3;7;128;3;0;5;0;L1091;1944;1960;x
ダヴィ;1092;ENG;1939;1990;1990;1990;3;5;128;1;0;5;0;L1092;1939;1960;x
ドーネイ;1093;ENG;1943;1990;1990;1990;3;6;128;1;0;5;0;L1093;1943;1960;x
デ・バーグ;1094;ENG;1930;1930;1939;1990;1;5;528;2;0;5;0;L1094;1930;1941;x
デ・ラ・ポーア・ベレスフォード＝ピアス;1095;ENG;1940;1942;1990;1990;2;6;5;2;0;5;0;L1095;1940;1947;x
デ・ラ・ポーア・ゴフ;1096;ENG;1930;1990;1990;1990;3;5;514;1;0;5;0;L1096;1930;1942;x
デ・リイル;1097;ENG;1930;1930;1930;1990;1;5;513;1;0;5;0;L1097;1930;1939;x
デ・レンジー＝チャンナー;1098;ENG;1930;1990;1990;1990;3;4;768;1;0;5;0;L1098;1930;1943;x
デンプシー;1099;ENG;1940;1943;1944;1946;3;7;5;4;0;5;0;L1099;1940;1947;x
デンホルム＝ヤング;1100;ENG;1944;1990;1990;1990;3;5;257;1;0;5;0;L1100;1944;1960;x
デ・リーマー＝モルガン;1101;ENG;1943;1990;1990;1990;3;7;0;1;0;5;0;L1101;1943;1947;x
デ・ヴォア;1102;ENG;1944;1990;1990;1990;3;5;256;1;0;5;0;L1102;1944;1960;x
デヴェレル;1103;ENG;1930;1930;1930;1937;0;5;514;2;0;5;0;L1103;1930;1939;x
ディッキンソン;1104;ENG;1930;1990;1990;1990;3;5;544;1;0;5;0;L1104;1930;1944;x
ディル;1105;ENG;1930;1930;1939;1941;0;7;1;3;0;5;0;L1105;1930;1944;x
ドビー;1106;ENG;1930;1939;1990;1990;2;5;545;2;0;5;0;L1106;1930;1942;x
ドビー;1107;ENG;1943;1990;1990;1990;3;5;256;1;0;5;0;L1107;1943;1947;x
ドブリー;1108;ENG;1945;1990;1990;1990;3;5;0;1;0;5;0;L1108;1945;1960;x
ドーマン＝スミス;1109;ENG;1938;1990;1990;1990;3;7;16;2;0;5;0;L1109;1938;1945;x
ドーン;1110;ENG;1943;1944;1990;1990;2;5;256;2;0;5;0;L1110;1943;1960;x
ドルー;1111;ENG;1930;1990;1990;1990;3;4;576;1;0;5;0;L1111;1930;1945;x
ダンカン;1112;ENG;1943;1990;1990;1990;3;5;128;1;0;5;0;L1112;1943;1960;x
ダンフォード＝スレーター;1113;ENG;1939;1990;1990;1990;3;5;128;1;0;5;0;L1113;1939;1943;x
エベルス;1114;ENG;1940;1990;1990;1990;3;5;192;1;0;5;0;L1114;1940;1946;x
アースキン;1115;ENG;1941;1942;1946;1990;2;5;0;4;0;5;0;L1115;1941;1960;x
エヴァンズ;1116;ENG;1943;1944;1990;1990;2;5;1;2;0;5;0;L1116;1943;1960;x
エヴレッグ;1117;ENG;1942;1990;1990;1990;3;5;128;1;0;5;0;L1117;1942;1960;x
ファーガソン;1118;ENG;1938;1990;1990;1990;3;5;1;1;0;5;0;L1118;1938;1943;x
フェスティング;1120;ENG;1940;1942;1949;1953;1;7;1;4;0;5;0;L1120;1940;1970;x
フィッシャー;1121;ENG;1943;1990;1990;1990;3;5;128;1;0;5;0;L1121;1943;1960;x
フィッツパトリック;1122;ENG;1939;1941;1946;1990;2;5;2;4;0;5;0;L1122;1939;1960;x
フロイヤー＝アクランド;1123;ENG;1938;1940;1990;1990;2;5;2;2;0;5;0;L1123;1938;1942;x
フォーチュン;1124;ENG;1938;1990;1990;1990;3;5;0;1;0;5;0;L1124;1938;1940;x
ファウクス;1125;ENG;1941;1990;1990;1990;3;5;1;1;0;5;0;L1125;1941;1946;x
フォックス＝ピット;1126;ENG;1943;1990;1990;1990;3;5;128;1;0;5;0;L1126;1943;1947;x
フランクリン;1127;ENG;1930;1938;1990;1990;2;5;2;2;0;5;0;L1127;1930;1945;x
フレイザー;1128;ENG;1940;1990;1990;1990;3;5;0;1;0;5;0;L1128;1940;1945;x
フロスト;1129;ENG;1943;1990;1990;1990;3;7;6;2;0;5;0;L1129;1943;1947;x
ゲアドナー;1130;ENG;1940;1941;1943;1990;2;6;128;3;0;5;0;L1130;1940;1960;x
ゲール;1131;ENG;1942;1944;1945;1990;3;6;256;3;0;5;0;L1131;1945;1960;x
ガンビア＝パリー;1132;ENG;1938;1990;1990;1990;3;5;128;1;0;5;0;L1132;1938;1941;x
ゲートハウス;1133;ENG;1941;1990;1990;1990;3;5;128;1;0;5;0;L1133;1941;1947;x
ジファード;1134;ENG;1940;1942;1943;1990;1;5;4;3;0;5;0;L1134;1940;1946;x
ゴドリー;1135;ENG;1930;1930;1930;1990;1;5;513;1;0;5;0;L1135;1930;1939;x
ゴドウフィン＝オースティン;1136;ENG;1939;1945;1946;1990;3;6;1;3;0;5;0;L1136;1939;1947;x
ゴードン＝フィンレイソン;1137;ENG;1930;1930;1939;1990;1;5;528;2;0;5;0;L1137;1930;1941;x
ゴート;1138;ENG;1930;1930;1937;1943;1;8;4;4;0;5;0;L1138;1930;1946;x
ゴット;1139;ENG;1939;1941;1990;1990;2;7;128;3;0;5;0;L1139;1939;1942;x
ゴフ;1140;ENG;1930;1930;1930;1990;1;5;513;1;0;5;0;L1140;1930;1938;x
ゴウリー;1141;ENG;1930;1930;1930;1990;1;5;514;1;0;5;0;L1141;1930;1937;x
グレイシー;1142;ENG;1942;1946;1990;1990;3;7;0;2;0;5;0;L1142;1942;1960;x
I・C・グラント;1143;ENG;1939;1990;1990;1990;3;5;0;1;0;5;0;L1143;1939;1944;x
C・J・C・グラント;1144;ENG;1930;1930;1937;1990;1;5;513;2;0;5;0;L1144;1930;1940;x
グラセット;1145;ENG;1938;1941;1990;1990;2;5;0;2;0;5;0;L1145;1938;1947;x
グレイ;1146;ENG;1945;1990;1990;1990;3;6;4;1;0;5;0;L1146;1945;1960;x
グリーンエイカー;1147;ENG;1943;1990;1990;1990;3;5;128;1;0;5;0;L1147;1943;1960;x
グレッグソン＝エリス;1148;ENG;1944;1990;1990;1990;3;5;128;1;0;5;0;L1148;1944;1960;x
