Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アイロ;9700;FIN;1930;1944;1990;1990;3;6;0;2;0;4;0;L9700;1930;1960;x
アルフサン;9701;FIN;1941;1990;1990;1990;3;5;10;1;0;4;0;L9701;1941;1960;x
アラジューリ;9702;FIN;1930;1990;1990;1990;3;4;0;1;0;4;0;L9702;1930;1960;x
アウティ;9703;FIN;1940;1943;1990;1990;3;6;9;2;0;4;0;L9703;1940;1960;x
ブリック;9704;FIN;1930;1939;1990;1990;2;6;12;2;0;4;0;L9704;1930;1960;x
エクバーグ;9705;FIN;1939;1990;1990;1990;3;4;0;1;0;5;0;L9705;1939;1960;x
ファガーナス;9706;FIN;1940;1990;1990;1990;3;6;8;1;0;4;0;L9706;1940;1960;x
グランデル;9707;FIN;1930;1938;1990;1990;2;4;1;2;0;5;0;L9707;1930;1960;x
ヘーネル;9708;FIN;1930;1939;1990;1990;2;6;2;2;0;4;0;L9708;1930;1947;x
ハヌクセラ;9709;FIN;1938;1990;1990;1990;3;5;72;1;0;4;0;L9709;1938;1942;x
ハインリッヒ;9710;FIN;1930;1930;1940;1990;1;7;8;3;0;4;0;L9710;1930;1960;x
J・H・ヘイスカネン;9711;FIN;1939;1990;1990;1990;3;5;8;1;0;4;0;L9711;1939;1960;x
K・A・ヘイスカネン;9712;FIN;1940;1941;1946;1990;2;6;12;3;0;4;0;L9712;1940;1960;x
ハーサロ;9713;FIN;1938;1990;1990;1990;3;5;8;1;0;4;0;L9713;1938;1960;x
ヘグルント;9714;FIN;1930;1930;1990;1990;2;5;10;1;0;4;0;L9714;1930;1960;x
イグナシオ;9715;FIN;1930;1930;1990;1990;2;7;522;2;0;5;0;L9715;1930;1941;x
イサクソン;9716;FIN;1938;1990;1990;1990;3;5;8;1;0;4;0;L9716;1938;1960;x
ヤルヴィネン;9717;FIN;1940;1944;1990;1990;3;6;8;2;0;4;0;L9717;1940;1960;x
カイラ;9718;FIN;1930;1990;1990;1990;3;6;520;1;0;5;0;L9718;1930;1939;x
カーリエイネン;9719;FIN;1939;1990;1990;1990;3;6;8;1;0;4;0;L9719;1939;1960;x
ラーティカイネン;9720;FIN;1930;1930;1941;1990;1;7;12;3;0;4;0;L9720;1930;1960;x
ラグス;9721;FIN;1940;1990;1990;1990;3;8;136;1;0;4;0;L9721;1940;1960;x
リンダー;9722;FIN;1930;1930;1940;1990;1;7;520;2;0;5;0;L9722;1930;1943;x
マルムベルイ;9723;FIN;1930;1930;1946;1990;1;5;0;2;0;5;0;L9723;1930;1960;x
マルティン＝ヴェツァー;9724;FIN;1930;1930;1930;1990;1;7;514;2;0;5;0;L9724;1930;1944;x
マルトラ;9725;FIN;1930;1940;1944;1990;2;6;12;3;0;4;0;L9725;1930;1960;x
メランデル;9726;FIN;1942;1990;1990;1990;3;4;4;1;0;4;0;L9726;1942;1960;x
マキネン;9727;FIN;1938;1941;1990;1990;3;6;8;2;0;4;0;L9727;1938;1960;x
ネノネン;9728;FIN;1930;1930;1930;1990;1;6;64;2;0;5;0;L9728;1930;1960;x
オーシュ;9729;FIN;1930;1940;1990;1990;2;6;2;1;0;4;0;L9729;1930;1945;x
オイノネン;9730;FIN;1930;1990;1990;1990;3;5;40;1;0;4;0;L9730;1930;1960;x
パール;9731;FIN;1939;1990;1990;1990;3;5;8;1;0;4;0;L9731;1939;1960;x
パジャリ;9732;FIN;1938;1990;1990;1990;3;7;24;1;0;4;0;L9732;1938;1947;x
パルムロス;9733;FIN;1930;1990;1990;1990;3;6;520;1;0;4;0;L9733;1930;1941;x
パロジャーヴィ;9734;FIN;1941;1990;1990;1990;3;5;8;1;0;4;0;L9734;1941;1960;x
ラーパナ;9735;FIN;1938;1990;1990;1990;3;5;8;1;0;4;0;L9735;1938;1960;x
ルース;9736;FIN;1938;1990;1990;1990;3;5;1;1;0;5;0;L9736;1938;1960;x
A・シフヴォ;9737;FIN;1930;1930;1941;1990;1;6;2;2;0;4;0;L9737;1930;1960;x
J・シフヴォ;9738;FIN;1940;1947;1990;1990;2;6;8;2;0;4;0;L9738;1940;1960;x
シーラスヴオ;9739;FIN;1930;1930;1990;1990;2;9;264;3;0;4;0;L9739;1930;1947;x
スネルマン;9740;FIN;1930;1990;1990;1990;3;4;72;1;0;4;0;L9740;1930;1942;x
サンドマン;9741;FIN;1930;1940;1944;1990;2;4;1;3;0;4;0;L9741;1930;1960;x
スワンストロム;9742;FIN;1930;1990;1990;1990;3;4;64;1;0;5;0;L9742;1930;1942;x
スヴェンソン;9743;FIN;1939;1990;1990;1990;3;6;8;1;0;4;0;L9743;1939;1960;x
タルヴェラ;9744;FIN;1930;1939;1941;1990;1;7;4;3;0;4;0;L9744;1930;1960;x
タポラ;9745;FIN;1930;1930;1941;1990;3;5;10;3;0;4;0;L9745;1930;1960;x
トゥオンポ;9746;FIN;1939;1941;1990;1990;2;6;4;2;0;4;0;L9746;1939;1960;x
ヴァルヴェ;9747;FIN;1930;1941;1990;1990;2;6;0;2;0;5;0;L9747;1930;1960;x
ヴィフマ;9748;FIN;1930;1990;1990;1990;3;4;0;1;0;4;0;L9748;1930;1939;x
ヴィルジャネン;9749;FIN;1940;1990;1990;1990;3;5;0;1;0;4;0;L9749;1940;1942;x
マンネルへイム;9750;FIN;1930;1930;1930;1930;0;9;522;4;0;4;0;L9750;1930;1946;x
ヴァルデン;9751;FIN;1930;1930;1930;1990;1;5;0;2;0;5;0;L9751;1930;1946;x
ヴァレニウス;9752;FIN;1930;1990;1990;1990;3;4;0;1;0;4;0;L9752;1930;1941;x
ウィルカマ;9753;FIN;1930;1930;1930;1990;1;5;514;2;0;5;0;L9753;1930;1944;x
ウィネル;9754;FIN;1939;1990;1990;1990;3;6;8;1;0;4;0;L9754;1939;1943;x
オークイスト;9755;FIN;1930;1930;1990;1990;2;6;520;1;0;4;0;L9755;1930;1960;x
オスターマン;9756;FIN;1930;1930;1990;1990;2;6;2;1;0;4;0;L9756;1930;1960;x
アーホ;9757;FIN;1943;1948;1990;1990;2;5;0;2;0;5;1;L9757;1943;1960;x
エンキオ;9758;FIN;1938;1942;1990;1990;3;4;8192;2;0;5;1;L9758;1938;1960;x
ハコラ;9759;FIN;1939;1944;1990;1990;3;5;0;2;0;5;1;L9759;1939;1960;x
ホロラ;9760;FIN;1930;1930;1990;1990;2;5;8192;2;0;5;1;L9760;1930;1941;x
ユロポヴァ;9761;FIN;1930;1990;1990;1990;3;4;1024;1;0;5;1;L9761;1930;1943;x
キヴィマキ;9762;FIN;1930;1930;1942;1990;2;5;0;2;0;5;1;L9762;1930;1960;x
コイヴィスト;9763;FIN;1939;1990;1990;1990;3;4;8192;1;0;5;1;L9763;1939;1960;x
パッカラ;9764;FIN;1943;1990;1990;1990;3;5;1024;2;0;5;1;L9764;1943;1960;x
パウカ;9765;FIN;1930;1990;1990;1990;3;4;1024;1;0;5;1;L9765;1930;1960;x
ラホラ;9766;FIN;1938;1942;1990;1990;2;5;2048;2;0;4;1;L9766;1938;1960;x
バーグ;9767;FIN;1939;1990;1990;1990;3;4;0;1;0;4;2;L9767;1939;1960;x
ブレマー;9768;FIN;1942;1990;1990;1990;3;4;0;1;0;4;2;L9768;1942;1960;x
エスコラ;9769;FIN;1930;1990;1990;1990;3;4;0;1;0;4;2;L9769;1930;1940;x
ガブリエルソン;9770;FIN;1930;1990;1990;1990;3;5;0;1;0;5;2;L9770;1930;1960;x
ラージョ;9771;FIN;1938;1990;1990;1990;3;4;0;1;0;4;2;L9771;1938;1960;x
ローレンツ;9772;FIN;1938;1942;1990;1990;2;5;4096;2;0;4;2;L9772;1938;1960;x
ルンドクヴィスト;9773;FIN;1930;1930;1990;1990;2;6;0;1;0;4;2;L9773;1930;1960;x
マグヌソン;9774;FIN;1937;1990;1990;1990;3;4;0;1;0;5;2;L9774;1937;1943;x
オパス;9775;FIN;1941;1990;1990;1990;3;5;0;1;0;5;2;L9775;1941;1960;x
パジャリ;9776;FIN;1938;1990;1990;1990;3;4;8192;1;0;4;2;L9776;1938;1960;x
サーコ;9777;FIN;1930;1939;1943;1990;1;4;0;3;0;5;2;L9777;1930;1960;x
シレン;9778;FIN;1938;1990;1990;1990;3;4;0;1;0;4;2;L9778;1938;1960;x
ソメルト;9779;FIN;1930;1930;1990;1990;2;5;0;1;0;4;2;L9779;1930;1960;x
