Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アルダン・ド・ピク;24000;FRA;1930;1938;1990;1990;2;4;1;2;0;5;0;L24000;1930;1960;x
アルラボッセ;24001;FRA;1930;1939;1990;1990;3;3;0;2;0;4;0;L24001;1930;1960;x
アルマンド;24002;FRA;1943;1990;1990;1990;3;4;1;1;0;4;0;L24002;1943;1960;x
アルミンギート;24003;FRA;1937;1939;1990;1990;2;3;0;2;0;3;0;L24003;1937;1960;x
アルノー;24004;FRA;1939;1990;1990;1990;3;3;2;1;0;4;0;L24004;1939;1944;x
オーデット;24005;FRA;1930;1938;1943;1990;3;3;2;3;0;4;0;L24005;1930;1960;x
エーメ;24006;FRA;1930;1943;1946;1990;3;4;0;3;0;3;0;L24006;1930;1960;x
バロー;24007;FRA;1930;1990;1990;1990;3;4;64;1;0;4;0;L24007;1930;1960;x
バスティアン;24008;FRA;1943;1990;1990;1990;3;4;256;1;0;3;0;L24008;1943;1960;x
ボーモント;24009;FRA;1938;1990;1990;1990;3;3;32;1;0;4;0;L24009;1938;1960;x
ベルタン＝ボウサス;24010;FRA;1937;1940;1990;1990;3;3;1;2;0;4;0;L24010;1937;1960;x
ベソアート;24011;FRA;1940;1942;1943;1990;1;6;260;3;0;5;0;L24011;1940;1960;x
ビヨッテ;24012;FRA;1943;1946;1990;1990;3;6;0;2;0;5;0;L24012;1943;1960;x
ビンゲン;24013;FRA;1942;1990;1990;1990;3;5;64;1;0;5;0;L24013;1942;1944;x
ブラン;24014;FRA;1930;1930;1938;1990;1;3;0;2;0;4;0;L24014;1930;1960;x
ブランシャール;24015;FRA;1930;1930;1990;1990;2;4;2;1;0;4;0;L24015;1930;1960;x
ブランシェ;24016;FRA;1943;1946;1990;1990;3;4;4;2;0;4;0;L24016;1943;1960;x
ブレイゾ;24017;FRA;1940;1943;1944;1990;2;5;0;3;0;5;0;L24017;1940;1960;x
ボンディ;24018;FRA;1944;1945;1990;1990;3;6;256;2;0;5;0;L24018;1944;1960;x
ブールジュ＝モーヌリー;24019;FRA;1944;1947;1990;1990;3;3;32;2;0;3;0;L24019;1944;1947;x
ブリドー;24020;FRA;1930;1939;1990;1990;2;3;0;1;0;2;0;L24020;1930;1960;x
ブリザック;24021;FRA;1944;1945;1990;1990;3;5;0;2;0;5;0;L24021;1944;1960;x
ブロカール;24022;FRA;1939;1990;1990;1990;3;4;128;1;0;5;0;L24022;1939;1943;x
ブロッサ;24023;FRA;1942;1943;1990;1990;2;5;4;2;0;5;0;L24023;1942;1944;x
ブリュノー;24024;FRA;1939;1990;1990;1990;3;4;128;1;0;4;0;L24024;1939;1941;x
キャリーズ;24025;FRA;1942;1945;1990;1990;3;5;4;2;0;5;0;L24025;1942;1960;x
カメリーニ;24026;FRA;1946;1990;1990;1990;3;4;256;1;0;5;0;L24026;1946;1990;x
カール;24027;FRA;1930;1938;1990;1990;2;3;1;2;0;4;0;L24027;1930;1960;x
カーペンティア;24028;FRA;1940;1944;1947;1990;3;6;1;3;0;5;0;L24028;1940;1960;x
カトルー;24029;FRA;1939;1941;1943;1947;2;6;0;4;0;4;0;L24029;1939;1960;x
シャバン＝デルマ;24030;FRA;1944;1990;1990;1990;3;3;1;1;0;5;0;L24030;1944;1960;x
シャルディグニ;24031;FRA;1930;1930;1990;1990;2;4;514;1;0;5;0;L24031;1930;1939;x
シェヴィロン;24032;FRA;1942;1946;1990;1990;3;5;1;2;0;5;0;L24032;1942;1960;x
コレット;24033;FRA;1941;1944;1990;1990;3;6;257;2;0;5;0;L24033;1941;1945;x
コルソン;24034;FRA;1930;1930;1930;1990;1;5;2;2;0;2;0;L24034;1930;1960;x
コンデ;24035;FRA;1930;1930;1930;1990;1;5;514;2;0;5;0;L24035;1930;1960;x
コラップ;24036;FRA;1930;1930;1938;1990;1;6;2;2;0;5;0;L24036;1930;1960;x
コルニレ;24037;FRA;1930;1930;1990;1990;2;3;514;1;0;5;0;L24037;1930;1939;x
クレパン＝アルトゥ;24038;FRA;1943;1990;1990;1990;3;5;4;1;0;4;0;L24038;1943;1960;x
ダラース;24039;FRA;1930;1939;1990;1990;2;4;0;2;0;5;0;L24039;1930;1960;x
ダルクール;24040;FRA;1943;1990;1990;1990;3;4;256;1;0;4;0;L24040;1943;1960;x
ド・バズレール・ド・ルピエール;24041;FRA;1930;1938;1990;1990;2;4;513;2;0;4;0;L24041;1930;1960;x
ド・ベノウヴィル;24042;FRA;1944;1990;1990;1990;3;5;4;1;0;5;0;L24042;1944;1960;x
ド・ボアシェ・ド・リュネ;24043;FRA;1939;1990;1990;1990;3;4;4;1;0;5;0;L24043;1939;1960;x
ド・コルタ;24044;FRA;1938;1990;1990;1990;3;3;1;1;0;3;0;L24044;1938;1960;x
ド・キュジス;24045;FRA;1944;1990;1990;1990;3;3;32;1;0;5;0;L24045;1944;1960;x
ド・シヴォクト;24046;FRA;1939;1990;1990;1990;3;3;2;1;0;4;0;L24046;1939;1942;x
ド・ゴール;24047;FRA;1939;1940;1941;1990;1;8;132;3;0;5;0;L24047;1939;1960;x
ド・ギレボン;24048;FRA;1944;1990;1990;1990;3;4;1;1;0;5;0;L24048;1944;1990;x
ド・エダン;24049;FRA;1942;1943;1946;1990;2;5;64;3;0;5;0;L24049;1942;1960;x
ド・ラ・ポルト・ド・タイル;24050;FRA;1930;1938;1939;1990;2;4;2;3;0;5;0;L24050;1930;1960;x
ド・ラルミナ;24051;FRA;1941;1942;1943;1990;1;5;5;3;0;5;0;L24051;1941;1960;x
ド・ルー;24052;FRA;1938;1990;1990;1990;3;5;0;1;0;5;0;L24052;1938;1960;x
ド・サン＝モーリス;24053;FRA;1930;1930;1990;1990;2;3;1;1;0;5;0;L24053;1930;1960;x
