Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アンドラス;31100;HUN;1944;1990;1990;1990;3;4;256;0;0;5;0;L31100;1944;1990;x
アルジャ＝パプ;31101;HUN;1938;1942;1990;1990;2;5;4;1;0;3;0;L31101;1938;1946;x
バビチ;31102;HUN;1940;1990;1990;1990;3;6;0;0;0;5;0;L31102;1940;1990;x
バイノチ;31103;HUN;1930;1930;1943;1990;1;5;64;1;0;5;0;L31103;1930;1990;x
バカイ;31104;HUN;1930;1943;1990;1990;3;5;0;1;0;2;0;L31104;1930;1990;x
バランカイ;31105;HUN;1930;1990;1990;1990;3;5;0;0;0;3;0;L31105;1930;1942;x
バルタ・フォン・ダルノクファルヴァ;31106;HUN;1930;1930;1930;1990;1;4;544;1;0;5;0;L31106;1930;1942;x
バウマン;31107;HUN;1944;1990;1990;1990;3;4;0;0;0;5;0;L31107;1944;1990;x
ベルディ;31108;HUN;1937;1943;1990;1990;3;5;0;1;0;5;0;L31108;1937;1946;x
ベレグフィ;31109;HUN;1930;1937;1941;1990;1;5;0;2;0;5;0;L31109;1930;1990;x
ベルジン;31110;HUN;1945;1947;1990;1990;3;6;4;1;0;5;0;L31110;1945;1990;x
ビリニツァー;31111;HUN;1930;1930;1990;1990;2;5;513;1;0;4;0;L31111;1930;1940;x
ボール;31112;HUN;1942;1944;1990;1990;2;4;0;1;0;5;0;L31112;1942;1990;x
ブルンスウィク;31113;HUN;1941;1946;1990;1990;3;5;4;1;0;5;0;L31113;1941;1990;x
チャタイ・フォン・チャタイ;31114;HUN;1930;1930;1941;1990;1;6;576;1;0;5;0;L31114;1930;1990;x
チクセリクス・ヴォン・バクサニ;31115;HUN;1930;1930;1990;1990;2;5;514;1;0;4;0;L31115;1930;1939;x
ダロス;31116;HUN;1942;1990;1990;1990;3;6;0;0;0;4;0;L31116;1942;1944;x
ディーク;31117;HUN;1944;1990;1990;1990;3;6;128;1;0;2;0;L31117;1944;1990;x
デクレヴァ;31118;HUN;1938;1940;1942;1990;2;6;1;2;0;5;0;L31118;1938;1950;x
デンク;31119;HUN;1930;1930;1938;1990;2;6;516;1;0;5;0;L31119;1930;1990;x
ドマニシュキ;31120;HUN;1938;1941;1990;1990;2;6;516;2;0;3;0;L31120;1938;1945;x
ドモトル;31121;HUN;1939;1942;1990;1990;2;6;2;2;0;4;0;L31121;1939;1990;x
ドゥスカ;31122;HUN;1944;1990;1990;1990;3;7;16;0;0;2;0;L31122;1944;1990;x
ファブリ;31123;HUN;1938;1940;1990;1990;2;6;513;1;0;4;0;L31123;1938;1990;x
ファラゴ;31124;HUN;1940;1943;1990;1990;2;5;2;1;0;5;0;L31124;1940;1953;x
ファルカス;31125;HUN;1941;1943;1945;1990;2;5;0;2;0;5;0;L31125;1941;1990;x
フェケテハルミ＝チェイドナー;31126;HUN;1939;1941;1944;1990;2;6;32;2;0;3;0;L31126;1939;1990;x
フェルイェンツィク;31127;HUN;1930;1930;1990;1990;2;4;512;1;0;5;0;L31127;1930;1939;x
フリードリヒ;31128;HUN;1938;1990;1990;1990;3;4;0;0;0;5;0;L31128;1938;1939;x
ガロシー;31129;HUN;1944;1990;1990;1990;3;5;32;2;0;3;0;L31129;1944;1958;x
ガトメゼイ;31130;HUN;1944;1990;1990;1990;3;6;256;0;0;5;0;L31130;1944;1990;x
ゴロンディ＝ヴォヴァク;31131;HUN;1930;1938;1941;1990;1;7;516;3;0;4;0;L31131;1930;1954;x
グラッシー;31132;HUN;1942;1990;1990;1990;3;7;128;2;0;5;0;L31132;1942;1990;x
ゲンベシュ;31133;HUN;1930;1990;1990;1990;3;6;2;0;0;5;0;L31133;1930;1940;x
ハーディー;31134;HUN;1942;1990;1990;1990;3;5;0;0;0;5;0;L31134;1942;1990;x
ヘネイエイ;31135;HUN;1930;1941;1944;1990;2;7;2;3;0;5;0;L31135;1930;1990;x
ヘシュレニ;31136;HUN;1939;1942;1944;1990;2;6;1;3;0;5;0;L31136;1939;1990;x
ホロシ＝クティ;31137;HUN;1942;1944;1990;1990;2;6;32;2;0;5;0;L31137;1942;1990;x
ホンティ;31138;HUN;1939;1990;1990;1990;3;4;0;0;0;2;0;L31138;1939;1943;x
F・ホルヴァト;31139;HUN;1943;1944;1990;1990;1;6;256;2;0;5;0;L31139;1943;1990;x
S・ホルヴァト;31140;HUN;1940;1990;1990;1990;3;6;128;1;0;5;0;L31140;1942;1990;x
イブラニ;31141;HUN;1942;1944;1990;1990;2;6;4;2;0;5;0;L31141;1942;1990;x
ヤニ;31142;HUN;1930;1937;1941;1990;3;7;2;3;0;5;0;L31142;1930;1990;x
キル;31143;HUN;1945;1947;1990;1990;2;4;0;1;0;5;0;L31143;1945;1990;x
コロシヴァリ・デ・コロシヴァル;31144;HUN;1941;1990;1990;1990;3;5;1;1;0;5;0;L31144;1941;1942;x
コルタイ;31145;HUN;1940;1942;1990;1990;2;6;64;2;0;5;0;L31145;1940;1990;x
コザルド;31146;HUN;1930;1930;1990;1990;2;5;528;1;0;5;0;L31146;1930;1939;x
ラカトシュ;31147;HUN;1938;1940;1943;1990;2;7;0;3;0;4;0;L31147;1938;1990;x
ラースロー;31148;HUN;1941;1943;1944;1990;2;6;0;2;0;4;0;L31148;1941;1990;x
ラザール;31149;HUN;1942;1944;1990;1990;3;4;2;1;0;4;0;L31149;1942;1990;x
ルカチチ・ヴォン・ソモルヤ;31150;HUN;1930;1930;1990;1990;2;4;514;1;0;4;0;L31150;1930;1943;x
マグアロシ;31151;HUN;1940;1942;1944;1990;2;6;4;2;0;5;0;L31151;1940;1990;x
マサニ;31152;HUN;1945;1990;1990;1990;3;6;2;0;0;3;0;L31152;1945;1990;x
メレズ;31153;HUN;1944;1990;1990;1990;3;5;4;0;0;5;0;L31153;1944;1990;x
メゾ;31154;HUN;1941;1990;1990;1990;3;5;0;1;0;5;0;L31154;1941;1990;x
ミクローシュ・デ・ダールノキ;31155;HUN;1938;1940;1943;1990;2;6;0;3;0;4;0;L31155;1938;1990;x
ナダイ;31156;HUN;1937;1940;1942;1990;1;7;0;3;0;3;0;L31156;1937;1990;x
ナジ・V;31157;HUN;1930;1937;1940;1990;2;6;2;2;0;5;0;L31157;1930;1990;x
オスラニ;31158;HUN;1942;1990;1990;1990;3;7;0;1;0;4;0;L31158;1942;1990;x
オストヴィクス;31159;HUN;1944;1990;1990;1990;3;6;128;0;0;4;0;L31159;1944;1990;x
パタキ;31160;HUN;1942;1990;1990;1990;3;6;0;0;0;3;0;L31160;1942;1946;x
ポコルニ;31161;HUN;1930;1990;1990;1990;3;6;513;1;0;5;0;L31161;1930;1941;x
レヴィ;31162;HUN;1930;1939;1990;1990;2;4;513;1;0;3;0;L31162;1930;1940;x
ルスキシャイ＝ルディガー;31163;HUN;1930;1941;1943;1990;2;6;1;2;0;5;0;L31163;1930;1990;x
ロダー;31164;HUN;1939;1945;1990;1990;3;6;0;2;0;4;0;L31164;1939;1990;x
サスカ;31165;HUN;1942;1990;1990;1990;3;6;128;1;0;5;0;L31165;1942;1990;x
セルケイ;31166;HUN;1943;1990;1990;1990;3;4;64;0;0;5;0;L31166;1943;1990;x
シュヴォイ;31167;HUN;1930;1930;1935;1990;3;6;514;3;0;4;0;L31167;1939;1942;x
シポス;31168;HUN;1930;1930;1990;1990;2;4;514;1;0;3;0;L31168;1930;1938;x
シプラク;31169;HUN;1948;1990;1990;1990;3;5;128;0;0;4;0;L31169;1948;1990;x
ソニ;31170;HUN;1930;1930;1930;1990;1;6;513;2;0;3;0;L31170;1930;1958;x
シェケリ;31171;HUN;1938;1945;1990;1990;3;6;1;2;0;3;0;L31171;1938;1990;x
ソンバトヘイ;31172;HUN;1930;1938;1941;1943;0;7;0;3;0;4;0;L31172;1930;1990;x
ストーヤイ;31173;HUN;1930;1939;1944;1990;2;3;0;2;0;5;0;L31173;1930;1990;x
シュジ;31174;HUN;1944;1990;1990;1990;3;7;256;1;0;5;0;L31174;1944;1990;x
シルマイ;31175;HUN;1941;1990;1990;1990;3;6;2;2;0;3;0;L31175;1941;1990;x
タポディ;31176;HUN;1940;1990;1990;1990;3;4;256;0;0;4;0;L31176;1940;1943;x
タルナイ;31177;HUN;1942;1990;1990;1990;3;5;0;1;0;5;0;L31177;1942;1990;x
テルネグ・K;31178;HUN;1939;1942;1944;1990;2;6;64;2;0;5;0;L31178;1939;1990;x
トート;31179;HUN;1941;1990;1990;1990;3;6;128;0;0;4;0;L31179;1941;1944;x
ウイヴァリ;31180;HUN;1943;1990;1990;1990;3;4;16;0;0;4;0;L31180;1943;1990;x
ヴァスタフ;31181;HUN;1930;1938;1990;1990;2;5;2;1;0;4;0;L31181;1930;1941;x
ヴァタイ;31182;HUN;1940;1943;1990;1990;2;6;0;2;0;1;0;L31182;1940;1990;x
ヴェレス;31183;HUN;1937;1940;1944;1990;2;7;128;3;0;5;0;L31183;1937;1990;x
ヴィラジ;31184;HUN;1941;1990;1990;1990;3;4;0;0;0;3;0;L31184;1941;1944;x
ヴォン・ストム;31185;HUN;1939;1941;1945;1990;2;7;128;3;0;5;0;L31185;1939;1990;x
ヴェレシュ;31186;HUN;1940;1942;1944;1990;3;7;0;1;0;5;0;L31186;1940;1990;x
ウェルト;31187;HUN;1930;1930;1938;1990;1;7;513;2;0;4;0;L31187;1930;1941;x
ハーディー;31188;HUN;1935;1942;1990;1990;3;4;0;0;0;5;1;L31188;1935;1990;x
ホルティ;31189;HUN;1930;1930;1930;1990;1;7;512;2;0;5;1;L31189;1930;1990;x
ウェルト;31190;HUN;1930;1930;1990;1990;2;4;0;0;0;4;1;L31190;1930;1941;x
アンドラス;31191;HUN;1944;1990;1990;1990;3;5;0;0;0;5;2;L31191;1944;1990;x
デブローディ;31192;HUN;1944;1947;1990;1990;3;5;4096;1;0;4;2;L31192;1944;1990;x
ヘレブロント;31193;HUN;1942;1990;1990;1990;3;6;4096;0;0;5;2;L31193;1943;1990;x
ユスティ;31194;HUN;1940;1942;1944;1990;1;4;0;2;0;5;2;L31194;1940;1990;x
リッタイ;31195;HUN;1930;1936;1940;1990;1;6;512;2;0;5;0;L31195;1930;1941;x
ピリティ;31196;HUN;1942;1990;1990;1990;3;4;32768;0;0;4;2;L31196;1942;1990;x
ポットヨンディ;31197;HUN;1945;1945;1990;1990;2;4;0;1;0;4;2;L31197;1945;1990;x
ラコシ;31198;HUN;1930;1940;1990;1990;2;4;0;1;0;5;2;L31198;1930;1943;x
ラパイチ;31199;HUN;1930;1939;1990;1990;2;4;16384;1;0;4;2;L31199;1930;1990;x
サバドス;31200;HUN;1943;1990;1990;1990;3;4;4096;0;0;4;2;L31200;1943;1990;x
セントジョルジ;31201;HUN;1945;1990;1990;1990;3;5;0;0;0;5;2;L31201;1945;1990;x
ソブランチ;31202;HUN;1942;1990;1990;1990;3;5;0;0;0;4;2;L31202;1942;1990;x
トモール;31203;HUN;1940;1946;1990;1990;2;5;0;1;0;3;2;L31203;1944;1990;x
ウイスザジ;31204;HUN;1939;1941;1990;1990;2;5;0;1;0;5;2;L31204;1939;1990;x
B・キラーイ;31212;HUN;1949;1956;1990;1990;2;6;0;0;0;5;0;L31212;1949;1990;x
バンガ;31213;HUN;1930;1936;1990;1990;2;6;544;2;0;5;0;L31213;1930;1956;x
メドヴェイ;31214;HUN;1930;1936;1990;1990;2;5;512;1;0;5;0;L31214;1930;1990;x
ファルタ;31216;HUN;1930;1937;1990;1990;2;4;512;0;0;5;0;L31216;1930;1939;x
バラバーシュ;31218;HUN;1930;1938;1990;1990;2;5;0;1;0;5;0;L31218;1930;1948;x
メレイ;31219;HUN;1930;1938;1990;1990;2;5;0;1;0;5;0;L31219;1930;1990;x
J・キシュ;31220;HUN;1930;1938;1945;1990;2;5;0;0;0;5;0;L31220;1930;1990;x
フュールキー;31232;HUN;1937;1939;1990;1990;2;6;1;0;0;5;0;L31232;1937;1990;x
L・キシュ;31233;HUN;1937;1939;1990;1990;2;6;1;2;0;5;0;L31233;1937;1990;x
Gy・ナジ;31234;HUN;1937;1940;1990;1990;2;6;0;2;0;5;0;L31234;1937;1945;x
L・ホルヴァート;31236;HUN;1938;1940;1990;1990;2;6;0;1;0;5;0;L31236;1938;1990;x
E・ジメシュ;31239;HUN;1938;1941;1990;1990;2;6;256;1;0;5;0;L31239;1938;1990;x
ダマシー;31240;HUN;1938;1941;1990;1990;3;4;2;0;0;5;0;L31240;1938;1990;x
ネメレー;31241;HUN;1938;1941;1990;1990;3;6;2;1;0;5;0;L31241;1938;1958;x
F・ジメシュ;31245;HUN;1940;1942;1990;1990;2;6;0;1;0;5;0;L31245;1940;1990;x
クース;31246;HUN;1940;1942;1990;1990;2;5;0;1;0;5;0;L31246;1940;1990;x
マテ;31247;HUN;1940;1942;1990;1990;2;6;0;2;0;5;0;L31247;1940;1990;x
J・ネーメト2世;31248;HUN;1940;1942;1990;1990;2;6;0;1;0;5;0;L31248;1940;1990;x
アグレテキ;31250;HUN;1940;1942;1990;1990;2;4;0;0;0;5;0;L31250;1940;1990;x
オルゲー;31254;HUN;1940;1942;1990;1990;3;6;1;2;0;5;0;L31254;1940;1956;x
J・メジャー;31255;HUN;1940;1943;1944;1990;1;5;128;2;0;5;0;L31255;1940;1990;x
ランギー;31256;HUN;1940;1943;1990;1990;3;4;0;0;0;5;0;L31256;1940;1990;x
マルスチャルコ;31257;HUN;1940;1943;1990;1990;3;4;0;0;0;5;0;L31257;1940;1990;x
キャッセイ＝ファルカシュ;31260;HUN;1941;1943;1990;1990;3;5;32;1;0;5;0;L31260;1941;1950;x
ヒンディ;31262;HUN;1942;1944;1945;1990;1;5;2;0;0;5;0;L31262;1942;1990;x
ビザ;31263;HUN;1941;1944;1990;1990;2;6;128;2;0;5;0;L31263;1941;1990;x
ハーモス;31266;HUN;1942;1944;1990;1990;2;5;32;0;0;5;0;L31266;1942;1958;x
カールマーン;31268;HUN;1942;1944;1990;1990;2;4;0;0;0;5;0;L31268;1942;1990;x
I・キシュ;31269;HUN;1942;1944;1990;1990;2;6;2;0;0;5;0;L31269;1942;1990;x
Gy・コヴァーチ;31270;HUN;1942;1944;1990;1990;2;5;0;1;0;5;0;L31270;1942;1990;x
I・コズマ;31271;HUN;1942;1944;1990;1990;2;6;2;3;0;5;0;L31271;1942;1990;x
マカイ;31274;HUN;1942;1944;1990;1990;2;5;4;1;0;5;0;L31274;1942;1990;x
マルコジー;31275;HUN;1942;1944;1990;1990;2;6;0;2;0;5;0;L31275;1942;1956;x
バルドジー;31280;HUN;1943;1944;1990;1990;2;6;0;1;0;5;0;L31280;1943;1990;x
ナジオジー;31281;HUN;1943;1944;1990;1990;2;6;0;1;0;5;0;L31281;1943;1990;x
フト;31284;HUN;1942;1944;1990;1990;3;6;0;1;0;5;0;L31284;1942;1990;x
カドリジー;31285;HUN;1943;1944;1990;1990;3;6;0;2;0;5;0;L31285;1943;1990;x
フィンタ;31286;HUN;1942;1990;1990;1990;2;5;0;0;0;5;0;L31286;1942;1990;x
アルヴェイ;31287;HUN;1942;1990;1990;1990;3;4;0;0;0;5;0;L31287;1942;1990;x
アカイ;31289;HUN;1940;1990;1990;1990;3;4;0;0;0;5;0;L31289;1940;1990;x
アブト;31293;HUN;1941;1990;1990;1990;3;4;0;0;0;5;0;L31293;1941;1990;x
デセオ＝ロドル;31297;HUN;1938;1990;1990;1990;3;6;32;1;0;5;0;L31297;1938;1990;x
J・ホバルト;31298;HUN;1938;1990;1990;1990;3;5;2;0;0;5;0;L31298;1938;1990;x
ホルヴェイ;31299;HUN;1938;1990;1990;1990;3;5;0;0;0;5;0;L31299;1938;1990;x
ナジ・ゲ;31300;HUN;1942;1990;1990;1990;3;5;0;0;0;5;0;L31300;1942;1990;x
ビットー;31302;HUN;1939;1990;1990;1990;3;4;0;0;0;5;0;L31302;1939;1956;x
ヘーガー;31303;HUN;1939;1990;1990;1990;3;5;0;0;0;5;0;L31303;1939;1990;x
カシー;31304;HUN;1945;1945;1947;1990;3;4;0;0;0;5;0;L31304;1945;1958;x
パクシー;31307;HUN;1939;1990;1990;1990;3;5;0;1;0;5;0;L31307;1939;1956;x
ベレズネー;31319;HUN;1940;1990;1990;1990;3;4;0;0;0;5;0;L31319;1940;1947;x
ハイム;31322;HUN;1940;1990;1990;1990;3;5;0;1;0;5;0;L31322;1940;1942;x
ハンファルヴェイ;31324;HUN;1940;1990;1990;1990;3;5;0;0;0;5;0;L31324;1940;1990;x
キスケリー;31325;HUN;1940;1990;1990;1990;3;4;0;0;0;5;0;L31325;1940;1990;x
レゲザ;31329;HUN;1940;1990;1990;1990;3;6;0;1;0;5;0;L31329;1940;1990;x
マダラシュ;31331;HUN;1940;1990;1990;1990;3;4;0;0;0;5;0;L31331;1940;1950;x
モーリツ;31333;HUN;1947;1990;1990;1990;3;5;0;0;0;5;0;L31333;1947;1990;x
I・ネーメト;31334;HUN;1940;1990;1990;1990;3;6;0;0;0;5;0;L31334;1940;1990;x
マカイ＝ホロシ;31341;HUN;1946;1990;1990;1990;3;6;0;0;0;5;0;L31341;1946;1990;x
ペイコー;31342;HUN;1945;1990;1990;1990;3;6;64;0;0;5;0;L31342;1945;1990;x
オラー;31351;HUN;1941;1990;1990;1990;3;5;0;1;0;5;0;L31351;1941;1990;x
L・ゲルロジー;31365;HUN;1942;1990;1990;1990;3;6;0;1;0;5;0;L31365;1942;1990;x
ケッセオ;31368;HUN;1942;1990;1990;1990;3;6;1;0;0;5;0;L31368;1942;1990;x
ミンゼンティ;31370;HUN;1942;1990;1990;1990;3;4;0;0;0;5;0;L31370;1942;1956;x
ムラヒディ;31371;HUN;1942;1990;1990;1990;3;5;32;1;0;5;0;L31371;1942;1990;x
ペレー;31374;HUN;1942;1990;1990;1990;3;4;2;0;0;5;0;L31374;1942;1957;x
ブダハジー;31391;HUN;1943;1990;1990;1990;3;4;0;1;0;5;0;L31391;1943;1990;x
チェケ;31392;HUN;1943;1990;1990;1990;3;5;0;1;0;5;0;L31392;1943;1990;x
ゲルゲリー;31393;HUN;1943;1990;1990;1990;3;5;64;0;0;5;0;L31393;1943;1990;x
G・ゲルロジー;31394;HUN;1943;1990;1990;1990;3;5;0;0;0;5;0;L31394;1943;1990;x
ハンコフスキー;31396;HUN;1943;1990;1990;1990;3;6;0;1;0;5;0;L31396;1943;1990;x
イストカ;31397;HUN;1943;1990;1990;1990;3;6;0;0;0;5;0;L31397;1943;1990;x
ホルダン;31398;HUN;1943;1990;1990;1990;3;6;4;1;0;5;0;L31398;1943;1990;x
カノテー;31399;HUN;1943;1990;1990;1990;3;4;0;0;0;5;0;L31399;1943;1990;x
メゾルフ;31405;HUN;1943;1990;1990;1990;3;6;0;2;0;5;0;L31405;1943;1990;x
ナダーシュ;31421;HUN;1946;1990;1990;1990;3;5;0;0;0;5;0;L31421;1946;1990;x
ハイナル;31426;HUN;1944;1990;1990;1990;3;4;0;0;0;5;0;L31426;1944;1990;x
ホドシー;31427;HUN;1944;1990;1990;1990;3;4;2;1;0;5;0;L31427;1944;1990;x
キシュファルディ;31430;HUN;1944;1990;1990;1990;3;5;1;0;0;5;0;L31430;1944;1990;x
ラタイ;31431;HUN;1944;1990;1990;1990;3;5;4;0;0;5;0;L31431;1944;1990;x
LA・モルナル;31436;HUN;1944;1990;1990;1990;3;4;0;0;0;5;0;L31436;1944;1990;x
B・ネーメト;31437;HUN;1944;1990;1990;1990;3;5;0;0;0;5;0;L31437;1944;1990;x
オルチャリー＝ミルヴィアス;31438;HUN;1944;1990;1990;1990;3;3;2;0;0;5;0;L31438;1944;1954;x
ルミー;31440;HUN;1945;1990;1990;1990;3;6;260;0;0;5;0;L31440;1945;1990;x
バンファルヴィー;31456;HUN;1943;1990;1990;1990;3;5;0;0;0;5;2;L31456;1943;1990;x
フラター;31458;HUN;1939;1943;1990;1990;2;5;0;0;0;5;2;L31458;1939;1990;x
ハーリ;31459;HUN;1930;1938;1990;1990;2;5;0;0;0;5;2;L31459;1930;1953;x
ケネス;31461;HUN;1930;1930;1930;1990;1;4;0;0;0;5;2;L31461;1930;1942;x
J・ネーメト;31463;HUN;1944;1990;1990;1990;3;5;0;0;0;5;2;L31463;1944;1990;x
オルツ;31464;HUN;1939;1990;1990;1990;3;5;16384;0;0;5;2;L31464;1939;1990;x
ツェントネメディ;31465;HUN;1930;1990;1990;1990;3;5;0;0;0;5;2;MajorGeneralHungary;1930;1990;x
ジルメイ;31466;HUN;1939;1943;1990;1990;2;5;0;0;0;5;2;L31466;1939;1990;x
グラッシー;31468;HUN;1941;1990;1990;1990;3;4;0;0;0;5;2;L31132;1941;1990;x
マグアロシ;31471;HUN;1938;1942;1944;1990;1;4;0;0;0;5;2;L31151;1940;1990;x
ヘッペス;31474;HUN;1939;1990;1990;1990;3;5;0;0;0;5;2;L31474;1939;1990;x
アラダー・アシュタロッシ;32475;HUN;1941;1990;1990;1990;3;6;128;1;0;5;0;L32475;1941;1956;x
イムレ・チェレナー;32476;HUN;1940;1990;1990;1990;3;5;0;0;0;5;0;L32476;1940;1955;x
イェネー・フェルクル;32477;HUN;1939;1990;1990;1990;3;5;256;1;0;5;0;L32477;1939;1965;x
シャーンドル・ホムロク;32478;HUN;1930;1930;1990;1990;2;5;0;0;0;5;0;L32478;1930;1963;x
ラヨシュ・ケレシュテス＝フィッシャー;32480;HUN;1930;1930;1930;1990;1;5;256;1;0;5;0;L32480;1930;1948;x
ゾルタン・コズマ;32483;HUN;1939;1990;1990;1990;3;5;1;0;0;5;0;L32483;1939;1976;x
イシュトヴァーン・クドリシェイ;32484;HUN;1930;1930;1990;1990;2;5;16;1;0;5;0;L32484;1930;1969;x
ラースロ・マガシャシー;32485;HUN;1930;1930;1930;1990;1;5;4;1;0;5;0;L32485;1930;1959;x
シャーンドル・メジャー;32486;HUN;1939;1990;1990;1990;3;6;0;0;0;5;0;L32486;1939;1990;x
マートン・ネメリー;32487;HUN;1930;1990;1990;1990;3;4;0;0;0;5;0;L32487;1930;1958;x
イムレ・ペチェイ;32488;HUN;1930;1939;1990;1990;2;6;16;1;0;5;0;L32488;1930;1984;x
ジェルジ・ラコブスキー;32489;HUN;1930;1930;1990;1990;2;5;0;1;0;5;2;L32489;1930;1962;x
イェネー・ルシュカイ;32490;HUN;1930;1930;1939;1990;1;6;2;1;0;5;0;L32490;1930;1946;x
アンタル・シリー;32491;HUN;1930;1930;1990;1990;2;5;0;1;0;5;0;L32491;1930;1954;x
イムレ・シェシー;32492;HUN;1939;1990;1990;1990;3;5;4;1;0;5;0;L32492;1939;1951;x
ゾルタン・シュギィ;32493;HUN;1941;1990;1990;1990;3;6;8;1;0;5;0;L32493;1941;1963;x
エンドレ・テメスヴァリー;32494;HUN;1930;1990;1990;1990;3;4;0;0;0;5;0;L32494;1930;1964;x
ヤーノシュ・テルネグ;32495;HUN;1930;1990;1990;1990;3;5;0;1;0;5;0;L32495;1930;1952;x
カールマン・テルネグ;32496;HUN;1930;1939;1941;1990;1;6;4096;1;0;5;2;L32496;1930;1956;x
カーロイ・アンガー;32497;HUN;1939;1990;1990;1990;3;6;4;1;0;5;0;L32497;1939;1975;x
イシュトヴァーン・ウイスザジ;32498;HUN;1939;1990;1990;1990;3;7;18;3;0;5;0;L32498;1939;1948;x
エミール・ザック;32499;HUN;1930;1930;1939;1990;1;5;0;1;0;5;0;L32499;1930;1949;x
アンドラーシュ・ザコ;32500;HUN;1939;1990;1990;1990;3;5;1;1;0;5;0;L32500;1939;1968;x
ヴィルコ・ベジック;44640;HUN;1930;1941;1945;1990;2;5;128;2;0;4;0;L44600;1930;1960;x
ボバン;44641;HUN;1930;1943;1990;1990;3;6;0;1;0;4;0;L44601;1930;1960;x
ブダック;44642;HUN;1941;1990;1990;1990;3;4;64;0;0;5;0;L44602;1941;1944;x
ドラギセヴィッチ;44643;HUN;1930;1930;1990;1990;2;4;516;1;0;5;0;L44603;1930;1960;x
ドラゴジロフ;44644;HUN;1930;1942;1990;1990;2;4;4;1;0;5;0;L44604;1930;1960;x
フラセティッチ;44645;HUN;1941;1990;1990;1990;3;4;256;0;0;5;0;L44605;1941;1942;x
ハルラ;44646;HUN;1941;1990;1990;1990;3;4;0;0;0;5;0;L44606;1941;1960;x
E・クヴァテルニク;44647;HUN;1930;1941;1990;1990;2;4;0;1;0;5;0;L44607;1930;1960;x
スラヴコ・クヴァテルニク;44648;HUN;1930;1930;1930;1930;0;6;514;2;0;4;0;L44608;1930;1960;x
ラクサ;44649;HUN;1930;1930;1941;1990;1;6;513;1;0;4;0;L44609;1930;1945;x
ロルコビッチ;44650;HUN;1942;1990;1990;1990;3;4;16;0;0;5;0;L44610;1942;1945;x
ルーブリッチ;44651;HUN;1941;1990;1990;1990;3;5;0;0;0;3;0;L44611;1941;1960;x
