Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アフサン;505001;IND;1945;1990;1990;1990;3;3;256;0;0;5;0;L505000;1945;1960;x
アイリー;505002;IND;1943;1946;1990;1990;3;3;129;1;0;5;0;L1003;1943;1960;x
アイズルウッド;505003;IND;1940;1990;1990;1990;3;4;128;1;0;5;0;L1004;1940;1945;x
アンドラーデ;505006;IND;1944;1990;1990;1990;3;4;256;0;0;5;0;L505003;1944;1960;x
アークライト＝ホア＝ルースヴェン;505007;IND;1942;1990;1990;1990;3;4;128;0;0;5;0;L1013;1942;1960;x
バハドゥール・コホーン・オブ・ジャイサルマー;505009;IND;1930;1930;1990;1990;2;2;0;0;0;5;0;L505006;1930;1939;x
バハドゥール・アリー・オブ・パティアラ;505010;IND;1930;1990;1990;1990;3;2;0;0;0;5;0;L505007;1930;1944;x
ベアード・オブ・ストーンヘイヴン;505011;IND;1930;1930;1930;1990;1;4;514;1;0;5;0;L1016;1930;1940;x
バレンタイン;505012;IND;1943;1990;1990;1990;3;4;128;0;0;5;0;L1019;1943;1960;x
バンクス＝マクドナルド;505013;IND;1939;1990;1990;1990;3;3;516;1;0;5;0;L1021;1939;1945;x
バーカー;505014;IND;1930;1940;1990;1990;2;3;528;1;0;5;0;L1023;1930;1941;x
バレット;505015;IND;1930;1930;1930;1930;0;5;513;1;0;5;0;L505012;1930;1939;x
ボウマン;505016;IND;1930;1990;1990;1990;3;4;0;1;0;5;0;L1029;1930;1944;x
バーナード;505017;IND;1930;1939;1990;1990;2;3;544;1;0;5;0;L1034;1930;1941;x
ブトバプール;505019;IND;1930;1990;1990;1990;3;2;0;0;0;5;0;L505015;1930;1942;x
ブラキストン＝ヒューストン;505020;IND;1930;1990;1990;1990;3;4;576;0;0;5;0;L1039;1930;1941;x
ブラッドショー;505021;IND;1942;1990;1990;1990;3;4;0;1;0;5;0;L1046;1942;1946;x
ブリッグス;505022;IND;1940;1942;1990;1990;2;4;1;1;0;5;0;L1047;1940;1960;x
ブルック＝ポファム;505024;IND;1930;1930;1930;1990;1;5;513;4;0;5;0;L1051;1930;1941;x
ブラウン;505025;IND;1944;1990;1990;1990;3;4;128;0;0;5;0;L1052;1944;1960;x
カリアパ;505026;IND;1937;1941;1943;1944;0;5;1;3;0;5;0;L505021;1937;1960;x
カー＝ホワイト;505027;IND;1942;1990;1990;1990;3;3;1;0;0;5;0;L1067;1942;1944;x
カッセルズ;505028;IND;1942;1944;1946;1990;2;6;4;2;0;5;0;L1070;1942;1960;x
クリスティソン;505029;IND;1941;1943;1945;1990;2;5;0;2;0;5;0;L1074;1941;1960;x
クラーク;505030;IND;1942;1990;1990;1990;3;4;128;1;0;5;0;L1077;1942;1946;x
コックス;505031;IND;1943;1990;1990;1990;3;5;0;0;0;5;0;L1083;1943;1960;x
デ・バーグ;505032;IND;1930;1930;1939;1990;1;4;528;1;0;5;0;L1094;1930;1941;x
デ・リイル;505033;IND;1930;1930;1930;1990;1;4;513;1;0;5;0;L1097;1930;1939;x
デラメイン;505035;IND;1930;1939;1941;1990;1;5;1;2;0;5;0;L505030;1930;1945;x
デンホルム＝ヤング;505036;IND;1944;1990;1990;1990;3;4;257;1;0;5;0;L1100;1944;1960;x
ダワラ;505038;IND;1930;1990;1990;1990;3;3;32;0;0;5;0;L505032;1930;1942;x
ディッキンソン;505039;IND;1930;1990;1990;1990;3;4;544;1;0;5;0;L1104;1930;1944;x
ドビー;505041;IND;1930;1939;1990;1990;2;4;545;1;0;5;0;L1106;1930;1942;x
ドルー;505042;IND;1930;1990;1990;1990;3;3;576;1;0;5;0;L1111;1930;1945;x
ファーガソン;505045;IND;1938;1990;1990;1990;3;4;1;0;0;5;0;L1118;1938;1943;x
フィッツパトリック;505046;IND;1939;1941;1946;1990;2;4;2;2;0;5;0;L1122;1939;1960;x
フレイザー;505047;IND;1940;1990;1990;1990;3;4;0;0;0;5;0;L1128;1940;1945;x
ジファード;505048;IND;1940;1942;1943;1990;1;4;4;3;0;5;0;L1134;1940;1946;x
ゴドリー;505049;IND;1930;1930;1930;1990;1;4;513;1;0;5;0;L1135;1930;1939;x
グレイシー;505050;IND;1939;1941;1943;1990;1;6;4;2;0;5;0;L505041;1939;1946;x
グラント;505051;IND;1930;1930;1937;1990;1;4;513;1;0;5;0;L1144;1930;1940;x
ヘイマン＝ジョイス;505052;IND;1941;1990;1990;1990;3;4;0;0;0;5;0;L1157;1941;1947;x
ヘンリー＝ウィリアムス;505054;IND;1942;1990;1990;1990;3;4;1;0;0;5;0;L505044;1942;1960;x
ヒルトン＝グリーン;505055;IND;1930;1990;1990;1990;3;4;4;0;0;5;0;L1164;1930;1938;x
カヴァナー;505059;IND;1930;1930;1990;1990;2;4;513;1;0;5;0;L1178;1930;1938;x
ロックハート;505061;IND;1940;1943;1944;1945;1;5;4;2;0;5;0;L505048;1940;1947;x
リンリスゴー卿;505062;IND;1930;1930;1930;1990;1;3;2;0;0;5;0;L505049;1930;1942;x
ロイド;505063;IND;1939;1990;1990;1990;3;4;1;1;0;5;0;L1195;1939;1944;x
ロイド;505064;IND;1930;1940;1943;1990;2;5;6;3;0;5;0;L1200;1930;1947;x
リトルトン;505065;IND;1938;1990;1990;1990;3;4;4;0;0;5;0;L1202;1938;1941;x
マッケシー;505066;IND;1930;1990;1990;1990;3;4;514;1;0;5;0;L1207;1930;1941;x
マーダニ;505067;IND;1930;1990;1990;1990;3;2;0;0;0;5;0;L505054;1930;1943;x
マッセー;505068;IND;1930;1939;1990;1990;2;4;0;1;0;5;0;L1213;1930;1943;x
メンデル＝テイラー;505069;IND;1937;1990;1990;1990;3;4;513;1;0;5;0;L1219;1937;1942;x
メサーヴィー;505070;IND;1941;1945;1947;1990;3;7;129;3;0;5;0;L1220;1941;1960;x
モハン・シン;505073;IND;1943;1945;1947;1990;2;3;0;2;0;5;0;L505058;1943;1960;x
モーリス＝コルヴィン;505074;IND;1930;1990;1990;1990;3;4;516;1;0;5;0;L1227;1930;1940;x
モースリー＝メイン;505075;IND;1939;1941;1943;1990;2;5;2;2;0;5;0;L1229;1939;1947;x
マウントバッテン;505076;IND;1930;1930;1930;1990;2;5;256;2;0;5;0;L1230;1945;1960;x
ムカジー;505077;IND;1945;1990;1990;1990;3;3;256;0;0;5;0;L505062;1945;1960;x
ムーサ;505078;IND;1943;1945;1990;1990;2;3;64;0;0;5;0;L505063;1943;1960;x
ナボブ・クレイシ・オブ・バワラプール;505080;IND;1941;1943;1990;1990;2;2;0;1;0;4;0;L505064;1941;1960;x
パーシヴァル;505081;IND;1938;1941;1990;1990;2;4;3;1;0;5;0;L1248;1938;1942;x
リーズ;505084;IND;1941;1990;1990;1990;3;4;1;0;0;5;0;L1260;1941;1960;x
ロバーツ;505086;IND;1939;1941;1945;1990;2;5;1;3;0;5;0;L1267;1939;1960;x
シクハンド;505091;IND;1942;1990;1990;1990;3;4;256;0;0;5;0;L505071;1942;1960;x
スリム;505092;IND;1939;1941;1943;1990;1;9;17;4;0;5;0;L1281;1939;1960;x
スマイス;505093;IND;1937;1990;1990;1990;3;4;513;1;0;5;0;L1282;1937;1941;x
サマセット;505094;IND;1939;1990;1990;1990;3;3;0;0;0;5;0;L1284;1939;1940;x
スリナゲッシュ;505095;IND;1941;1943;1945;1990;1;5;128;2;0;5;0;L505075;1941;1960;x
セント・クレア＝モルフォード;505096;IND;1930;1990;1990;1990;3;4;768;1;0;5;0;L1287;1930;1943;x
スタッドホルム＝ブラウンリグ;505097;IND;1930;1939;1990;1990;2;4;514;1;0;5;0;L1291;1930;1940;x
テンプラー;505098;IND;1940;1942;1945;1990;2;6;257;3;0;5;0;L1294;1940;1960;x
ティマイヤ;505099;IND;1938;1942;1944;1946;1;6;17;3;0;5;0;L505079;1938;1960;x
トイ;505100;IND;1943;1947;1990;1990;3;5;256;1;0;5;0;L1298;1943;1960;x
ヴァヴァサー＝ブルーム＝ウィッツ;505103;IND;1930;1939;1990;1990;2;5;514;1;0;5;0;L1305;1930;1943;x
ウォレン;505104;IND;1937;1942;1990;1990;2;5;2;1;0;5;0;L1309;1937;1945;x
ウェーヴェル;505105;IND;1930;1930;1930;1943;1;8;3;4;0;5;0;L1311;1942;1946;x
ウィリアムズ;505106;IND;1930;1930;1930;1990;1;4;548;1;0;5;0;L1313;1930;1941;x
ウィルソン;505107;IND;1930;1930;1938;1990;2;4;513;2;0;5;0;L1314;1930;1941;x
エイブル＝スミス;505112;IND;1943;1990;1990;1990;3;4;0;1;0;5;1;L1317;1943;1960;x
ベルソン;505113;IND;1940;1990;1990;1990;3;3;0;0;0;5;1;L310013;1940;1960;x
バーネット;505114;IND;1930;1990;1990;1990;3;4;0;0;0;5;1;L1329;1930;1943;x
チャタジー;505115;IND;1942;1945;1947;1990;2;4;0;2;0;5;1;L505090;1942;1960;x
チョウドリ;505116;IND;1944;1946;1990;1990;2;3;0;1;0;5;1;L505091;1944;1960;x
クレイドン;505117;IND;1930;1940;1990;1990;2;3;0;1;0;5;1;L310014;1930;1945;x
コリンズ;505118;IND;1940;1990;1990;1990;3;4;0;0;0;5;1;L410013;1940;1946;x
コリンソン;505119;IND;1940;1990;1990;1990;3;4;1024;0;0;5;1;L1334;1940;1960;x
ダス・カタリ;505120;IND;1940;1943;1946;1990;2;4;0;2;0;5;1;L505095;1940;1960;x
ディルウッド;505121;IND;1938;1944;1990;1990;3;5;1024;1;0;5;1;L1340;1938;1960;x
グールド;505122;IND;1940;1990;1990;1990;3;4;1024;0;0;5;1;L460013;1940;1945;x
グールド＝ブラッドフォード;505123;IND;1942;1990;1990;1990;3;4;0;0;0;5;1;L1349;1942;1947;x
ハリンダー・シン;505124;IND;1945;1990;1990;1990;3;3;0;0;0;5;1;L505099;1945;1960;x
ホープ＝カーリル;505125;IND;1941;1945;1990;1990;3;4;0;1;0;5;1;L1356;1941;1960;x
