Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
ベルガモ公アダルベルト;6000;ITA;1930;1930;1930;1990;1;5;0;2;0;5;0;L6000;1930;1960;x
アルベルト;6001;ITA;1943;1946;1990;1990;2;5;64;2;0;5;0;L6001;1943;1960;x
アゴ;6002;ITA;1930;1930;1941;1990;1;3;512;1;0;4;0;L6002;1930;1960;x
アンブロージョ;6003;ITA;1930;1930;1938;1990;1;6;4;2;0;5;0;L6003;1930;1958;x
アブルッツィ公アメデオ;6004;ITA;1930;1930;1930;1990;1;3;1;1;0;5;0;L6004;1930;1942;x
アミコ;6005;ITA;1937;1990;1990;1990;3;4;64;0;0;2;0;L6005;1937;1943;x
アントネッリ;6006;ITA;1938;1990;1990;1990;3;3;0;1;0;5;0;L6006;1938;1960;x
ソリス;6007;ITA;1930;1940;1990;1990;3;3;513;1;0;5;0;L6007;1930;1960;x
アレーナ;6008;ITA;1939;1990;1990;1990;3;4;128;0;0;4;0;L6008;1939;1942;x
アルメリーニ;6009;ITA;1930;1942;1990;1990;2;4;256;1;0;5;0;L6009;1930;1955;x
アシナリ・ディ・ベルネッゾ;6010;ITA;1930;1990;1990;1990;3;3;514;1;0;4;0;L6010;1930;1943;x
バビニ;6011;ITA;1930;1939;1990;1990;3;3;1;1;0;3;0;L6011;1930;1941;x
ブルザグリ;6012;ITA;1930;1990;1990;1990;3;3;512;1;0;4;1;L6012;1930;1943;x
バドリオ;6013;ITA;1930;1930;1930;1930;0;5;514;1;0;5;0;L6013;1930;1960;x
バイストロッチ;6014;ITA;1930;1930;1930;1990;1;3;513;1;0;5;0;L6014;1930;1940;x
バルボ;6015;ITA;1930;1930;1930;1930;0;8;5;3;0;5;0;L6015;1930;1960;x
バリスティ;6016;ITA;1939;1944;1990;1990;3;3;0;1;0;5;0;L6016;1939;1960;x
バロッコ;6017;ITA;1939;1940;1990;1990;2;3;0;1;0;3;0;L6017;1939;1960;x
バルバセッティ・ディ・プルン;6018;ITA;1930;1940;1990;1990;2;4;129;0;0;3;0;L6018;1930;1960;x
バルビエリ;6019;ITA;1937;1939;1990;1990;2;4;128;0;0;4;0;L6019;1937;1960;x
バッソ;6020;ITA;1940;1943;1990;1990;2;4;0;1;0;3;0;L6020;1940;1960;x
バスティコ;6021;ITA;1930;1930;1930;1942;1;5;516;1;0;5;0;L6021;1930;1960;x
バティスティ;6022;ITA;1938;1942;1946;1990;2;5;264;1;0;5;0;L6022;1938;1960;x
アシナリ・ディ・サン・マルツァーノ;6023;ITA;1930;1941;1990;1990;2;4;1;1;0;3;0;L6023;1930;1945;x
ベルゴンゾリ;6024;ITA;1937;1940;1990;1990;2;5;128;1;0;3;0;L6024;1937;1960;x
ベルティ;6025;ITA;1930;1930;1938;1990;1;3;32;1;0;4;0;L6025;1930;1941;x
ベトーニ;6026;ITA;1941;1990;1990;1990;3;3;8;0;0;3;0;L6026;1941;1947;x
ビアンチ;6027;ITA;1938;1990;1990;1990;3;3;32;0;0;4;0;L6027;1938;1944;x
ビグナミ;6028;ITA;1941;1990;1990;1990;3;3;0;1;0;5;0;L6028;1941;1960;x
ボルギーセ;6029;ITA;1942;1990;1990;1990;3;5;1024;2;0;5;1;L6029;1942;1960;x
ブルネッティ;6030;ITA;1930;1990;1990;1990;3;4;64;0;0;4;0;L6030;1930;1960;x
ブルーノ;6031;ITA;1941;1990;1990;1990;3;2;2;0;0;4;0;L6031;1941;1960;x
カドルナ;6032;ITA;1941;1944;1990;1990;3;5;128;2;0;5;0;L6032;1941;1960;x
カルヴィ・ディ・ベルゴロ;6033;ITA;1930;1990;1990;1990;3;5;132;1;0;5;0;L6033;1930;1960;x
セリガ;6034;ITA;1940;1943;1990;1990;3;4;512;1;0;5;0;L6034;1940;1960;x
カラッチオロ・ディ・フェロレト;6035;ITA;1930;1937;1940;1990;3;4;4;1;0;3;0;L6035;1930;1943;x
カルボーニ;6036;ITA;1930;1942;1990;1990;2;4;388;1;0;5;0;L6036;1930;1960;x
カルタ;6037;ITA;1939;1943;1990;1990;3;4;0;1;0;5;0;L6037;1939;1960;x
カルーソー;6038;ITA;1938;1941;1945;1990;2;4;0;2;0;5;0;L6038;1938;1960;x
カッシーノ;6039;ITA;1945;1990;1990;1990;3;4;0;0;0;4;0;L6039;1945;1960;x
カステラーノ;6040;ITA;1930;1990;1990;1990;3;3;0;0;0;4;0;L6040;1930;1944;x
カヴァレロ;6041;ITA;1937;1938;1940;1942;1;5;516;1;0;5;0;L6041;1937;1943;x
カヴィグリア;6042;ITA;1930;1930;1930;1930;0;2;512;0;0;3;0;L6042;1930;1945;x
セリオ;6043;ITA;1940;1990;1990;1990;3;3;0;0;0;4;0;L6043;1940;1960;x
コッピ;6044;ITA;1938;1990;1990;1990;3;3;128;0;0;3;0;L6044;1938;1960;x
セイ;6045;ITA;1930;1930;1990;1990;2;4;514;1;0;4;0;L6045;1930;1939;x
シガラ＝フルゴシ;6046;ITA;1941;1990;1990;1990;3;4;128;0;0;5;0;L6046;1941;1960;x
クレリチ;6047;ITA;1930;1930;1990;1990;2;3;514;1;0;3;0;L6047;1930;1939;x
コナ;6048;ITA;1930;1939;1990;1990;2;3;0;1;0;4;0;L6048;1930;1942;x
コトロネイ;6049;ITA;1940;1990;1990;1990;3;3;0;0;0;3;0;L6049;1940;1960;x
クレア;6050;ITA;1940;1990;1990;1990;3;4;264;0;0;5;0;L6050;1940;1943;x
ダルオラ;6051;ITA;1930;1930;1990;1990;2;4;129;1;0;5;0;L6051;1930;1941;x
ダルマッツォ;6052;ITA;1930;1939;1990;1990;2;4;4;0;0;3;0;L6052;1930;1960;x
ダピーノ;6053;ITA;1942;1990;1990;1990;3;4;257;1;0;5;0;L6053;1942;1960;x
デ・ボーノ;6054;ITA;1930;1930;1930;1930;0;4;513;1;0;5;0;L6054;1930;1960;x
デ・カロリス;6055;ITA;1941;1990;1990;1990;3;3;0;0;0;4;0;L6055;1941;1960;x
