Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
蔡秉徳（チェ・ビョンドゥク）;578000;KOR;1930;1939;1944;1990;1;3;2;2;0;5;0;M578007;1930;1960;x
池青天（チ・チュンチュン）;578001;KOR;1930;1930;1942;1990;1;5;0;2;0;5;0;M578017;1930;1960;x
チェ・ホンヒ;578002;KOR;1941;1943;1990;1990;2;4;256;1;0;5;0;L578002;1941;1960;x
グ・インタク;578003;KOR;1945;1990;1990;1990;3;4;64;0;0;5;0;L578003;1945;1960;x
キム・シジェン;578004;KOR;1945;1990;1990;1990;3;3;4;0;0;5;0;L578004;1945;1960;x
金元鳳（キム・ウォンボン）;578005;KOR;1930;1930;1990;1990;2;4;17;2;0;5;0;M578018;1930;1960;x
コ・ハンヨン;578006;KOR;1944;1990;1990;1990;3;4;32;0;0;5;0;L578006;1944;1960;x
イ・チュンチュン;578007;KOR;1930;1938;1944;1990;1;5;3;3;0;5;0;M578008;1930;1960;x
イ・フンクン;578008;KOR;1939;1942;1990;1990;2;4;16;1;0;5;0;L578008;1939;1960;x
モ・チャンヘ;578009;KOR;1945;1990;1990;1990;3;3;0;0;0;5;0;L578009;1945;1960;x
白善燁（ペク・ソンヨプ）;578010;KOR;1944;1990;1990;1990;0;7;9;3;0;5;0;L578010;1944;1960;x
パク・チュンヘ;578011;KOR;1943;1945;1990;1990;2;5;4;1;0;5;0;L578011;1943;1960;x
ワン・タンウェ;578012;KOR;1945;1990;1990;1990;3;3;256;0;0;5;0;L578012;1945;1960;x
ユ・ホンチュル;578013;KOR;1944;1990;1990;1990;3;4;128;0;0;5;0;L578013;1944;1960;x
ハン・ギルス;578014;KOR;1944;1990;1990;1990;3;3;1024;0;0;5;1;L578014;1944;1960;x
チョン・ドンジュ;578015;KOR;1930;1941;1990;1990;2;4;2048;1;0;5;1;M578019;1930;1960;x
カン・ジョンピル;578016;KOR;1942;1990;1990;1990;3;3;0;0;0;5;1;L578016;1942;1960;x
ソ・チェゴ;578017;KOR;1945;1990;1990;1990;3;3;0;0;0;5;1;L578017;1945;1960;x
孫元一（ソン・ウォニル）;578018;KOR;1930;1940;1943;1990;1;4;4096;3;0;5;1;M578009;1930;1960;x
チェ・ホンヒ;578019;KOR;1941;1943;1990;1990;2;3;0;1;0;5;2;L578002;1941;1960;x
カン・ヘスプ;578020;KOR;1943;1990;1990;1990;3;3;131072;0;0;5;2;L578020;1943;1960;x
キム・テスン;578021;KOR;1945;1990;1990;1990;3;3;4096;0;0;5;2;L578021;1945;1960;x
イ・ボンスク;578022;KOR;1930;1930;1943;1990;1;4;16384;2;0;5;2;M578010;1930;1960;x
イ・ジェスン;578023;KOR;1930;1941;1990;1990;2;4;131072;1;0;5;2;M578020;1930;1960;x
シン・ドキン;578024;KOR;1939;1943;1990;1990;2;3;0;1;0;5;2;L578024;1939;1960;x
李王垠（イワン・ウン）;578025;KOR;1930;1930;1930;1930;0;5;0;1;0;5;0;L101111;1930;1960;x
李王垠（イワン・ウン）;578026;KOR;1930;1930;1930;1930;0;4;65536;1;0;5;2;L101320;1930;1960;x
洪思翊（ホン・サイク）;578027;KOR;1930;1930;1930;1941;0;7;4;3;0;5;0;L101045;1930;1960;x
金錫源（キム・ソクウォン）;578028;KOR;1930;1930;1930;1990;1;7;6;2;0;5;0;L101092;1930;1960;x
朴正熙（パク・チョンヒ）;578029;KOR;1945;1950;1990;1990;3;5;0;1;0;5;0;M578023;1945;1990;x
