Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
ブジルゴア;250000;MAN;1939;1990;1990;1990;3;6;16;2;0;4;0;L250000;1939;1960;x
張景惠（チャン・チンフイ）;250001;MAN;1930;1930;1930;1990;1;4;513;1;0;4;0;L250001;1930;1960;x
張海鵬（チャン・ハイペン）;250002;MAN;1930;1930;1930;1930;0;4;2;1;0;4;0;L250002;1930;1960;x
張文鑄（チャン・ウェンズー）;250003;MAN;1943;1990;1990;1990;3;4;8;1;0;4;0;L250003;1943;1960;x
張益三（チャン・イーサン）;250004;MAN;1938;1942;1990;1990;2;5;0;1;0;4;0;L250004;1938;1960;x
趙秋航（ザオ・キウハン）;250005;MAN;1944;1946;1990;1990;3;5;0;2;0;4;0;L250005;1944;1960;x
チェルノコフ;250006;MAN;1938;1943;1990;1990;3;5;8;2;0;3;0;L250006;1938;1960;x
吉興（チ・シン）;250007;MAN;1930;1930;1942;1990;1;7;513;2;0;4;0;L250007;1930;1960;x
林権助;250008;MAN;1942;1990;1990;1990;3;4;1;1;0;5;0;L250008;1942;1960;x
刑士廉（シン・シリアン）;250009;MAN;1938;1940;1944;1990;2;5;0;2;0;4;0;L250009;1938;1960;x
磯谷廉介;250010;MAN;1938;1940;1990;1990;2;5;0;1;0;5;0;L250010;1938;1960;x
カンジュルジャップ;250011;MAN;1930;1941;1990;1990;2;5;0;1;0;4;0;L250011;1930;1960;x
川島芳子;250012;MAN;1930;1990;1990;1990;1;6;16;1;0;4;0;M58006;1930;1960;x
キリツィン;250013;MAN;1930;1930;1930;1990;1;6;12;2;0;2;0;L250013;1930;1960;x
キロビル;250014;MAN;1930;1941;1990;1990;2;6;2;2;0;4;0;L250014;1930;1960;x
クリギン;250015;MAN;1939;1990;1990;1990;3;4;128;1;0;4;0;L250015;1939;1960;x
郭恩霖（グオ・エンリン）;250016;MAN;1938;1941;1942;1990;1;5;0;2;0;4;0;L250016;1938;1960;x
李恒（ル・ヘン）;250017;MAN;1942;1990;1990;1990;3;3;0;0;0;4;0;L250017;1942;1960;x
中島今朝吾;250018;MAN;1930;1930;1990;1990;2;4;514;1;0;5;0;L250018;1930;1960;x
セミョーノフ;250019;MAN;1930;1930;1990;1990;2;6;17;2;0;2;0;L250019;1930;1960;x
フォン・ツェルヴェレン;250020;MAN;1938;1990;1990;1990;3;7;4;2;0;4;0;L250020;1938;1960;x
王之佑（ワン・ジヨウ）;250021;MAN;1943;1990;1990;1990;2;4;0;1;0;4;0;L250021;1943;1960;x
王典忠（ワン・ディアンゾン）;250022;MAN;1930;1930;1990;1990;2;4;0;1;0;4;0;L250022;1930;1960;x
呉元敏（ウー・ユアンミン）;250023;MAN;1941;1990;1990;1990;3;4;0;1;0;4;0;L250023;1941;1960;x
于深澂（ユ・チェンチェン）;250024;MAN;1938;1940;1941;1990;1;5;0;2;0;4;0;L250024;1938;1960;x
于治功（ユ・ジゴン）;250025;MAN;1940;1990;1990;1990;3;4;0;1;0;4;0;L250025;1940;1960;x
細谷資芳;250026;MAN;1940;1990;1990;1990;3;4;0;1;0;5;1;L250026;1940;1960;x
郭文林（グオ・ウェンリン）;250027;MAN;1938;1990;1990;1990;3;4;0;1;0;4;1;L250027;1938;1960;x
李文龍（リ・ウェンロン）;250028;MAN;1930;1990;1990;1990;3;4;0;1;0;4;1;L250028;1930;1960;x
岡敬純;250029;MAN;1930;1939;1990;1990;2;4;0;1;0;5;1;L250029;1930;1960;x
ラミルチェフ;250030;MAN;1930;1930;1990;1990;2;4;8192;1;0;4;1;L250030;1930;1960;x
