Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
雨宮巽;513000;MEN;1930;1930;1942;1990;2;3;0;1;0;5;0;L101006;1930;1960;x
朝香宮鳩彦王;513001;MEN;1930;1930;1930;1990;1;4;4;2;0;5;0;L101014;1930;1942;x
バウアー;513002;MEN;1930;1990;1990;1990;3;4;128;2;0;5;0;L513002;1930;1960;x
富士井末吉;513003;MEN;1938;1990;1990;1990;3;3;0;1;0;5;0;L101024;1938;1960;x
船引正之;513004;MEN;1930;1940;1990;1990;3;4;8;2;0;5;0;L101027;1930;1960;x
服部卓四郎;513005;MEN;1941;1990;1990;1990;3;4;4;2;0;5;0;L101035;1941;1960;x
林義秀;513006;MEN;1938;1941;1990;1990;3;4;4;2;0;5;0;L101036;1938;1960;x
ヘデリッヒ;513007;MEN;1930;1990;1990;1990;3;4;516;2;0;5;0;L513007;1930;1960;x
本間雅晴;513008;MEN;1930;1930;1990;1990;2;5;1;2;0;5;0;L101046;1930;1960;x
井出鐵蔵;513009;MEN;1937;1990;1990;1990;3;4;1;2;0;5;0;L101054;1937;1960;x
井関仭;513010;MEN;1938;1941;1990;1990;2;4;1;2;0;5;0;L101074;1938;1960;x
金岡山喬;513011;MEN;1930;1990;1990;1990;3;5;64;2;0;5;0;L101076;1930;1960;x
笠原幸雄;513012;MEN;1930;1930;1941;1990;1;4;16;2;0;5;0;L101079;1930;1960;x
木下榮市;513013;MEN;1939;1940;1990;1990;2;4;0;2;0;5;0;L101096;1930;1960;x
前田利爲;513014;MEN;1930;1941;1990;1990;2;4;256;2;0;5;0;L101112;1930;1960;x
宮崎繁三郎;513015;MEN;1939;1990;1990;1990;3;5;1;2;0;5;0;L101120;1939;1960;x
岡田梅吉;513016;MEN;1942;1990;1990;1990;3;3;2;1;0;5;0;L101140;1942;1960;x
眞田穣一郎;513017;MEN;1930;1990;1990;1990;3;3;128;1;0;5;0;L101151;1930;1960;x
德王（テー・ワン）;513018;MEN;1930;1930;1930;1990;1;3;1;1;0;5;0;M513001;1930;1960;x
矢野寛;513019;MEN;1941;1990;1990;1990;3;3;0;1;0;5;0;L101210;1941;1960;x
ハンケ;513020;MEN;1930;1930;1990;1990;2;4;0;2;0;5;1;M513009;1930;1960;x
マーホルズ;513021;MEN;1930;1990;1990;1990;3;4;8192;2;0;5;1;L513021;1930;1960;x
左近司政三;513022;MEN;1930;1930;1990;1990;2;4;0;2;0;5;1;L101274;1930;1960;x
末國正雄;513023;MEN;1930;1990;1990;1990;3;3;0;1;0;5;1;L101281;1930;1960;x
ヴェーア;513024;MEN;1930;1990;1990;1990;3;4;1024;2;0;5;1;L513024;1930;1960;x
カルガニコ;513025;MEN;1930;1990;1990;1990;3;3;0;1;0;5;2;L513025;1930;1960;x
ゴルツ;513026;MEN;1930;1939;1990;1990;2;4;4096;2;0;5;2;L513026;1930;1960;x
ヘイリング;513027;MEN;1930;1990;1990;1990;3;4;8192;2;0;5;2;L513027;1930;1960;x
德王（テー・ワン）;513028;MEN;1930;1930;1930;1990;1;2;0;0;0;5;2;M513001;1930;1960;x
冨永恭次;513029;MEN;1930;1930;1990;1990;2;4;0;2;0;3;2;L101336;1930;1960;x
李守信（リー・ショウシン）;513030;MEN;1930;1930;1930;1990;0;6;16;0;0;5;0;L513030;1930;1960;x
