Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アロンソ;3400;SPA;1930;1990;1990;1990;3;4;1;0;0;5;0;L3400;1930;1938;x
アロンソ・ベガ;3401;SPA;1930;1940;1945;1990;3;7;16;3;0;5;0;L3401;1930;1960;x
アルバレス・アレナス;3402;SPA;1930;1937;1990;1990;2;4;0;1;0;5;0;L3402;1930;1945;x
アランダ・マタ;3403;SPA;1930;1930;1990;1990;2;6;32;1;0;3;0;L3403;1930;1941;x
アレセ・マグラ;3404;SPA;1941;1943;1990;1990;2;4;0;1;0;5;0;L3404;1941;1960;x
アセンシオ・カバニリャス;3405;SPA;1930;1937;1942;1990;2;6;0;2;0;5;0;L3405;1930;1960;x
アスナール・ヘルネル;3406;SPA;1930;1990;1990;1990;3;4;0;0;0;4;0;L3406;1930;1940;x
バウティスタ・サンチェス;3407;SPA;1930;1990;1990;1990;3;7;64;0;0;5;0;L3407;1930;1960;x
バレラ;3408;SPA;1930;1930;1990;1990;2;4;0;0;0;5;0;L3408;1930;1938;x
バロン・オルティス;3409;SPA;1937;1941;1990;1990;3;5;2;1;0;5;0;L3409;1937;1943;x
バロソ・サンチェス＝ゲラ;3410;SPA;1938;1990;1990;1990;3;4;0;0;0;5;0;L3410;1938;1946;x
ベイグベデル・アティエンサ;3411;SPA;1930;1939;1942;1990;3;6;1;3;0;5;0;L3411;1930;1960;x
ベンフメア;3412;SPA;1937;1942;1990;1990;3;5;256;1;0;5;0;L3412;1937;1960;x
ベルゴンソリ;3413;SPA;1930;1930;1990;1990;2;5;4;1;0;3;0;L3413;1930;1960;x
カバネリャス・フェレル;3414;SPA;1930;1930;1930;1990;1;6;514;1;0;4;0;L3414;1930;1938;x
カステホン・エスピノサ;3415;SPA;1930;1990;1990;1990;3;5;0;0;0;5;0;L3415;1930;1960;x
カバルカンティ;3416;SPA;1930;1930;1930;1990;1;4;513;1;0;5;0;L3416;1930;1960;x
クエスタ・モネレオ;3417;SPA;1930;1990;1990;1990;3;4;0;0;0;4;0;L3417;1930;1937;x
ダビラ・アロンド;3418;SPA;1930;1937;1942;1990;2;5;0;2;0;5;0;L3418;1930;1960;x
デ・ラダ;3419;SPA;1937;1990;1990;1990;3;5;16;0;0;5;0;L3419;1937;1940;x
デ・ボルボン・デ・ラ・トレ;3420;SPA;1930;1990;1990;1990;3;4;0;0;0;4;0;L3420;1930;1939;x
ダルコート;3421;SPA;1930;1990;1990;1990;3;4;2;0;0;4;0;L3421;1930;1939;x
エル・ミシアン;3422;SPA;1930;1990;1990;1990;3;5;4;1;0;4;0;L3422;1930;1939;x
ファンフル・ゴニ;3423;SPA;1930;1990;1990;1990;3;5;32;0;0;5;0;L3423;1930;1937;x
フェルナンデス・ブリエル;3424;SPA;1930;1990;1990;1990;3;5;0;0;0;5;0;L3424;1930;1937;x
フェルナンデス・クエスタ;3425;SPA;1937;1940;1990;1990;2;4;0;1;0;5;0;L3425;1937;1960;x
フランコ・バーモンデ;3426;SPA;1930;1930;1930;1937;0;7;2;3;0;5;0;L3426;1930;1960;x
ガムバラ;3427;SPA;1930;1930;1990;1990;2;6;1;1;0;3;0;L3427;1930;1960;x
ガルシア・エスカメス;3428;SPA;1930;1939;1990;1990;3;5;4;1;0;5;0;L3428;1930;1946;x
ガルシア・ゴメス・カミネロ;3429;SPA;1937;1990;1990;1990;1;7;513;1;0;5;0;L3429;1937;1939;x
ガルシア・バリノ;3430;SPA;1930;1938;1941;1947;2;8;16;3;0;5;0;L3430;1930;1960;x
ガルシアノ・ゴニ;3431;SPA;1937;1990;1990;1990;3;4;0;0;0;5;0;L3431;1937;1939;x
