Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アブラハム;8000;POL;1930;1938;1990;1990;2;4;16;1;0;5;0;L8000;1930;1960;x
アルター;8001;POL;1930;1939;1990;1990;3;6;2;1;0;5;0;L8001;1930;1945;x
アンデルス;8002;POL;1937;1941;1943;1990;2;8;84;3;0;5;0;L8002;1937;1960;x
ベルベッキ;8003;POL;1930;1990;1990;1990;3;4;32;0;0;5;0;L8003;1930;1938;x
ベーリング;8004;POL;1940;1942;1945;1990;2;4;0;2;0;3;0;L8004;1940;1960;x
ビトナー;8005;POL;1930;1990;1990;1990;3;5;1;0;0;5;0;L8005;1930;1960;x
ボルタック;8006;POL;1930;1930;1990;1990;2;4;32;0;0;5;0;L8006;1930;1940;x
ボンクザ＝ウズドウスキ;8007;POL;1930;1930;1990;1990;2;4;2;0;0;3;0;L8007;1930;1939;x
ボルトノフスキ;8008;POL;1930;1930;1930;1990;1;5;0;1;0;5;0;L8008;1930;1960;x
ボルタ＝スピチョウヴィッチ;8009;POL;1930;1930;1990;1990;2;6;256;1;0;5;0;L8009;1930;1960;x
ボア＝コモロフスキ;8010;POL;1930;1940;1942;1990;1;5;1;2;0;5;0;L8010;1930;1960;x
ブジェフヴァ＝アジュキエヴィッチ;8011;POL;1938;1990;1990;1990;3;5;2;0;0;5;0;L8011;1938;1960;x
ブルゾザ＝ブルゼジナ;8012;POL;1937;1990;1990;1990;3;5;64;0;0;5;0;L8012;1937;1941;x
ブルハルト＝ブカッキ;8013;POL;1930;1930;1930;1990;1;5;513;1;0;5;0;L8013;1930;1942;x
ツェハク;8014;POL;1937;1942;1990;1990;3;5;2;1;0;5;0;L8014;1937;1960;x
セパ;8015;POL;1941;1990;1990;1990;3;4;32;0;0;5;0;L8015;1941;1960;x
クルシェル＝モンター;8016;POL;1940;1941;1943;1990;2;5;1;2;0;5;0;L8016;1940;1960;x
クムロウヴィッチ;8017;POL;1938;1990;1990;1990;3;4;2;0;0;5;0;L8017;1938;1960;x
クズマ;8018;POL;1930;1930;1990;1990;2;5;2;0;0;5;0;L8018;1930;1960;x
クウゼウスキー;8019;POL;1938;1990;1990;1990;3;4;0;0;0;5;0;L8019;1938;1960;x
ダブ＝ビエルナキ;8020;POL;1930;1930;1937;1990;1;4;0;1;0;5;0;L8020;1930;1960;x
ダベク;8021;POL;1937;1942;1990;1990;3;6;2;1;0;5;0;L8021;1937;1960;x
ダブコフスキ;8022;POL;1930;1930;1990;1990;3;5;514;1;0;5;0;L8022;1930;1946;x
デムビンスキ;8023;POL;1930;1930;1990;1990;2;4;2;1;0;5;0;L8023;1930;1939;x
ディンドルフ＝アンコヴィッツ;8024;POL;1930;1938;1990;1990;2;5;0;1;0;5;0;L8024;1930;1960;x
ドブルザンスキ;8025;POL;1930;1990;1990;1990;3;4;0;0;0;5;0;L8025;1930;1938;x
ドラペラ;8026;POL;1930;1938;1990;1990;2;4;0;1;0;5;0;L8026;1930;1960;x
R・ドレスザー;8027;POL;1930;1940;1990;1990;2;6;513;1;0;5;0;L8027;1930;1960;x
ドルッキ＝ルベッキ;8028;POL;1937;1990;1990;1990;3;4;513;1;0;5;0;L8028;1937;1960;x
ドゥチ;8029;POL;1938;1941;1943;1990;2;5;36;2;0;5;0;L8029;1938;1960;x
ドウォラク;8030;POL;1937;1941;1943;1990;2;5;128;1;0;5;0;L8030;1937;1960;x
エンゲル＝ラギス;8031;POL;1930;1938;1990;1990;3;5;256;1;0;5;0;L8031;1930;1960;x
エプラー;8032;POL;1938;1990;1990;1990;3;6;2;0;0;5;0;L8032;1938;1940;x
ファブリシー;8033;POL;1930;1930;1930;1990;1;4;0;1;0;3;0;L8033;1930;1960;x
フィールドーフ＝ニル;8034;POL;1939;1941;1945;1990;2;5;1;2;0;5;0;L8034;1939;1960;x
フィリポヴィッチ;8035;POL;1930;1990;1990;1990;3;4;0;0;0;5;0;L8035;1930;1941;x
ガラディク;8036;POL;1938;1990;1990;1990;3;5;1;0;0;5;0;L8036;1938;1960;x
J・ゴンショロフスキ;8037;POL;1938;1990;1990;1990;3;5;0;0;0;5;0;L8037;1938;1960;x
