Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アルヴェス・ロカダス;45200;POR;1930;1930;1990;1990;2;4;576;1;0;4;0;L45200;1930;1942;x
バルチネイオ・ピント;45201;POR;1930;1930;1930;1990;1;4;514;1;0;3;0;L45201;1930;1939;x
バロス・ロドリゲス;45202;POR;1939;1943;1990;1990;2;5;4;1;0;5;0;L45202;1939;1946;x
バスト・ゴンカルヴェス;45203;POR;1945;1990;1990;1990;3;3;0;0;0;5;0;L45203;1945;1960;x
ボルヘス・ジュニア;45204;POR;1941;1944;1990;1990;2;4;16;1;0;5;0;L45204;1941;1960;x
ボテーリョ・モニス;45205;POR;1941;1943;1990;1990;2;3;0;1;0;5;0;L45205;1941;1960;x
カマラ・ピナ;45206;POR;1943;1990;1990;1990;3;4;128;0;0;5;0;L45206;1943;1960;x
カルモナ・フラゴサ;45207;POR;1930;1930;1930;1990;1;5;514;1;0;5;0;L45207;1930;1937;x
カリーリョ;45208;POR;1930;1930;1990;1990;2;3;513;1;0;4;0;L45208;1930;1938;x
カリーリョ・シャヴィエル;45209;POR;1945;1990;1990;1990;3;3;0;0;0;4;0;L45209;1945;1960;x
カストロ・アブレウ・エ・モタ;45210;POR;1930;1930;1990;1990;2;5;514;1;0;5;0;L45210;1930;1942;x
カストロ・ビルステイン・メネゼス;45211;POR;1930;1930;1930;1990;1;5;514;1;0;3;0;L45211;1930;1938;x
コスタ・アンドラーデ;45212;POR;1942;1945;1990;1990;3;4;1;1;0;5;0;L45212;1942;1960;x
コスタ・ロペス・サ・シルヴァ;45213;POR;1930;1990;1990;1990;3;5;1;0;0;5;0;L45213;1930;1946;x
コスタ・オリヴェイラ;45214;POR;1938;1942;1945;1990;2;5;2;2;0;5;0;L45214;1938;1960;x
コタ・モライス・ドス・レイス;45215;POR;1939;1990;1990;1990;3;3;0;0;0;5;0;L45215;1939;1946;x
クーニャ・バプティスタ;45216;POR;1930;1930;1990;1990;2;4;516;1;0;4;0;L45216;1930;1937;x
デ・ルセナ;45217;POR;1930;1990;1990;1990;3;4;512;1;0;5;0;L45217;1930;1940;x
ドミンゲス;45218;POR;1930;1930;1930;1990;1;4;768;1;0;4;0;L45218;1930;1944;x
ドゥアルテ・シルヴァ;45219;POR;1939;1990;1990;1990;3;4;0;0;0;5;0;L45219;1939;1946;x
エネス・フェレイラ;45220;POR;1945;1990;1990;1990;3;3;0;0;0;5;0;L45220;1945;1960;x
フェレイラ・シルヴァ・クート・ジュニオル;45221;POR;1943;1990;1990;1990;3;3;128;0;0;5;0;L45221;1943;1960;x
フレイリア;45222;POR;1938;1943;1990;1990;3;4;64;1;0;5;0;L45222;1938;1960;x
フレイタス;45223;POR;1937;1941;1990;1990;2;5;128;1;0;4;0;L45223;1937;1946;x
ガルシア・ロサド;45224;POR;1930;1990;1990;1990;3;5;516;1;0;5;0;L45224;1930;1942;x
イヴェンス・フェラス;45225;POR;1941;1990;1990;1990;3;4;128;0;0;5;0;L45225;1941;1960;x
カウルザ・アリアガ;45226;POR;1943;1944;1946;1990;2;5;0;2;0;5;0;L45226;1943;1960;x
リマ・ヴィエラ;45227;POR;1938;1990;1990;1990;3;4;2;0;0;5;0;L45227;1938;1945;x
ロバト・グエラ;45228;POR;1938;1941;1990;1990;2;5;2;1;0;5;0;L45228;1938;1946;x
ロペス;45229;POR;1944;1946;1990;1990;3;4;0;2;0;5;0;L45229;1944;1960;x
マガーリャス・コレイア;45230;POR;1939;1942;1990;1990;2;3;0;1;0;5;0;L45230;1939;1960;x
マルケス;45231;POR;1937;1939;1990;1990;2;4;2;1;0;5;0;L45231;1937;1946;x
マルティンス・コインブラ;45232;POR;1943;1947;1990;1990;3;5;32;1;0;5;0;L45232;1943;1960;x
マルティンス・ダ・コスタ・ソアレス;45233;POR;1930;1990;1990;1990;3;3;0;0;0;5;0;L45233;1930;1940;x
メデイロス・デ・アルメイダ;45234;POR;1940;1990;1990;1990;3;3;0;0;0;5;0;L45234;1940;1945;x
ミランダ・カブラル;45235;POR;1937;1941;1990;1990;2;4;4;1;0;5;0;L45235;1937;1945;x
モンテイロ・バラス;45236;POR;1938;1940;1990;1990;2;3;0;1;0;4;0;L45236;1938;1946;x
モライス・サルメント;45237;POR;1930;1930;1930;1990;1;4;528;1;0;3;0;L45237;1930;1942;x
ネト;45238;POR;1940;1942;1946;1990;2;4;0;2;0;5;0;L45238;1940;1960;x
ノルトン・マトス;45239;POR;1930;1930;1930;1930;0;5;514;1;0;2;0;L45239;1930;1938;x
オーム;45240;POR;1939;1990;1990;1990;3;3;32;1;0;5;0;L45240;1939;1945;x
パシェコ・シローノ・ソウサ;45241;POR;1938;1990;1990;1990;3;3;32;0;0;4;0;L45241;1938;1946;x
