Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
バンベルク;527000;PRI;1930;1990;1990;1990;3;3;64;0;0;5;0;L527000;1930;1960;x
バートホールド;527001;PRI;1930;1990;1990;1990;3;3;0;0;0;5;0;L527001;1930;1960;x
セルフ;527002;PRI;1930;1943;1990;1990;2;2;0;1;0;5;0;L527002;1930;1960;x
エベリング;527003;PRI;1930;1990;1990;1990;3;3;32;0;0;5;0;L527003;1930;1960;x
フリーメル;527004;PRI;1930;1990;1990;1990;3;3;256;0;0;5;0;L527004;1930;1960;x
ゲプハルト;527005;PRI;1930;1990;1990;1990;3;2;0;0;0;5;0;L527005;1930;1960;x
ヘルツシュ;527006;PRI;1930;1990;1990;1990;3;3;1;0;0;5;0;L527006;1930;1960;x
ヘイル;527007;PRI;1930;1990;1990;1990;3;3;1;0;0;5;0;L527007;1930;1960;x
ココレフ;527008;PRI;1930;1930;1990;1990;2;2;0;0;0;5;0;L527008;1930;1960;x
コンドラチェンコ;527009;PRI;1930;1930;1930;1930;0;2;513;1;0;5;0;L527009;1930;1960;x
ノイファー;527010;PRI;1930;1990;1990;1990;3;3;2;0;0;5;0;L527010;1930;1960;x
パノフ;527011;PRI;1930;1930;1930;1990;1;3;1;1;0;5;0;M527040;1930;1960;x
プラトフ;527012;PRI;1930;1990;1990;1990;3;2;1;0;0;5;0;L527012;1930;1960;x
ラスコルニコフ;527013;PRI;1930;1990;1990;1990;3;2;9;0;0;5;0;L527013;1930;1960;x
シャフリン;527014;PRI;1930;1990;1990;1990;3;2;32;0;0;5;0;L527014;1930;1960;x
シャクト;527015;PRI;1930;1940;1990;1990;2;3;0;1;0;5;0;L527015;1930;1960;x
シャリモフ;527016;PRI;1930;1942;1990;1990;2;3;16;1;0;5;0;M527035;1930;1960;x
シャニン;527017;PRI;1930;1990;1990;1990;3;4;256;1;0;5;0;L527017;1930;1960;x
シャルダコフ;527018;PRI;1930;1990;1990;1990;3;4;128;0;0;5;0;L527018;1930;1960;x
シャヴリン;527019;PRI;1930;1930;1940;1990;1;3;8;1;0;5;0;L527019;1930;1960;x
シェイン;527020;PRI;1930;1990;1990;1990;3;2;8;0;0;5;0;M527039;1930;1960;x
シェスタク;527021;PRI;1930;1930;1990;1990;2;2;4;0;0;5;0;L527021;1930;1960;x
シェストパロフ;527022;PRI;1930;1990;1990;1990;3;4;9;0;0;5;0;L527022;1930;1960;x
シマンスキ;527023;PRI;1930;1930;1990;1990;2;2;0;0;0;5;0;M527008;1930;1960;x
シポフ;527024;PRI;1930;1944;1990;1990;2;3;64;1;0;5;0;M527007;1930;1960;x
シリャエフ;527025;PRI;1930;1990;1990;1990;3;2;2;0;0;5;0;M527036;1930;1960;x
シショフ;527026;PRI;1930;1941;1990;1990;2;3;8;1;0;5;0;L527026;1930;1960;x
シュルギン;527027;PRI;1930;1943;1990;1990;2;3;128;1;0;5;0;L527027;1930;1960;x
シュット;527028;PRI;1930;1930;1990;1990;2;4;256;1;0;5;0;M527010;1930;1960;x
シュヴェツォフ;527029;PRI;1930;1990;1990;1990;3;2;0;0;0;5;0;L527029;1930;1960;x
テレンテフ;527030;PRI;1930;1930;1990;1990;2;3;16;0;0;5;0;L527030;1930;1960;x
トレチャク;527031;PRI;1930;1930;1990;1990;2;3;2;0;0;5;0;M527038;1930;1960;x
トルバチェフ;527032;PRI;1930;1930;1930;1990;1;2;1;1;0;5;0;L527032;1930;1960;x
ヴォルスキ;527033;PRI;1930;1930;1990;1990;2;3;513;1;0;5;0;L527033;1930;1960;x
フォン・デーレン;527034;PRI;1930;1990;1990;1990;3;3;32;0;0;5;0;L527034;1930;1960;x
ヴィソイツキ;527035;PRI;1930;1930;1990;1990;2;3;16;0;0;5;0;M527037;1930;1960;x
ヴィシツキ;527036;PRI;1930;1930;1990;1990;2;3;256;0;0;5;0;L527036;1930;1960;x
ビチュコフ;527037;PRI;1930;1990;1990;1990;3;2;4096;0;0;5;1;M527043;1930;1960;x
ケッペンルス;527038;PRI;1930;1945;1990;1990;3;2;8192;1;0;5;1;M527042;1930;1960;x
クリク;527039;PRI;1930;1930;1945;1990;1;3;1024;1;0;5;1;M527041;1930;1960;x
ミリュコフ;527040;PRI;1930;1940;1990;1990;2;2;0;0;0;5;1;L527040;1930;1960;x
ノヴォコフ;527041;PRI;1930;1990;1990;1990;3;2;0;0;0;5;1;L527041;1930;1960;x
パノフ;527042;PRI;1930;1930;1942;1990;1;3;0;1;0;5;1;M527009;1930;1960;x
シャホヴァ;527043;PRI;1930;1990;1990;1990;3;2;8192;0;0;5;2;L527043;1930;1960;x
シュカルバ;527044;PRI;1930;1990;1990;1990;3;2;0;0;0;5;2;L527044;1930;1960;x
シャニン;527045;PRI;1930;1990;1990;1990;3;4;8192;0;0;5;2;L527017;1930;1960;x
シャポヴァロフ;527046;PRI;1930;1930;1990;1990;2;2;65536;0;0;5;2;L527046;1930;1960;x
シャタロフ;527047;PRI;1930;1941;1944;1990;1;3;0;2;0;5;2;L527047;1930;1960;x
シャヴロフ;527048;PRI;1930;1990;1990;1990;3;2;16384;0;0;5;2;M527044;1930;1960;x
シェヴリギン;527049;PRI;1930;1939;1990;1990;2;3;131072;1;0;5;2;M527045;1930;1960;x
シュビン;527050;PRI;1930;1990;1990;1990;3;3;4096;0;0;5;2;M527046;1930;1960;x
シュット;527051;PRI;1930;1930;1990;1990;2;3;0;1;0;5;2;M527010;1930;1960;x
