Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アルバレス・アレグリア;3000;SPR;1930;1941;1990;1990;3;5;128;1;0;5;0;L3000;1930;1960;x
アルバレス・サンティアゴ;3001;SPR;1937;1990;1990;1990;3;4;0;0;0;5;0;L3001;1937;1940;x
アラングレン・ロルダン;3002;SPR;1930;1930;1990;1990;2;4;0;0;0;5;0;L3002;1930;1939;x
アスカソ・アバディア;3003;SPR;1930;1990;1990;1990;3;4;272;0;0;4;0;L3003;1930;1939;x
アセンシオ・トラド;3004;SPR;1930;1937;1939;1990;2;5;0;2;0;3;0;L3004;1930;1960;x
バルセロ・ホベル;3005;SPR;1930;1930;1990;1990;3;4;0;0;0;4;0;L3005;1930;1939;x
バテ・メスレ;3006;SPR;1930;1930;1930;1990;1;5;0;1;0;5;0;L3006;1930;1937;x
バトブ;3007;SPR;1930;1937;1990;1990;2;6;128;1;0;4;0;L3007;1930;1960;x
ベルダライン・オラルデ;3008;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3008;1930;1938;x
ベルトラン;3009;SPR;1930;1990;1990;1990;3;3;0;0;0;5;0;L3009;1930;1939;x
ブリリョ・ストレ;3010;SPR;1930;1937;1990;1990;3;5;1;1;0;5;0;L3010;1930;1939;x
カサド・ロペス;3011;SPR;1930;1938;1990;1990;3;5;4;1;0;2;0;L3011;1930;1960;x
カステリョ・マンサノ;3012;SPR;1937;1990;1990;1990;3;4;0;0;0;5;0;L3012;1937;1940;x
カステリョ・パントハ;3013;SPR;1930;1930;1941;1990;2;6;2;1;0;5;0;L3013;1930;1960;x
カストロ・デルガド;3014;SPR;1930;1990;1990;1990;3;3;0;0;0;4;0;L3014;1930;1938;x
センタノ・デ・ラ・パス;3015;SPR;1930;1990;1990;1990;3;4;64;0;0;1;0;L3015;1930;1938;x
コントレラス;3016;SPR;1930;1990;1990;1990;3;4;0;0;0;4;0;L3016;1930;1939;x
コピク;3017;SPR;1930;1990;1990;1990;3;4;0;0;0;3;0;L3017;1930;1939;x
コルドン・カルシア;3018;SPR;1930;1937;1990;1990;2;6;4;1;0;5;0;L3018;1930;1960;x
コロネル・ハンス;3019;SPR;1937;1990;1990;1990;3;5;1;2;0;4;0;L3019;1937;1939;x
デ・レサマ;3020;SPR;1937;1990;1990;1990;3;4;260;0;0;5;0;L3020;1937;1941;x
デル・バリオ・ナバラ;3021;SPR;1937;1990;1990;1990;3;3;0;0;0;5;0;L3021;1937;1939;x
