Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アーカーヒールム;514000;SCA;1941;1990;1990;1990;3;4;0;0;0;4;0;L9000;1941;1960;x
アンドレン;514001;SCA;1930;1990;1990;1990;3;4;32;0;0;4;0;L9002;1930;1943;x
バックルンド;514002;SCA;1944;1990;1990;1990;3;5;1;0;0;5;0;L9003;1944;1960;x
ベイクマン;514003;SCA;1942;1945;1990;1990;3;4;1;1;0;5;0;L9601;1942;1960;x
ベネディク;514004;SCA;1930;1990;1990;1990;3;4;64;0;0;4;0;L9004;1930;1940;x
ベニケン;514005;SCA;1942;1990;1990;1990;3;5;16;0;0;5;0;L9502;1942;1960;x
ベルグ;514006;SCA;1944;1990;1990;1990;3;4;128;0;0;5;0;L9602;1944;1960;x
ブレッドベルグ;514007;SCA;1940;1942;1990;1990;2;5;0;1;0;5;0;L9005;1940;1960;x
セーダースケルド;514008;SCA;1939;1990;1990;1990;3;5;0;0;0;5;0;L9006;1939;1960;x
ダール;514009;SCA;1941;1990;1990;1990;3;4;12;0;0;5;0;L9603;1941;1960;x
ダグラス;514010;SCA;1930;1943;1990;1990;1;7;4;2;0;3;0;L9007;1930;1946;x
エーレンスヴァルド;514011;SCA;1941;1943;1945;1990;1;8;12;3;0;4;0;L9008;1941;1960;x
エンゲルハルト;514012;SCA;1938;1945;1990;1990;3;4;1;1;0;5;0;L9503;1938;1960;x
エリクセン;514013;SCA;1930;1930;1990;1990;2;4;8;0;0;5;0;L9605;1930;1940;x
エッセマン;514014;SCA;1930;1930;1990;1990;2;6;516;1;0;5;0;L9504;1930;1960;x
ファーリング;514015;SCA;1938;1990;1990;1990;3;5;0;0;0;5;0;L9606;1938;1960;x
フレイシャー;514016;SCA;1930;1930;1990;1990;2;7;12;3;0;5;0;L9607;1930;1942;x
ガッド;514017;SCA;1944;1990;1990;1990;3;5;64;0;0;5;0;L9010;1944;1960;x
グリクセン;514018;SCA;1938;1943;1990;1990;3;4;8;1;0;5;0;L9609;1938;1960;x
ギュレンクロック;514019;SCA;1930;1990;1990;1990;3;5;2;0;0;3;0;L9011;1930;1940;x
グルッツ;514020;SCA;1930;1930;1990;1990;2;5;0;1;0;5;0;L9505;1930;1960;x
ハーゲルベルグ;514021;SCA;1938;1942;1990;1990;3;5;24;1;0;3;0;L9012;1938;1960;x
ハミルトン;514022;SCA;1930;1990;1990;1990;3;5;12;1;0;5;0;L9013;1930;1941;x
ハンソン;514023;SCA;1930;1960;1960;1960;3;4;0;0;0;5;0;L9610;1930;1940;x
ハルトヴィヒ＝グリクセン;514024;SCA;1930;1990;1990;1990;3;4;8;0;0;5;0;L9611;1930;1941;x
ハッスレーダル;514025;SCA;1937;1941;1990;1990;3;5;0;1;0;5;0;L9612;1937;1960;x
ヘルセット;514026;SCA;1943;1945;1990;1990;3;6;4;1;0;5;0;L9613;1943;1960;x
ヒャルフ;514027;SCA;1939;1943;1945;1990;1;5;4;2;0;5;0;L9531;1939;1960;x
ホルムクエスト;514028;SCA;1930;1930;1990;1990;2;4;8;0;0;4;0;L9014;1930;1942;x
ホルターマン;514029;SCA;1939;1945;1990;1990;3;4;256;1;0;5;0;L9614;1939;1960;x
フヴィンデン＝ハウグ;514030;SCA;1930;1930;1990;1990;2;4;8;0;0;5;0;L9615;1930;1940;x
ホグベルグ;514031;SCA;1943;1990;1990;1990;3;5;0;0;0;5;0;L9015;1943;1960;x
ユエル＝ブロックドルフ;514032;SCA;1939;1946;1990;1990;3;4;0;1;0;5;0;L9506;1939;1960;x
ユング;514033;SCA;1942;1944;1990;1990;1;6;12;0;0;4;0;L9016;1942;1960;x
ユルゲンセン;514034;SCA;1930;1990;1990;1990;3;4;1;1;0;5;0;L9507;1930;1960;x
クリンゲンベルグ;514035;SCA;1930;1990;1990;1990;3;4;32;0;0;5;0;L9616;1930;1940;x
クヌッソン;514036;SCA;1940;1990;1990;1990;3;5;0;0;0;5;0;L9508;1940;1960;x
クリシング;514037;SCA;1930;1990;1990;1990;3;4;0;0;0;3;0;L9509;1930;1960;x
ラーケ;514038;SCA;1930;1930;1930;1990;1;3;520;1;0;5;0;L9617;1930;1940;x
ラッセン;514039;SCA;1943;1990;1990;1990;3;7;260;1;0;5;0;L9510;1943;1960;x
ローランツソン;514040;SCA;1930;1930;1990;1990;2;4;8;0;0;5;0;L9618;1930;1960;x
リルイェダル;514041;SCA;1930;1990;1990;1990;3;4;8;0;0;5;0;L9619;1930;1960;x
リンダー;514042;SCA;1930;1930;1990;1990;2;4;8;0;0;5;0;L9045;1930;1943;x
リュンベリ;514043;SCA;1939;1944;1946;1990;2;5;2;2;0;5;0;L9620;1939;1960;x
マルムベルグ;514044;SCA;1930;1990;1990;1990;3;4;0;0;0;4;0;L9017;1930;1941;x
メルツ;514045;SCA;1930;1930;1990;1990;2;4;0;0;0;5;0;L9511;1930;1960;x
ノルビー;514046;SCA;1930;1990;1990;1990;3;4;8;0;0;5;0;L9621;1930;1960;x
ニグレン;514047;SCA;1930;1930;1930;1990;1;4;8;1;0;5;0;L9018;1930;1941;x
プライアー;514048;SCA;1930;1930;1930;1990;1;4;0;0;0;4;0;L9512;1930;1960;x
ラッペ;514049;SCA;1939;1943;1990;1990;1;8;128;1;0;3;0;L9020;1939;1960;x
ロルステッド;514050;SCA;1939;1944;1990;1990;3;5;0;1;0;5;0;L9513;1939;1960;x
ロシェ＝ルンド;514051;SCA;1930;1990;1990;1990;3;4;528;1;0;5;0;L9622;1930;1960;x
ローセンブラッド;514052;SCA;1930;1930;1990;1990;2;5;520;1;0;5;0;L9021;1930;1943;x
ルーゲ;514053;SCA;1930;1930;1930;1990;1;6;10;2;0;5;0;L9623;1930;1960;x
シュルト＝エリクセン;514054;SCA;1942;1945;1990;1990;2;5;4;1;0;5;0;L9532;1942;1960;x
ソマーフェルト;514055;SCA;1930;1930;1990;1990;2;5;576;1;0;5;0;L9514;1930;1939;x
スプルック;514056;SCA;1930;1990;1990;1990;3;4;2;0;0;5;0;L9624;1930;1960;x
スタールハーネ;514057;SCA;1930;1930;1990;1990;2;4;520;1;0;5;0;L9022;1930;1939;x
ステフェンス;514058;SCA;1930;1930;1990;1990;2;5;8;1;0;5;0;L9625;1930;1960;x
