Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
ベルチャーキン;503000;CSX;1930;1930;1990;1990;2;2;514;1;0;5;0;L503000;1930;1960;x
傅作義（フ・ツォーイー）;503001;CSX;1930;1930;1942;1990;1;4;128;1;0;3;0;L50085;1930;1960;x
ケルニチェク;503002;CSX;1930;1990;1990;1990;3;2;1;0;0;5;0;L503002;1930;1960;x
李服膺（リ・フーイン）;503003;CSX;1930;1940;1942;1990;2;3;0;2;0;4;0;L50174;1930;1960;x
彭子謹（ペン・ズーチン）;503004;CSX;1930;1990;1990;1990;3;3;8;0;0;5;0;L503004;1930;1960;x
ルディン;503005;CSX;1930;1990;1990;1990;3;2;128;0;0;5;0;L503005;1930;1960;x
リマコフ;503006;CSX;1930;1990;1990;1990;3;2;256;0;0;5;0;L503006;1930;1960;x
商震（シャン・チェン）;503007;CSX;1930;1938;1990;1990;3;2;1;1;0;5;0;L503007;1930;1960;x
石至宝（シー・ツェポ）;503008;CSX;1930;1938;1990;1990;2;3;0;1;0;5;0;L503008;1930;1960;x
董其武（タン・チウ）;503009;CSX;1938;1990;1990;1990;3;2;0;0;0;4;0;L50300;1938;1960;x
王靖國（ワン・チンクオ）;503010;CSX;1930;1930;1990;1990;2;2;2;0;0;3;0;L50314;1930;1943;x
閻錫山（イェン・シシャン）;503011;CSX;1930;1930;1938;1940;0;3;2;2;0;5;0;L50348;1930;1960;x
クロルチェフ;503012;CSX;1930;1930;1990;1990;2;2;0;0;0;5;1;L503012;1930;1960;x
リマコフ;503013;CSX;1930;1990;1990;1990;3;2;0;0;0;5;1;L503006;1930;1960;x
閻錫山（イェン・シシャン）;503014;CSX;1930;1930;1938;1990;1;2;0;1;0;5;1;L50348;1930;1960;x
グロスチヴィリ;503015;CSX;1930;1939;1990;1990;2;2;0;1;0;5;2;L503015;1930;1960;x
ピリアキン;503016;CSX;1930;1990;1990;1990;3;2;4096;0;0;5;2;L503016;1930;1960;x
閻錫山（イェン・シシャン）;503017;CSX;1930;1930;1938;1990;1;2;0;1;0;5;2;L50348;1930;1960;x
ストレチウス;503018;CSX;1930;1930;1990;1990;2;5;4;1;0;5;0;L503018;1930;1944;x
ヴォン・ドリング;503019;CSX;1930;1930;1990;1990;2;3;1;1;0;5;0;L503019;1944;1960;x
