Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アパイウォン;100000;SIA;1930;1990;1990;1990;3;4;1;0;0;3;0;L100000;1930;1942;x
バノミオン;100001;SIA;1939;1990;1990;1990;3;4;128;0;0;4;0;L100001;1939;1960;x
ブンヤケット;100002;SIA;1944;1990;1990;1990;3;5;16;0;0;2;0;L100002;1944;1960;x
チトナソングキア;100003;SIA;1930;1938;1990;1990;2;4;0;1;0;4;0;L100003;1930;1960;x
フントラクール;100004;SIA;1943;1990;1990;1990;3;4;256;0;0;5;0;L100004;1943;1960;x
カムラナヴィン;100005;SIA;1937;1940;1990;1990;2;4;0;1;0;4;0;L100005;1937;1960;x
カンフィアロン;100006;SIA;1930;1990;1990;1990;3;5;514;1;0;4;0;L100006;1930;1940;x
マグハヴィフラヤ;100007;SIA;1930;1930;1990;1990;2;4;0;0;0;4;0;L100007;1930;1942;x
ムンシルパ・シナディオドハラクサ;100008;SIA;1945;1990;1990;1990;3;4;1;0;0;3;0;L100008;1945;1960;x
ナクロブ;100009;SIA;1930;1990;1990;1990;3;5;128;0;0;5;0;L100009;1930;1960;x
パホンポンパユハセーナー;100010;SIA;1938;1943;1990;1990;2;4;2;1;0;4;0;L100010;1938;1960;x
ファモンモントリ;100011;SIA;1937;1941;1990;1990;3;5;256;1;0;5;0;L100011;1937;1960;x
パノムヨン;100012;SIA;1942;1944;1946;1990;2;5;2;2;0;4;0;L100012;1942;1960;x
ピブーンソンクラーム;100013;SIA;1930;1930;1930;1930;0;5;0;1;0;4;0;L100013;1930;1960;x
フロミオシ;100014;SIA;1944;1945;1946;1990;1;5;32;2;0;4;0;L100014;1944;1960;x
フロナラナサイ;100015;SIA;1940;1990;1990;1990;3;4;1;0;0;4;0;L100015;1940;1960;x
ブンヤケート;100016;SIA;1941;1943;1990;1990;2;4;2;1;0;3;0;L100016;1941;1960;x
ラーマ・プリクラングコーン;100017;SIA;1943;1945;1946;1990;3;5;2;2;0;4;0;L100017;1943;1960;x
ラーマ8世;100018;SIA;1930;1930;1930;1990;1;3;0;0;0;5;0;L100018;1930;1942;x
ラングシット;100019;SIA;1930;1930;1990;1990;2;3;0;0;0;5;0;L100019;1930;1960;x
サムパティシリ;100020;SIA;1930;1990;1990;1990;3;4;64;0;0;4;0;L100020;1930;1943;x
サワトロンナチャイ・サワトディキアト;100021;SIA;1940;1944;1990;1990;3;5;16;1;0;4;0;L100021;1940;1960;x
シラロングコーン;100022;SIA;1930;1990;1990;1990;3;5;513;1;0;4;0;L100022;1930;1939;x
スエボン;100023;SIA;1945;1990;1990;1990;3;4;4;0;0;4;0;L100023;1945;1960;x
シシャムプラ;100024;SIA;1938;1941;1990;1990;2;4;2;1;0;4;0;L100024;1938;1960;x
ヴェチャヤンラングサリト;100025;SIA;1930;1939;1990;1990;2;4;128;1;0;4;0;L100025;1930;1960;x
ウィチトソングクラム;100026;SIA;1946;1990;1990;1990;3;4;32;0;0;4;0;L100026;1946;1960;x
ウィチトワサカーン;100027;SIA;1943;1945;1990;1990;2;4;0;1;0;4;0;L100027;1943;1960;x
チャムナナルサユサ;100028;SIA;1938;1990;1990;1990;3;4;0;0;0;4;1;L100028;1938;1960;x
カモナウィン;100029;SIA;1930;1930;1990;1990;2;4;0;0;0;4;1;L100029;1930;1943;x
ルアンソンブラノ;100030;SIA;1930;1939;1990;1990;2;4;0;1;0;5;1;L100030;1930;1960;x
フォラシンサナワト;100031;SIA;1938;1942;1990;1990;2;4;0;1;0;3;1;L100031;1938;1960;x
フナワサワト;100032;SIA;1940;1944;1990;1990;2;4;0;1;0;4;1;L100032;1940;1960;x
フティアナンズ;100033;SIA;1930;1990;1990;1990;3;4;0;0;0;3;1;L100033;1930;1960;x
プリーチャチョラユダ;100034;SIA;1944;1990;1990;1990;3;4;1024;0;0;4;1;L100034;1944;1960;x
サムロングナワサワト;100035;SIA;1930;1930;1990;1990;2;4;0;0;0;4;1;L100035;1930;1942;x
ウィチャンウォラジャク;100036;SIA;1943;1990;1990;1990;3;4;8192;0;0;4;1;L100036;1943;1960;x
