Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アブドゥジョホマン;160000;SIK;1930;1930;1990;1990;2;2;0;0;0;4;0;L160000;1930;1943;x
張煕良（チャン・シーリャン）;160001;SIK;1930;1930;1938;1990;1;2;32;1;0;4;0;L160001;1930;1960;x
蒋友芬（チアン・ヨウフェン）;160002;SIK;1930;1990;1990;1990;3;2;0;0;0;4;0;L160002;1930;1960;x
ダレリム・カーン;160003;SIK;1930;1941;1990;1990;3;3;0;1;0;4;0;L160003;1930;1942;x
フェドユンスキー;160004;SIK;1938;1990;1990;1990;3;2;4;0;0;4;0;L160004;1938;1943;x
ガーイ;160005;SIK;1940;1990;1990;1990;3;2;2;0;0;4;0;L160005;1940;1960;x
ガーニ・バトゥア;160006;SIK;1930;1990;1990;1990;3;2;16;0;0;4;0;L160006;1930;1944;x
哈玉良（ハ・ユリアン）;160007;SIK;1930;1941;1990;1990;3;2;0;1;0;4;0;L160007;1930;1960;x
舒友興（ス・ヨウシン）;160008;SIK;1930;1943;1990;1990;3;2;256;1;0;4;0;L160008;1930;1960;x
フセイノフ;160009;SIK;1930;1990;1990;1990;3;2;1;0;0;2;0;L160009;1930;1941;x
イシャクジャン・モンハキエフ;160010;SIK;1930;1938;1942;1990;2;3;4;2;0;4;0;L160010;1930;1960;x
カザリアン;160011;SIK;1930;1990;1990;1990;3;2;16;0;0;1;0;L160011;1930;1942;x
柳正欣（リュー・チェンシン）;160012;SIK;1930;1990;1990;1990;3;2;1;0;0;5;0;L160012;1930;1960;x
劉品（リュー・ピン）;160013;SIK;1930;1990;1990;1990;3;2;4;0;0;4;0;L160013;1930;1960;x
馬虎山（マ・フシャン）;160014;SIK;1930;1930;1990;1990;2;3;4;0;0;1;0;L160014;1930;1941;x
マハムッド;160015;SIK;1930;1930;1930;1990;1;3;2;1;0;1;0;L160015;1930;1944;x
オスマン・バトゥア;160016;SIK;1930;1930;1990;1990;2;3;20;01;0;1;0;L160016;1930;1941;x
パペンガット;160017;SIK;1930;1930;1990;1990;2;4;514;1;0;3;0;L160017;1930;1939;x
ポリノフ;160018;SIK;1930;1941;1990;1990;3;2;4;1;0;3;0;L160018;1930;1944;x
サフィウリン;160019;SIK;1930;1930;1990;1990;2;2;4;0;0;4;0;L160019;1930;1942;x
セナングタイェフ;160020;SIK;1930;1990;1990;1990;3;2;16;0;0;4;0;L160020;1930;1942;x
セイピディン;160021;SIK;1930;1939;1942;1990;2;3;1;2;0;4;0;L160021;1930;1960;x
シャリフ・カーン;160022;SIK;1930;1930;1990;1990;2;3;64;0;0;2;0;L160022;1930;1943;x
盛世騏（シェン・シーチ）;160023;SIK;1930;1990;1990;1990;3;2;128;0;0;5;0;L160023;1930;1960;x
盛世才（シェン・シーツァイ）;160024;SIK;1930;1930;1930;1930;0;2;16;1;0;5;0;L160024;1930;1960;x
孫清林（スン・チンリン）;160025;SIK;1930;1990;1990;1990;3;2;0;0;0;4;0;L160025;1930;1960;x
湯直権（タン・チーチュアン）;160026;SIK;1930;1990;1990;1990;3;2;256;0;0;4;0;L160026;1930;1941;x
崔穎春（ツイ・インチュン）;160027;SIK;1930;1990;1990;1990;3;2;0;0;0;4;0;L160027;1930;1960;x
呉煕志（ウ・シーチー）;160028;SIK;1930;1990;1990;1990;3;2;128;0;0;4;0;L160028;1930;1960;x
尤徳勝（ヨウ・テーシェン）;160029;SIK;1930;1990;1990;1990;3;2;0;0;0;4;0;L160029;1930;1943;x
袁凌雲（ユアン・リンユン）;160030;SIK;1930;1938;1942;1990;2;3;0;2;0;4;0;L160030;1930;1960;x
チェレパノフ;160031;SIK;1930;1990;1990;1990;3;2;1024;0;0;4;1;L160031;1930;1942;x
ジャロシュ;160032;SIK;1930;1930;1990;1990;2;2;0;0;0;4;1;L160032;1930;1960;x
薩鎭冰（サ・チェンピン）;160033;SIK;1930;1930;1930;1990;1;2;0;1;0;4;1;L160033;1930;1960;x
グリツェヴェッツ;160034;SIK;1930;1990;1990;1990;3;2;0;0;0;4;2;L160034;1930;1942;x
オルロフ;160035;SIK;1930;1930;1990;1990;2;3;0;0;0;3;2;L160035;1930;1960;x
ラホフ;160036;SIK;1930;1990;1990;1990;3;2;0;0;0;4;2;L160036;1930;1941;x
リシュキアノフ;160037;SIK;1930;1939;1990;1990;3;3;0;1;0;4;2;L160037;1930;1960;x
セドフ;160038;SIK;1939;1990;1990;1990;3;2;0;0;0;4;2;L160038;1939;1945;x
