Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アブサリアモフ;9800;SOV;1940;1990;1990;1990;2;4;0;1;0;5;0;L9800;1940;1970;x
アレクセイ・アファナシエフ;9801;SOV;1940;1990;1990;1990;3;4;0;1;0;5;0;L9801;1940;1946;x
アフロシモフ;9802;SOV;1930;1990;1990;1990;3;6;64;1;0;5;0;L9802;1930;1942;x
ペトル=アリュスティン;9803;SOV;1939;1990;1990;1990;3;5;0;1;0;5;0;L9803;1939;1941;x
アーマノフ;9804;SOV;1940;1944;1990;1990;2;5;0;2;0;5;0;L9804;1940;1970;x
アレーヒン;9805;SOV;1930;1990;1990;1990;3;8;524;1;0;5;0;L9805;1930;1945;x
アレクセーエフ;9806;SOV;1942;1943;1990;1990;2;6;128;2;0;5;0;L9806;1942;1944;x
アレクセーンコ;9807;SOV;1939;1990;1990;1990;3;6;0;1;0;5;0;L9807;1939;1941;x
アレクサンドロフ;9808;SOV;1939;1990;1990;1990;3;6;64;1;0;5;0;L9808;1939;1945;x
アンドレイ・アンドレーエフ;9809;SOV;1942;1945;1990;1990;3;6;0;2;0;5;0;L9809;1942;1970;x
アニーシモフ;9810;SOV;1942;1944;1946;1990;2;6;0;3;0;5;0;L9810;1942;1970;x
アニクシュキン;9811;SOV;1942;1990;1990;1990;3;6;128;1;0;5;0;L9811;1942;1944;x
A・I・アントノフ;9812;SOV;1940;1942;1943;1990;1;7;0;3;0;5;0;L9812;1940;1970;x
V・S・アントノフ;9813;SOV;1944;1990;1990;1990;3;4;0;1;0;5;0;L9813;1944;1970;x
アパナセンコ;9814;SOV;1930;1930;1941;1990;1;6;0;2;0;5;0;L9814;1930;1943;x
アルグーノフ;9815;SOV;1942;1944;1990;1990;2;7;24;2;0;5;0;L9815;1944;1970;x
アルテメンコ;9816;SOV;1940;1990;1990;1990;3;4;2;1;0;5;0;L9816;1940;1942;x
アルティジュシェンコ;9817;SOV;1943;1990;1990;1990;3;5;0;1;0;5;0;L9817;1943;1970;x
アセイチェフ;9818;SOV;1940;1990;1990;1990;3;5;1;1;0;5;0;L9818;1940;1942;x
アスラノフ;9819;SOV;1944;1990;1990;1990;3;4;128;1;0;5;0;L9819;1944;1946;x
ババジャニャン;9820;SOV;1945;1947;1990;1990;3;7;128;2;0;5;0;L9820;1945;1970;x
ババヤン;9821;SOV;1944;1990;1990;1990;3;4;0;1;0;5;0;L9821;1944;1970;x
バダノフ;9822;SOV;1940;1942;1944;1990;2;7;128;3;0;5;0;L9822;1940;1970;x
バグラミアン;9823;SOV;1940;1941;1943;1990;2;7;5;3;0;5;0;L9823;1940;1970;x
バハロフ;9824;SOV;1942;1990;1990;1990;3;5;0;1;0;5;0;L9824;1942;1944;x
バフメティエフ;9825;SOV;1942;1945;1990;1990;3;6;128;2;0;5;0;L9825;1942;1970;x
バクーニン;9826;SOV;1940;1941;1990;1990;2;6;32;2;0;5;0;L9826;1940;1970;x
S・V・バラノフ;9827;SOV;1939;1990;1990;1990;2;5;0;1;0;5;0;L9827;1939;1941;x
V・I・バラノフ;9828;SOV;1940;1944;1990;1990;3;8;128;2;0;5;0;L9828;1940;1970;x
バリノフ;9829;SOV;1940;1943;1946;1990;2;6;4;3;0;5;0;L9829;1940;1970;x
バティツキー;9830;SOV;1943;1946;1990;1990;2;6;0;2;0;5;0;L9830;1943;1970;x
バチューク;9831;SOV;1941;1990;1990;1990;3;4;8;1;0;5;0;L9831;1941;1943;x
バチューナ;9832;SOV;1942;1944;1945;1990;2;6;1;3;0;5;0;L9832;1942;1970;x
バトフ;9833;SOV;1937;1941;1944;1990;2;7;256;3;0;5;0;L9833;1937;1970;x
ベレツコ;9834;SOV;1944;1990;1990;1990;3;4;0;1;0;5;0;L9834;1944;1970;x
ベリク;9835;SOV;1944;1947;1990;1990;3;5;0;2;0;5;0;L9835;1944;1970;x
ベロボロドフ;9836;SOV;1941;1944;1945;1990;2;6;0;3;0;5;0;L9836;1941;1970;x
ベロウス;9837;SOV;1930;1990;1990;1990;3;6;8;1;0;5;0;L9837;1930;1946;x
E・E・ベローフ;9838;SOV;1943;1944;1990;1990;2;6;0;2;0;5;0;L9838;1943;1970;x
イヴァン・ベローフ;9839;SOV;1930;1930;1930;1990;1;6;0;1;0;5;0;L10455;1930;1961;x
P・A・ベローフ;9840;SOV;1940;1942;1944;1990;2;6;1;3;0;5;0;L9840;1940;1970;x
ベレジン;9842;SOV;1943;1990;1990;1990;3;4;0;1;0;5;0;L9842;1943;1970;x
ベルマン;9843;SOV;1930;1930;1990;1990;2;6;4;1;0;5;0;L9843;1930;1944;x
ベルザリン;9844;SOV;1930;1938;1943;1990;1;7;4;3;0;5;0;L9844;1930;1945;x
ビクザノフ;9845;SOV;1940;1942;1990;1990;2;4;0;2;0;5;0;L9845;1940;1970;x
セルゲイ・ビリュゾフ;9846;SOV;1940;1943;1944;1990;1;7;2;3;0;5;0;L9846;1940;1970;x
ニコライ・ビリューコフ;9847;SOV;1940;1942;1944;1990;2;6;1;3;0;5;0;L9847;1940;1947;x
ブラゴダトフ;9848;SOV;1941;1944;1990;1990;3;6;1;2;0;5;0;L9848;1941;1970;x
ヴァシーリー・ブリュヘル;9849;SOV;1930;1930;1930;1930;0;5;516;1;0;3;0;L9849;1930;1943;x
ボチェンコフ;9850;SOV;1930;1938;1990;1990;2;5;2;2;0;5;0;L9850;1930;1942;x
I・A・ボグダーノフ;9851;SOV;1938;1941;1990;1990;3;5;0;2;0;5;0;L9851;1938;1942;x
S・I・ボグダーノフ;9852;SOV;1942;1943;1944;1945;1;9;128;4;0;5;0;L9852;1942;1970;x
ボルディン;9853;SOV;1937;1940;1944;1990;2;7;0;3;0;5;0;L9853;1937;1970;x
ボロトニコフ;9854;SOV;1940;1942;1990;1990;3;4;128;2;0;5;0;L9854;1940;1943;x
ボンダレフ;9855;SOV;1939;1943;1990;1990;2;6;16;2;0;5;0;L9855;1939;1970;x
ボリソフ;9856;SOV;1939;1990;1990;1990;3;4;0;1;0;5;0;L9856;1939;1941;x
ボルジコフ;9857;SOV;1940;1990;1990;1990;3;6;128;1;0;5;0;L9857;1940;1943;x
ボルジロフ;9858;SOV;1939;1990;1990;1990;3;6;640;1;0;5;0;L9858;1939;1941;x
ブレジネフ;9859;SOV;1944;1990;1990;1990;3;5;0;1;0;5;0;L9859;1944;1970;x
ブリューコフ;9860;SOV;1942;1945;1990;1990;3;6;256;2;0;5;0;L9860;1942;1970;x
セミョーン・ブジョーンヌイ;9861;SOV;1930;1930;1930;1930;0;5;512;1;0;5;0;L9861;1930;1970;x
ブディホ;9862;SOV;1939;1990;1990;1990;3;5;0;1;0;5;0;L9862;1939;1941;x
ブラトフ;9863;SOV;1939;1990;1990;1990;3;3;0;1;0;5;0;L9863;1939;1970;x
ブルガニン;9864;SOV;1941;1942;1944;1947;1;4;0;4;0;5;0;L9864;1941;1970;x
ブニアシン;9865;SOV;1943;1990;1990;1990;3;4;0;1;0;5;0;L9865;1943;1970;x
ブルコフ;9866;SOV;1942;1943;1990;1990;2;4;0;2;0;5;0;L9866;1942;1970;x
バトコフ;9867;SOV;1942;1943;1990;1990;2;6;128;2;0;5;0;L9867;1942;1970;x
チェパーキン;9868;SOV;1944;1946;1990;1990;3;4;1;2;0;5;0;L9868;1944;1970;x
チェレミソフ;9869;SOV;1940;1945;1990;1990;2;6;4;2;0;5;0;L9869;1940;1970;x
チェレパノフ;9870;SOV;1930;1938;1990;1990;2;6;0;2;0;5;0;L9870;1940;1970;x
チェレヴィチェンコ;9871;SOV;1930;1939;1941;1990;1;6;1;3;0;5;0;L9871;1930;1970;x
チェルニアエフ;9872;SOV;1940;1990;1990;1990;3;4;2;1;0;5;0;L9872;1940;1942;x
チェルニアコフスキ;9873;SOV;1942;1943;1944;1990;2;8;0;3;0;5;0;L9873;1942;1945;x
チェルノブロフ;9874;SOV;1943;1990;1990;1990;3;6;32;1;0;5;0;L9874;1943;1945;x
チェルノフ;9875;SOV;1940;1990;1990;1990;3;4;0;1;0;5;0;L9875;1940;1945;x
チェルニャーク;9876;SOV;1930;1940;1990;1990;2;6;0;2;0;5;0;L9876;1930;1970;x
チェロクマノフ;9877;SOV;1941;1945;1990;1990;3;6;4;2;0;5;0;L9877;1941;1970;x
チビソフ;9878;SOV;1939;1940;1943;1990;1;7;16;3;0;5;0;L9878;1939;1970;x
M・N・クリスチャコフ;9879;SOV;1940;1941;1942;1944;1;8;0;4;0;5;0;L9879;1940;1970;x
V・I・クリスチャコフ;9880;SOV;1939;1990;1990;1990;3;4;0;1;0;5;0;L9880;1939;1941;x
チュイコフ;9881;SOV;1938;1940;1943;1990;1;9;11;4;0;5;0;L9881;1938;1970;x
ダルマトフ;9882;SOV;1941;1990;1990;1990;3;7;256;1;0;5;0;L9882;1941;1970;x
デダエフ;9883;SOV;1939;1990;1990;1990;3;4;2;1;0;5;0;L9883;1939;1941;x
ディーヴ;9884;SOV;1930;1990;1990;1990;3;5;256;1;0;5;0;L9884;1930;1944;x
デメンテフ;9885;SOV;1930;1939;1990;1990;3;5;64;2;0;5;0;L9885;1930;1942;x
デニセンコ;9886;SOV;1943;1990;1990;1990;3;5;4;1;0;5;0;L9886;1943;1970;x
デニソフ;9887;SOV;1941;1990;1990;1990;3;5;128;1;0;5;0;L9887;1941;1943;x
デヴィアトフ;9888;SOV;1941;1990;1990;1990;3;4;4;1;0;5;0;L9888;1941;1943;x
ドブロセルドフ;9889;SOV;1939;1990;1990;1990;3;4;0;1;0;5;0;L9889;1939;1941;x
ドラトヴィン;9890;SOV;1940;1943;1990;1990;2;6;16;2;0;5;0;L9890;1940;1970;x
イヴァン・ドゥボヴォイ;9891;SOV;1943;1990;1990;1990;3;6;128;1;0;5;0;L9891;1943;1970;x
ドゥダレフ;9892;SOV;1942;1990;1990;1990;3;6;256;1;0;5;0;L9892;1942;1945;x
ドゥコフ;9893;SOV;1945;1990;1990;1990;3;6;128;1;0;5;0;L9893;1945;1970;x
ディベンコ;9894;SOV;1930;1930;1990;1990;2;6;513;1;0;5;0;L9894;1930;1943;x
エフレモフ;9895;SOV;1930;1940;1990;1990;2;6;0;2;0;5;0;L9895;1930;1942;x
A・I・エゴロフ;9896;SOV;1930;1930;1930;1930;0;8;514;2;0;5;0;L9896;1930;1943;x
E・A・エゴロフ;9897;SOV;1939;1990;1990;1990;3;4;4;1;0;5;0;L9897;1939;1941;x
D・G・エゴロフ;9898;SOV;1940;1990;1990;1990;3;5;0;1;0;5;0;L9898;1940;1942;x
P・G・エゴロフ;9899;SOV;1939;1990;1990;1990;3;4;0;1;0;5;0;L9899;1939;1941;x
エイデマン;9900;SOV;1930;1930;1930;1990;1;6;9;1;0;5;0;L9900;1930;1943;x
エリセーエフ;9901;SOV;1930;1990;1990;1990;3;5;64;1;0;5;0;L9901;1930;1942;x
エラストフ;9902;SOV;1940;1944;1990;1990;2;6;4;2;0;5;0;L9902;1940;1970;x
エレメンコ;9903;SOV;1938;1940;1941;1990;1;8;0;3;0;5;0;L9903;1938;1970;x
エレミン;9904;SOV;1941;1990;1990;1990;3;4;0;1;0;5;0;L9904;1941;1945;x
エルマコフ;9905;SOV;1940;1944;1990;1990;3;6;4;2;0;5;0;L9905;1940;1970;x
エルシャコフ;9906;SOV;1930;1938;1990;1990;2;5;0;2;0;5;0;L9906;1930;1941;x
ファブリシウス;9907;SOV;1930;1930;1930;1990;1;4;514;1;0;5;0;L9907;1930;1943;x
フェディウニンスキ;9908;SOV;1941;1943;1945;1990;2;7;1;3;0;5;0;L9908;1941;1970;x
フェディウンキン;9909;SOV;1942;1945;1990;1990;3;5;4;2;0;5;0;L9909;1942;1947;x
フェドコ;9910;SOV;1930;1930;1990;1990;2;5;2;1;0;5;0;L9910;1930;1943;x
フェドレンコ;9911;SOV;1937;1940;1943;1944;1;7;0;4;0;5;0;L9911;1937;1947;x
I・E・フェドロフ;9912;SOV;1943;1990;1990;1990;3;5;128;1;0;5;0;L9912;1943;1970;x
J・M・フェドロフ;9913;SOV;1930;1941;1990;1990;2;5;513;2;0;5;0;L9913;1930;1944;x
フェデュン;9914;SOV;1944;1990;1990;1990;3;4;2;1;0;5;0;L9914;1944;1970;x
フェクレンコ;9915;SOV;1940;1943;1990;1990;2;5;0;2;0;5;0;L9915;1940;1970;x
フェシン;9916;SOV;1943;1990;1990;1990;3;4;0;1;0;5;0;L9916;1943;1970;x
フェティソフ;9917;SOV;1943;1946;1990;1990;3;6;8;2;0;5;0;L9917;1943;1970;x
フィクセル;9918;SOV;1941;1990;1990;1990;3;7;4;1;0;5;0;L9918;1941;1943;x
フィラトフ;9919;SOV;1930;1938;1990;1990;2;5;0;2;0;5;0;L9919;1930;1941;x
フィリポフスキ;9920;SOV;1940;1945;1990;1990;3;6;0;2;0;5;0;L9920;1940;1970;x
フィリン;9921;SOV;1930;1990;1990;1990;3;6;8;1;0;5;0;L9921;1930;1944;x
フォゲル;9922;SOV;1942;1990;1990;1990;3;4;0;1;0;5;0;L9922;1942;1944;x
フォカノフ;9923;SOV;1942;1943;1990;1990;2;5;256;2;0;5;0;L9923;1942;1946;x
