Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アランクプ;61000;TUR;1939;1945;1990;1990;3;5;0;1;0;4;0;L61000;1939;1960;x
アリカン;61001;TUR;1930;1939;1990;1990;2;5;1;1;0;4;0;L61001;1930;1943;x
アルトゥンカル;61002;TUR;1930;1940;1943;1990;2;7;2;2;0;5;0;L61002;1930;1947;x
アイグク;61003;TUR;1944;1946;1990;1990;3;5;128;1;0;5;0;L61003;1944;1960;x
バランシェル;61004;TUR;1943;1990;1990;1990;3;5;0;0;0;4;0;L61004;1943;1960;x
ボゼル;61005;TUR;1938;1990;1990;1990;3;4;32;0;0;5;0;L61005;1938;1944;x
チャクマク;61006;TUR;1930;1930;1930;1930;0;6;2;1;0;4;0;L61006;1930;1945;x
カリスター;61007;TUR;1930;1930;1990;1990;2;5;513;1;0;4;0;L61007;1930;1939;x
エルデルフン;61008;TUR;1941;1944;1990;1990;2;5;128;1;0;4;0;L61008;1941;1960;x
ガタリ;61009;TUR;1930;1939;1990;1990;2;4;0;1;0;5;0;L61009;1930;1943;x
グルカン;61010;TUR;1945;1990;1990;1990;3;6;256;0;0;5;0;L61010;1945;1960;x
グルラー;61011;TUR;1939;1943;1990;1990;2;4;256;1;0;4;0;L61011;1939;1960;x
グルマン;61012;TUR;1941;1990;1990;1990;3;5;4;0;0;4;0;L61012;1941;1960;x
グルセル;61013;TUR;1944;1947;1990;1990;3;7;4;1;0;4;0;L61013;1944;1960;x
グルズリン;61014;TUR;1930;1990;1990;1990;3;4;0;0;0;5;0;L61014;1930;1939;x
イノヌ;61015;TUR;1930;1930;1930;1939;1;4;4;2;0;5;0;L61015;1930;1960;x
カナトリ;61016;TUR;1938;1990;1990;1990;2;5;0;0;0;4;0;L61016;1938;1946;x
カラベキル;61017;TUR;1930;1930;1930;1990;1;5;2;1;0;4;0;L61017;1930;1941;x
メングク;61018;TUR;1943;1946;1990;1990;3;5;4;1;0;4;0;L61018;1943;1960;x
ナジ・ティナズ;61019;TUR;1939;1941;1990;1990;2;4;0;1;0;5;0;L61019;1939;1946;x
ナムト;61020;TUR;1930;1930;1930;1990;1;6;2;1;0;4;0;L61020;1930;1940;x
ノヤン;61021;TUR;1940;1942;1990;1990;2;5;0;1;0;4;0;L61021;1940;1960;x
オムルタク;61022;TUR;1942;1943;1946;1990;2;5;1;2;0;4;0;L61022;1942;1960;x
オルバイ;61023;TUR;1937;1940;1990;1990;2;5;32;1;0;4;0;L61023;1937;1945;x
セリシク;61024;TUR;1943;1990;1990;1990;3;4;32;0;0;4;0;L61024;1943;1960;x
セヴェン;61025;TUR;1942;1990;1990;1990;3;5;128;0;0;4;0;L61025;1942;1960;x
タグマク;61026;TUR;1944;1947;1990;1990;3;6;16;1;0;4;0;L61026;1944;1960;x
トゥーデムル;61027;TUR;1938;1942;1990;1990;2;5;4;1;0;4;0;L61027;1938;1947;x
トゥナボイル;61028;TUR;1943;1990;1990;1990;3;4;0;0;0;4;0;L61028;1943;1960;x
トゥラル;61029;TUR;1945;1990;1990;1990;3;5;256;0;0;4;0;L61029;1945;1960;x
トゥルケス;61030;TUR;1938;1990;1990;1990;3;5;4;0;0;3;0;L61030;1938;1943;x
ヴェヒーブ・パシャ;61031;TUR;1930;1930;1938;1990;2;6;546;1;0;5;0;L61031;1930;1940;x
ヤムト;61032;TUR;1939;1941;1990;1990;2;6;4;1;0;4;0;L61032;1939;1960;x
ヤジジュ;61033;TUR;1945;1990;1990;1990;3;6;256;0;0;4;0;L61033;1945;1960;x
オクテム;61034;TUR;1943;1990;1990;1990;3;5;0;0;0;5;0;L61034;1943;1960;x
オザルプ;61035;TUR;1938;1940;1942;1990;1;6;4;2;0;4;0;L61035;1938;1947;x
オズドゥレク;61036;TUR;1943;1946;1990;1990;3;5;1;1;0;4;0;L61036;1943;1960;x
