Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
アダモツィッチ;46000;YUG;1930;1938;1990;1990;2;5;0;0;0;3;0;L46000;1930;1960;x
バヨラシッチ;46001;YUG;1942;1990;1990;1990;3;6;16;0;0;2;0;L46001;1942;1960;x
ボジョヴィッチ;46002;YUG;1939;1990;1990;1990;3;5;64;0;0;3;0;L46002;1939;1960;x
ブラシッチ;46003;YUG;1930;1930;1930;1990;1;5;514;1;0;5;0;L46003;1930;1960;x
ブロズ・チトー;46004;YUG;1930;1930;1943;1944;0;9;16;3;0;1;0;L46004;1942;1960;x
ツィンツァル＝マルコヴィッチ;46005;YUG;1930;1930;1990;1990;2;4;2;0;0;4;0;L46005;1930;1960;x
ジュイッチ;46006;YUG;1942;1990;1990;1990;3;6;16;0;0;3;0;L46006;1942;1946;x
ドラギチェヴィッチ;46007;YUG;1930;1930;1990;1990;2;5;514;1;0;2;0;L46007;1930;1940;x
グリシッチ;46008;YUG;1940;1943;1990;1990;3;6;4;1;0;4;0;L46008;1940;1960;x
グロコヴァツ;46009;YUG;1930;1990;1990;1990;3;4;64;0;0;5;0;L46009;1930;1943;x
イリッチ;46010;YUG;1930;1930;1941;1990;2;5;2;1;0;4;0;L46010;1930;1960;x
イヴェティッチ;46011;YUG;1939;1990;1990;1990;3;4;32;0;0;4;0;L46011;1939;1960;x
ヤンコヴィッチ;46012;YUG;1940;1945;1990;1990;3;5;0;1;0;4;0;L46012;1940;1960;x
ヨシモヴィッチ;46013;YUG;1930;1990;1990;1990;3;4;0;0;0;3;0;L46013;1930;1960;x
ヨヴァノヴィッチ;46014;YUG;1942;1943;1944;1990;2;7;16;3;0;3;0;L46014;1942;1960;x
コシッチ;46015;YUG;1930;1930;1930;1990;1;5;2;1;0;4;0;L46015;1930;1960;x
コヴァッチ;46016;YUG;1942;1990;1990;1990;3;5;16;0;0;3;0;L46016;1942;1960;x
クカヴィチッチ;46017;YUG;1930;1938;1990;1990;2;5;0;1;0;3;0;L46017;1930;1960;x
ラクサ;46018;YUG;1930;1930;1930;1990;1;7;514;1;0;2;0;L46018;1930;1960;x
リョティッチ;46019;YUG;1940;1990;1990;1990;3;4;0;0;0;1;0;L46019;1940;1945;x
ルキッチ;46020;YUG;1930;1939;1990;1990;2;5;0;1;0;3;0;L46020;1930;1960;x
マイストロヴィッチ;46021;YUG;1940;1990;1990;1990;3;4;0;0;0;3;0;L46021;1940;1960;x
ミハイロヴィッチ;46022;YUG;1930;1941;1990;1990;2;5;1;1;0;5;0;L46022;1930;1946;x
ミリチェヴィッチ;46023;YUG;1938;1990;1990;1990;3;4;0;0;0;3;0;L46023;1938;1960;x
ナジュ;46024;YUG;1937;1943;1943;1990;1;7;16;2;0;3;0;L46024;1937;1960;x
ネデリュコヴィッチ;46025;YUG;1930;1930;1990;1990;2;5;514;1;0;4;0;L46025;1930;1960;x
ネディッチ;46026;YUG;1930;1930;1930;1940;1;5;1;1;0;3;0;L46026;1930;1946;x
ニコリッチ;46027;YUG;1930;1938;1990;1990;3;4;2;1;0;4;0;L46027;1930;1960;x
パヴロヴィッチ;46028;YUG;1930;1939;1990;1990;3;5;0;1;0;3;0;L46028;1930;1960;x
ペトロヴィッチ;46029;YUG;1930;1930;1930;1990;1;4;0;1;0;4;0;L46029;1930;1960;x
ポポヴィッチ;46030;YUG;1930;1930;1990;1990;2;4;0;0;0;3;0;L46030;1930;1960;x
オパチッチ;46031;YUG;1938;1990;1990;1990;3;4;0;0;0;2;0;L46031;1938;1960;x
ラデンコヴィッチ;46032;YUG;1930;1930;1930;1990;1;4;513;1;0;3;0;L46032;1930;1943;x
ルプニク;46033;YUG;1930;1930;1990;1990;2;4;0;0;0;4;0;L46033;1930;1960;x
サヴィッチ;46034;YUG;1938;1990;1990;1990;3;4;0;0;0;3;0;L46034;1938;1960;x
シモヴィッチ;46035;YUG;1930;1930;1938;1990;1;4;256;2;0;4;0;L46035;1930;1960;x
トミッチ;46036;YUG;1930;1939;1990;1990;2;4;0;1;0;3;0;L46036;1930;1960;x
トリフノヴィッチ;46037;YUG;1930;1930;1990;1990;2;5;0;0;0;4;0;L46037;1930;1960;x
ヴチュコヴィッチ;46038;YUG;1943;1944;1990;1990;3;7;16;1;0;1;0;L46038;1943;1960;x
ヴカソヴィッチ;46039;YUG;1942;1944;1990;1990;2;5;16;1;0;3;0;L46039;1942;1946;x
ジヴァノヴィッチ;46040;YUG;1930;1938;1990;1990;2;5;0;1;0;4;0;L46040;1930;1960;x
ジヴコヴィッチ;46041;YUG;1930;1930;1930;1990;1;4;0;1;0;3;0;L46041;1930;1960;x
アンゲリ;46042;YUG;1937;1990;1990;1990;3;4;0;0;0;4;1;L46042;1937;1960;x
イリッチ;46043;YUG;1930;1930;1941;1990;2;5;2048;1;0;4;1;L46043;1930;1960;x
ヤクチン;46044;YUG;1930;1930;1990;1990;2;4;0;0;0;5;1;L46044;1930;1960;x
コソヴィッチ;46045;YUG;1938;1990;1990;1990;3;4;0;0;0;3;1;L46045;1938;1960;x
ポリッチ;46046;YUG;1937;1940;1990;1990;2;4;0;1;0;3;1;L46046;1937;1960;x
ラドサヴリェヴィッチ;46047;YUG;1930;1930;1990;1990;2;5;0;1;0;4;1;L46047;1930;1960;x
シャシュキエヴィッチ;46048;YUG;1940;1990;1990;1990;3;4;0;0;0;4;1;L46048;1940;1960;x
シモヴィッチ;46049;YUG;1930;1930;1938;1990;1;4;0;1;0;5;1;L46049;1930;1960;x
シュタインフル;46050;YUG;1930;1990;1990;1990;3;4;1024;0;0;0;1;L46050;1930;1960;x
ティヤノヴィッチ;46051;YUG;1930;1930;1930;1990;1;4;4608;0;0;3;1;L46051;1930;1944;x
トミッチ;46052;YUG;1938;1941;1990;1990;3;5;0;1;0;3;1;L46052;1938;1960;x
ツィンツァル＝マルコヴィッチ;46053;YUG;1930;1930;1990;1990;2;4;0;0;0;4;2;L46053;1930;1960;x
ヤンコヴィッチ;46054;YUG;1940;1945;1990;1990;3;5;0;1;0;4;2;L46054;1940;1960;x
ルカチェヴィッチ;46055;YUG;1930;1990;1990;1990;3;4;0;0;0;5;2;L46055;1930;1960;x
ナウモヴィッチ;46056;YUG;1930;1938;1990;1990;2;4;0;1;0;4;2;L46056;1930;1960;x
オブリェン;46057;YUG;1939;1990;1990;1990;3;4;0;0;0;4;2;L46057;1939;1946;x
ペシッチ;46058;YUG;1930;1930;1930;1990;1;4;0;1;0;4;2;L46058;1930;1943;x
ペトロヴィッチ;46059;YUG;1939;1990;1990;1990;3;5;4096;0;0;3;2;L46059;1939;1960;x
シモヴィッチ;46060;YUG;1930;1930;1938;1990;1;4;0;1;0;5;2;L46060;1930;1960;x
トミッチ;46061;YUG;1938;1941;1990;1990;3;4;0;1;0;3;2;L46061;1938;1960;x
ヴクチェヴィッチ;46062;YUG;1940;1990;1990;1990;3;4;0;0;0;3;2;L46062;1940;1960;x
ジヴコヴィッチ;46063;YUG;1930;1930;1930;1960;1;4;0;1;0;3;2;L46063;1930;1960;x
