ALB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
32001;Head of State;ゾグ1世;36;PA;Insignificant Layman;High;M32001;x
32002;Head of Government;ミダート・フラシェリ;36;PA;Corporate Suit;High;M32002;x
32003;Foreign Minister;フアト・アスラム;36;PA;Apologetic Clerk;Medium;M32003;x
32004;Minister of Armament;ローク・ゲラジ;36;PA;Corrupt Kleptocrat;Medium;M32004;x
32005;Minister of Security;ジョスリン・パーシー;36;PA;Prince of Terror;High;M32005;x
32006;Head of Military Intelligence;ゾグ1世;36;PA;Logistics Specialist;Medium;M32006;x
32007;Chief of Staff;ケマル・コマニ;36;PA;School of Defence;Medium;M32007;x
32008;Chief of Army;ステフキ・シャトゥン;36;PA;Static Defence Doctrine;Medium;M32008;x
32009;Chief of Navy;クアマル・パカジ;36;PA;Indirect Approach Doctrine;Medium;M32009;x
32010;Chief of Air Force;ジョスリン・パーシー;36;PA;Army Aviation Doctrine;Medium;M32005;x
32041;Head of State;テフィク・ムボルジャ;39;PA;Pig-headed Isolationist;High;M32021;x
32042;Head of State;イブラヒム・ビカク;42;PA;Stern Imperialist;High;M32042;x
32043;Head of State;フィクリ・ディネ;44;PA;Die-hard Reformer;High;M32043;x
32044;Head of State;テオファン・ノリ;36;SC;Weary Stiffneck;High;M32011;x
32045;Head of State;ラザール・フンドゥア;41;SC;Popular Figurehead;High;M32013;x
32046;Head of State;レシェプ・ミトロヴィカ;44;SC;Insignificant Layman;High;M32046;x
32047;Head of State;シェフケト・ヴェルラツィ;39;FA;Autocratic Charmer;High;M32047;x
32048;Head of State;エクレム・リボホヴァ;42;FA;Powerhungry Demagogue;High;M32048;x
32049;Head of State;オマール・ニシャーニ;36;ST;Resigned Generalissimo;High;M32032;x
32050;Head of State;セジフラ・マェレショヴァ;45;ST;Popular Figurehead;High;M32050;x
32051;Head of State;エンヴェル・ホッジャ;47;ST;Ruthless Powermonger;High;M32051;x
32052;Head of Government;コチョ・コタ;39;PA;Smiling Oilman;High;M32052;x
32053;Head of Government;ジュップ・カザジ;41;PA;Happy Amateur;High;M32015;x
32054;Head of Government;メフディ・フラシェリ;44;PA;Corporate Suit;High;M32054;x
32055;Head of Government;テオファン・ノリ;39;SC;Naive Optimist;High;M32011;x
32056;Head of Government;シャファー・イェピ;41;SC;Political Protege;High;M32056;x
32057;Head of Government;ムスタファ・メルリカ;44;SL;Happy Amateur;High;M32057;x
32058;Head of Government;シェフケト・ヴェルラツィ;39;FA;Flamboyant Tough Guy;High;M32047;x
32059;Head of Government;エクレム・リボホヴァ;42;FA;Corporate Suit;High;M32048;x
32060;Head of Government;オマール・ニシャーニ;36;ST;Silent Workhorse;High;M32032;x
32061;Head of Government;セジフラ・マェレショヴァ;42;ST;Naive Optimist;High;M32050;x
32062;Head of Government;エンヴェル・ホッジャ;44;ST;Backroom Backstabber;High;M32051;x
32063;Foreign Minister;メフディ・フラシェリ;39;PA;Apologetic Clerk;Medium;M32054;x
32065;Foreign Minister;フィクリ・ディネ;42;PA;Great Compromiser;Medium;M32043;x
32066;Foreign Minister;ナジム・デドリ;44;PA;Iron Fisted Brute;Medium;M32066;x
32067;Foreign Minister;ラザール・フンドゥア;36;SC;Great Compromiser;High;M32013;x
32068;Foreign Minister;テオファン・S・ノリ;40;SC;Ideological Crusader;Very Low;M32068;x
32069;Foreign Minister;アリ・ケルメンディ;42;SC;Iron Fisted Brute;Low;M32031;x
32070;Foreign Minister;レシェプ・ミトロヴィカ;43;SC;Apologetic Clerk;Medium;M32046;x
32071;Foreign Minister;シェフケト・シュクピ;44;SL;Biased Intellectual;Medium;M32071;x
32072;Foreign Minister;テフィク・ムボルジャ;39;FA;The Cloak N Dagger Schemer;Medium;M32021;x
32073;Foreign Minister;ハッサン・ベゴリ;41;FA;Biased Intellectual;High;M32073;x
32074;Foreign Minister;コル・ビベ・ミラカジ;42;FA;General Staffer;High;M32074;x
32075;Foreign Minister;ヌヒ・ベリシャ;43;FA;Iron Fisted Brute;High;M32075;x
