AST;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
56001;Head of State;アイザック・アルフレッド・アイザックス;36;SC;Stern Imperialist;High;M56001;x
56002;Head of Government;ジョセフ・A・ライオンズ;36;SC;Flamboyant Tough Guy;High;M56002;x
56003;Foreign Minister;ジョージ・F・ピアース;36;SC;Great Compromiser;High;M56003;x
56004;Minister of Armament;ロバート・A・パークヒル;36;SC;Resource Industrialist;Medium;M56004;x
56005;Minister of Security;トーマス・パターソン;36;SC;Silent Lawyer;Medium;M56005;x
56006;Head of Military Intelligence;アレクサンダー・マクラクラン;36;SC;Technical Specialist;High;M56006;x
56007;Chief of Staff;ジョセフ・A・ライオンズ;36;SC;School of Manoeuvre;Very High;M56002;x
56008;Chief of Army;ジョン・ラヴァラック;36;SC;Static Defence Doctrine;Medium;M56008;x
56009;Chief of Navy;ラグナー・M・コルヴィン;36;SC;Open Seas Doctrine;Medium;M56009;x
56010;Chief of Air Force;リチャード・ウィリアムス;36;SC;Air Superiority Doctrine;Medium;M56010;x
56031;Head of State;アレクサンダー・G・アークライト;36;SC;Stern Imperialist;High;M56031;x
56032;Head of State;ウェストミンスター公爵;45;SC;Autocratic Charmer;High;M56032;x
56035;Head of State;ポール・ローズヴィル;36;PA;Benevolent Gentleman;High;M56011;x
56036;Head of State;ランス・シャーキー;36;LE;Barking Buffoon;High;M56021;x
56037;Head of Government;ロバート・G・メンジース;37;SC;Backroom Backstabber;High;M56037;x
56038;Head of Government;ジョン・J・カーティン;36;SD;Silent Workhorse;High;M56038;x
56039;Head of Government;ベン・チフリー;45;SD;Political Protege;High;M56039;x
56040;Head of Government;J・H・A・デュラント;36;PA;Happy Amateur;High;M56012;x
56041;Head of Government;ランス・シャーキー;36;ST;Ambitious Union Boss;High;M56021;x
56042;Foreign Minister;パーマー・A・マクブライド;36;SC;Iron Fisted Brute;High;M56042;x
56043;Foreign Minister;ヘンリー・S・ガレット;37;SC;Great Compromiser;Medium;M56043;x
56044;Foreign Minister;ウィリアム・M・ヒューズ;37;SC;Biased Intellectual;Very High;M56044;x
56045;Foreign Minister;ロバート・G・メンジース;38;SC;Apologetic Clerk;Very High;M56037;x
56046;Foreign Minister;フレデリック・スチュアート;39;SC;Ideological Crusader;High;M56046;x
56047;Foreign Minister;トーマス・パターソン;41;SC;Biased Intellectual;Medium;M56005;x
56048;Foreign Minister;アール・ページ;44;SC;Apologetic Clerk;Medium;M56048;x
56049;Foreign Minister;ヴァーノン・スターディー;36;SD;General Staffer;Medium;M56049;x
56050;Foreign Minister;ハーバート・V・エヴァット;41;SD;Biased Intellectual;High;M56050;x
56051;Foreign Minister;ピーター・スピアリット;36;PA;General Staffer;Low;M56013;x
56052;Foreign Minister;フランセスコ・ピッツェリ;40;PA;The Cloak N Dagger Schemer;High;M56052;x
56053;Foreign Minister;ヒュー・モクソン;36;ST;Ideological Crusader;High;M56023;x
56054;Foreign Minister;ジョージ・ベイトマン;42;LE;Biased Intellectual;High;M56054;x
56055;Foreign Minister;ジョン・マコーリー;44;ST;Great Compromiser;High;M56055;x
56056;Minister of Armament;エドワード・デイヴィス・ミレン;36;ML;Resource Industrialist;High;M56056;x
56057;Minister of Armament;G・A・ストリート;37;SC;Administrative Genius;High;M56046;x
56058;Minister of Armament;ハティル・S・フォール;40;SC;Administrative Genius;Medium;M56058;x
56059;Minister of Armament;W・D・ボストック;43;SC;Air to Sea Proponent;High;M56059;x
56060;Minister of Armament;パーマー・A・マクブライド;50;SC;Infantry Proponent;High;M56042;x
56061;Minister of Armament;ノーマン・J・メーキン;37;SD;Military Entrepreneur;Medium;M56061;x
56062;Minister of Armament;スタンリー・メルボルン・ブルース;38;SD;Laissez-Faire Capitalist;High;M56062;x
56063;Minister of Armament;A・M・G・ジョーンズ;39;SD;Strategic Air Proponent;High;M56063;x
56064;Minister of Armament;ヘンリー・シャワーズ;41;SD;Battle Fleet Proponent;Medium;M56064;x
56065;Minister of Armament;ホラス・ウィリアム・ストラット;43;SD;Infantry Proponent;Medium;M56065;x
56066;Minister of Armament;シドニー・ローウェル;43;SD;Tank Proponent;Medium;M56066;x
56067;Minister of Armament;スタンリー・J・ゴーブル;44;SD;Air to Ground Proponent;Medium;M56067;x
56068;Minister of Armament;ガイ・C・C・ロイル;44;SD;Submarine Proponent;Medium;M56068;x
56069;Minister of Armament;ジョン・ラヴァラック;44;SD;Military Entrepreneur;Medium;M56008;x
56070;Minister of Armament;リチャード・ウィリアムス;44;SD;Air Superiority Proponent;Medium;M56010;x
56071;Minister of Armament;フランセスコ・ファンティン;36;PA;Battle Fleet Proponent;Medium;M56014;x
56072;Minister of Armament;フランク・カーマグノロ;39;PA;Strategic Air Proponent;Medium;M56072;x
56073;Minister of Armament;ポール・ローズヴィル;42;PA;Air Superiority Proponent;Very High;M56011;x
56074;Minister of Armament;リチャード・オーヴァーレル;44;PA;Administrative Genius;Very High;M56074;x
56075;Minister of Armament;ジャック・ヘンリー;36;LE;Military Entrepreneur;Medium;M56024;x
56076;Minister of Armament;ジム・ヘンダーソン;39;ST;Infantry Proponent;Medium;M56076;x
56077;Minister of Armament;トニー・マクギリック;44;ST;Theoretical Scientist;High;M56077;x
