AUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
23001;Head of State;ヴィルヘルム・ミクラス;35;FA;Weary Stiffneck;High;M23001;x
23002;Head of Government;クルト・シュシュニック;35;FA;Silent Workhorse;High;M23002;x
23003;Foreign Minister;エゴン・ベルガー＝ヴァルデネック;35;FA;Apologetic Clerk;High;M23003;x
23004;Minister of Armament;ユリウス・ラープ;35;FA;Resource Industrialist;Medium;M23004;x
23005;Minister of Security;エドゥアルト・バール＝バーレンフェルス;35;FA;Man of the People;High;M23005;x
23006;Head of Military Intelligence;ヴィルヘルム・ゲバウアー;35;FA;Logistics Specialist;Medium;M23006;x
23007;Chief of Staff;クルト・フォン・ヤンザ;35;FA;School of Defence;Medium;M23007;x
23008;Chief of Army;ウィルヘルム・ツェーナー;35;FA;Elastic Defence Doctrine;High;M23008;x
23009;Chief of Navy;パウル・フォン・ヘゲデュス;35;FA;Decisive Naval Battle Doctrine;High;M23009;x
23010;Chief of Air Force;アレクサンダー・レーア;35;NS;Army Aviation Doctrine;Medium;M23010;x
23156;Minister of Armament;ヨーゼフ・シュンペーター;19;SC;Godfather Of Innovation;Medium;M23156;x
23041;Head of State;オットー1世;36;SC;The First Knight Of Modern;High;M23041;x
23042;Head of State;ヨーゼフ・ビュルケル;38;FA;Insignificant Layman;High;M23042;x
23043;Head of State;アルトゥール・ザイス＝インクヴァルト;38;NS;Die-hard Reformer;High;M23011;x
23044;Head of State;カール・レンナー;38;SD;Benevolent Gentleman;High;M23021;x
23168;Head of Government;カール・レンナー;38;SD;Ambitious Union Boss;High;M23021;x
23169;Head of Military Intelligence;カール・レンナー;38;SD;Political Specialist;High;M23021;x
23045;Head of State;レオポルト・フィグル;45;SC;Pig-headed Isolationist;High;M23045;x
23046;Head of State;オットー・バウアー;38;LE;Insignificant Layman;High;M23031;x
23047;Head of State;ヨーゼフ・トイフル;45;ST;Barking Buffoon;High;M23047;x
23048;Head of Government;O・レーヴェンフェルス＝アーレンガウ;45;PA;Smiling Oilman;High;M23048;x
23049;Head of Government;アルベルト・メンツドルフ＝プイイ;38;FA;Happy Amateur;High;M23049;x
23050;Head of Government;エドムント・グライゼ＝ホルステナウ;38;NS;Old General;High;M23050;x
23051;Head of Government;ヴィルヘルム・ヴォルフ;42;NS;Flamboyant Tough Guy;High;M23013;x
23052;Head of Government;ルートヴィヒ・ヒュルゲルト;38;SC;Corporate Suit;High;M23052;x
23053;Head of Government;アドルフ・シャルフ;45;SD;Naive Optimist;High;M23022;x
23054;Head of Government;ヴィリ・フランク;38;LE;Happy Amateur;High;M23035;x
23055;Head of Government;ヨーゼフ・トイフル;45;ST;Backroom Backstabber;High;M23047;x
23056;Foreign Minister;O・レーヴェンフェルス＝アーレンガウ;45;PA;General Staffer;High;M23048;x
23057;Foreign Minister;グイド・シュミット;36;FA;The Cloak N Dagger Schemer;High;M23057;x
23058;Foreign Minister;エドゥアルト・バール＝バーレンフェルス;38;FA;Iron Fisted Brute;High;M23005;x
23059;Foreign Minister;アルベルト・メンツドルフ＝プイイ;39;FA;Apologetic Clerk;Medium;M23049;x
23060;Foreign Minister;ヴィルヘルム・ヴォルフ;38;NS;Ideological Crusader;High;M23013;x
23061;Foreign Minister;エドムント・グライゼ＝ホルステナウ;42;NS;General Staffer;Medium;M23061;x
23062;Foreign Minister;カール・グルーバー;38;SC;Biased Intellectual;Low;M23023;x
23063;Foreign Minister;レオポルト・フィグル;45;ML;Great Compromiser;Medium;M23045;x
23064;Foreign Minister;アドルフ・シャルフ;45;ML;Biased Intellectual;Medium;M23022;x
23065;Foreign Minister;アルフレート・クラー;38;LE;Ideological Crusader;High;M23033;x
23066;Foreign Minister;ヴィリ・フランク;45;ST;Iron Fisted Brute;Medium;M23035;x
23067;Minister of Armament;T・ヴィンクラー＝クロイト＝マウトナー;45;PA;Laissez-Faire Capitalist;High;M23067;x
23068;Minister of Armament;ヴィクトル・キーンベック;32;SC;Bank President;Medium;M23068;x
23069;Minister of Armament;ヨーゼフ・ドプレツベルガー;36;FA;Laissez-Faire Capitalist;High;M23069;x
23070;Minister of Armament;パウル・フォン・ヘゲデュス;38;FA;Battle Fleet Proponent;High;M23009;x
23071;Minister of Armament;ルドルフ・ノイマイヤー;38;NS;Resource Industrialist;Medium;M23014;x
23072;Minister of Armament;ハンス・フィッシュボック;42;NS;Military Entrepreneur;High;M23072;x
23073;Minister of Armament;アルフレート・メレタ;44;NS;Tank Proponent;Medium;M23073;x
23074;Minister of Armament;エドゥアルト・ハイヌル;38;ML;Theoretical Scientist;Medium;M23024;x
23075;Minister of Armament;カール・グルーバー;42;ML;Air Superiority Proponent;Low;M23023;x
23076;Minister of Armament;カール・レンナー;45;SC;Strategic Air Proponent;Low;M23021;x
23077;Minister of Armament;カール・テュピー;45;SD;Corrupt Kleptocrat;Low;M23077;x
23078;Minister of Armament;フリッツ・シュトッキンガー;46;SD;Air to Ground Proponent;High;M23078;x
23079;Minister of Armament;ルートヴィヒ・ヒュルゲルト;46;SD;Air to Sea Proponent;Medium;M23052;x
23080;Minister of Armament;ロベルト・ヴィンターシュタイン;38;LE;Submarine Proponent;Medium;M23025;x
23081;Minister of Armament;エルヴィン・プッシュマン;45;ST;Infantry Proponent;Medium;M23034;x
23082;Minister of Security;W・エーレンブルク・フォン・ルティッツ;45;PA;Efficient Sociopath;High;M23082;x
23083;Minister of Security;クルト・シュシュニック;37;FA;Compassionate Gentleman;High;M23002;x
23084;Minister of Security;コンスタンティン・ドゥンバ;38;FA;Man of the People;Medium;M23084;x
