BEL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
15001;Head of State;レオポルド3世;36;ML;Benevolent Gentleman;NA;M15001;x
15002;Head of Government;ポール・ヴァン・ズィーランド;36;ML;Silent Workhorse;NA;M15002;x
15003;Foreign Minister;ポール・ヴァン・ズィーランド;36;ML;Biased Intellectual;Very High;M15002;x
15004;Minister of Armament;アルベール・デヴチェ;36;ML;Laissez-Faire Capitalist;Very High;M15004;x
15005;Minister of Security;エウグネ・ソウダン;36;SL;Silent Lawyer;Very High;M15005;x
15006;Head of Military Intelligence;アルベール・デヴチェ;36;ML;Political Specialist;Very High;M15004;x
15007;Chief of Staff;オスカー・クモント;36;SC;School of Defence;Very High;M15007;x
15008;Chief of Army;ヴィクトル・ヴァン・ストリドンク・デ・バーケル;36;SC;Static Defence Doctrine;Very High;M15008;x
15009;Chief of Navy;G・ティマーマン;36;SC;Indirect Approach Doctrine;Very High;M15009;x
15010;Chief of Air Force;L・F・E・ワウテル;36;SC;Vertical Envelopment Doctrine;Very High;M15010;x
15030;Head of State;レオポルド3世;36;NS;Benevolent Gentleman;NA;M15001;x
15031;Head of State;フランドル伯シャルル;36;ML;Benevolent Gentleman;NA;M15031;x
15032;Head of State;ジュリアン・ラホー;45;ST;Ruthless Powermonger;NA;M15024;x
15034;Head of Government;ポール＝アンリ・スパーク;36;SD;Ambitious Union Boss;NA;M15034;x
15035;Head of Government;レオン・デグレル;36;NS;Old General;NA;M15013;x
15036;Head of Government;ポール＝エミル・ヤンソン;37;ML;Silent Workhorse;NA;M15036;x
15037;Head of Government;ユベール・ピエルロ;38;SC;Naive Optimist;NA;M15037;x
15038;Head of Government;カミーユ・ユイスマン;39;SD;Happy Amateur;NA;M15038;x
15040;Head of Government;ジョセフ・ジャクモッテ;44;LE;Political Protege;NA;M15020;x
15041;Head of Government;アヒレ・ファン・アッケル;39;SD;Corporate Suit;NA;M15041;x
15042;Head of Government;ガストン・エイスケンズ;45;SC;Corporate Suit;NA;M15042;x
15043;Head of Government;ジュリアン・ラホー;45;ST;Backroom Backstabber;NA;M15024;x
15044;Foreign Minister;ポール＝アンリ・スパーク;36;SL;Great Compromiser;Very High;M15034;x
15046;Foreign Minister;レオン・デグレル;36;NS;Iron Fisted Brute;Very High;M15013;x
15047;Foreign Minister;ルイ・デ・ブロウカ;37;SD;Ideological Crusader;Very High;M15047;x
15048;Foreign Minister;エウグネ・ソウダン;38;SL;Ideological Crusader;Very High;M15005;x
15049;Foreign Minister;ユベール・ピエルロ;39;SC;Great Compromiser;Very High;M15037;x
15051;Foreign Minister;ジュール・パイア;41;SD;General Staffer;Very High;M15051;x
15052;Foreign Minister;ジェフ・ヴァン・デ・ウィーレ;42;NS;Iron Fisted Brute;Very High;M15011;x
15053;Foreign Minister;エドガー・ラルマンド;43;ST;Biased Intellectual;Very High;M15022;x
15054;Foreign Minister;ジュリアン・ラホー;45;ST;Ideological Crusader;Very High;M15024;x
15055;Foreign Minister;ガストン・エイスケンズ;47;SC;Great Compromiser;Very High;M15042;x
15056;Minister of Armament;ヘンドリック・デ・マン;36;SL;Administrative Genius;Very High;M15056;x
15059;Minister of Armament;カミル・ガット;37;ML;Administrative Genius;Very High;M15059;x
15060;Minister of Armament;レオン・デグレル;37;NS;Infantry Proponent;Very High;M15013;x
15061;Minister of Armament;ジュール・マーロット;38;SD;Resource Industrialist;Very High;M15061;x
15062;Minister of Armament;エマニュエル・ミシェズ;39;ML;Tank Proponent;Very High;M15062;x
15063;Minister of Armament;ポール＝アンリ・スパーク;39;SD;Resource Industrialist;Very High;M15034;x
15064;Minister of Armament;ヘンリ・デニス;40;SC;Infantry Proponent;Very High;M15064;x
15065;Minister of Armament;エドガー・ラルマンド;44;LE;Resource Industrialist;Very High;M15022;x
15066;Minister of Armament;ガストン・エイスケンズ;40;ML;Administrative Genius;Very High;M15042;x
15067;Minister of Armament;フランツ・デ・ヴォーゲル;45;ML;Laissez-Faire Capitalist;Very High;M15067;x
15068;Minister of Armament;マーセル・ヴォーティエ;46;ML;Laissez-Faire Capitalist;Very High;M15068;x
15069;Minister of Armament;アルバート・デ・ヴリーシャウアー;46;SC;Resource Industrialist;Very High;M15069;x
15070;Minister of Armament;ジャン・デュヴィエサール;47;SC;Administrative Genius;Very High;M15070;x
