BLR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
517001;Head of State;アレクサンドル・G・チェルヴィヤコフ;36;LE;Autocratic Charmer;High;M517001;x
517002;Head of Government;アレクセイ・A・ヴォルコフ;36;LE;Naive Optimist;High;M517002;x
517003;Foreign Minister;ニコライ・I・グサロフ;36;LE;Great Compromiser;High;M517003;x
517004;Minister of Armament;アレクサンダー・オサトキン＝ヴラディミルスキー;36;LE;Infantry Proponent;Medium;M517004;x
517005;Minister of Security;ユーリー・B・ガマルニク;36;LE;Prince of Terror;Medium;M517005;x
517006;Head of Military Intelligence;ヤジプ・ロシク;36;LE;Naval Intelligence Specialist;Medium;M517006;x
517007;Chief of Staff;セラフィム・ポクロフスキー;36;LE;School of Psychology;Medium;M517007;x
517008;Chief of Army;パヴェル・ポノマレンコ;36;LE;Armoured Spearhead Doctrine;Medium;M517008;x
517009;Chief of Navy;ヴァレリク・レシク;36;LE;Indirect Approach Doctrine;Medium;M517009;x
517010;Chief of Air Force;ウラディミール・I・チェルヤコフ;36;LE;Carpet Bombing Doctrine;Medium;M517010;x
517011;Head of State;ヤジプ・ロシク;36;SD;Weary Stiffneck;High;M517006;x
517012;Head of State;ラディオン・シェルヴィル;36;SC;Stern Imperialist;High;M517012;x
517013;Head of State;ピョートル・クレチェウスキー;36;NS;Autocratic Charmer;High;M517013;x
517014;Head of Government;ピョートル・クレチェウスキー;36;SD;Happy Amateur;High;M517013;x
517015;Head of Government;ヴェネディクト・ボブコフスキー;36;SC;Political Protege;High;M517015;x
517016;Head of Government;ヴァシル・ザカルカ;36;NS;Corporate Suit;High;M517016;x
517017;Foreign Minister;カール・ランダー;36;LE;Ideological Crusader;High;M517017;x
517018;Foreign Minister;大司教パンテレイモン;36;SD;Apologetic Clerk;High;M517018;x
517019;Foreign Minister;ピョートル・A・クレチェウスキー;36;SD;Ideological Crusader;High;M517019;x
517020;Foreign Minister;ヴァシル・ザカルカ;36;SC;Great Compromiser;High;M517016;x
517021;Foreign Minister;ヴェニアミン・ノヴィツキ;36;SC;Apologetic Clerk;High;M517021;x
517022;Foreign Minister;ユーリ・シュレヴィッチ;36;NS;Biased Intellectual;High;M517022;x
517023;Foreign Minister;ウィルヘルム・クーベ;36;NS;The Cloak N Dagger Schemer;High;M517023;x
517024;Minister of Armament;ヴァシリー・F・シャランゴヴィッチ;36;LE;Resource Industrialist;Medium;M517024;x
517025;Minister of Armament;ミハイル・ボンチ＝ブロイヴィッチ;36;SD;Tank Proponent;Medium;M517025;x
517026;Minister of Armament;ミコラ・アブランチック;36;SC;Theoretical Scientist;Medium;M517026;x
517027;Minister of Armament;ラディオン・シェルヴィル;36;NS;laissez-faire capitalist;Medium;M517012;x
517028;Minister of Armament;カール・ランダー;36;NS;Military Entrepreneur;Medium;M517017;x
517029;Minister of Security;アレクサンドル・I・クリヴィツキー;36;LE;Compassionate Gentleman;Medium;M517029;x
517030;Minister of Security;ニコライ・F・ギカロ;36;LE;Back Stabber;Medium;M517030;x
517031;Minister of Security;ミハイル・ボンチ＝ブロイヴィッチ;36;LE;Man of the People;Medium;M517025;x
517032;Minister of Security;アレクサンダー・オサトキン＝ヴラディミルスキー;36;SD;Crime Fighter;Medium;M517004;x
517033;Minister of Security;ラリサ・ヒエニジュシュ;36;SC;Efficient Sociopath;Medium;M517033;x
517034;Minister of Security;クルト・フォン・ゴットベルク;36;NS;Prince of Terror;Medium;M517034;x
517035;Minister of Security;コンスタンティン・ヴォスコボイニコフ;36;NS;Silent Lawyer;Medium;M517035;x
517036;Head of Military Intelligence;パンテレイオン・ポノマレンコ;36;LE;Industrial Specialist;Medium;M517036;x
517037;Head of Military Intelligence;アレクサンドル・I・クリヴィツキー;36;SD;Political Specialist;Medium;M517029;x
517038;Head of Military Intelligence;カール・ランダー;36;SD;Dismal Enigma;Medium;M517017;x
517039;Head of Military Intelligence;ユーリ・シュレヴィッチ;36;SC;Technical Specialist;Medium;M517022;x
517040;Head of Military Intelligence;ミハイル・ボンチ＝ブロイヴィッチ;36;NS;Technical Specialist;Medium;M517025;x
517041;Head of Military Intelligence;ユーリー・B・ガマルニク;36;NS;Political Specialist;Medium;M517005;x
517042;Head of Military Intelligence;ヴァルター・ダレ;36;NS;Logistics Specialist;Medium;M517042;x
517043;Chief of Staff;ウラディミール・I・チェルヤコフ;36;SD;School of Fire Support;Medium;M517010;x
517044;Chief of Staff;ユーリー・B・ガマルニク;36;SC;School of Psychology;Medium;M517005;x
517045;Chief of Staff;ヴァシリー・スエラタ;36;NS;School of Defence;Medium;M517045;x
517046;Chief of Army;セラフィム・ポクロフスキー;36;SD;Static Defence Doctrine;Medium;M517007;x
517047;Chief of Army;ジョゼフ・ダウボル＝ムスニキ;36;SC;Decisive Battle Doctrine;Medium;M517047;x
517048;Chief of Army;ブロニスラフ・カミンスキー;36;NS;Guns and Butter Doctrine;Medium;M517048;x
517049;Chief of Navy;アレクサンドル・イジウモフ;36;SD;Base Control Doctrine;Medium;M517049;x
517050;Chief of Navy;フリードリヒ・ヴィルヘルム・クルツ;36;SC;Open Seas Doctrine;Medium;M517050;x
517051;Chief of Navy;エルハルト・メルテンス;36;NS;Base Control Doctrine;Medium;M517051;x
517052;Chief of Air Force;ニコライ・F・ギカロ;36;SD;Army Aviation Doctrine;Medium;M517030;x
517053;Chief of Air Force;アレクサンドル・イジウモフ;36;SC;Vertical Envelopment Doctrine;Medium;M517049;x
517054;Chief of Air Force;ハンス・バウアー;36;NS;Air Superiority Doctrine;Medium;M517054;x
