BRU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
567001;Head of State;アマド・タジュディン;36;SC;Autocratic Charmer;High;M567001;x
567002;Head of Government;サー・ポール・アームストロング;36;SC;Corporate Suit;High;M567002;x
567003;Foreign Minister;ヒューバート・オッグレトン;36;SC;Iron Fisted Brute;Very High;M567003;x
567004;Minister of Armament;ナワナガール・ランジット;36;SC;Infantry Proponent;Very High;M567004;x
567005;Minister of Security;デーヴィッド・H・クラウザー;36;SC;Silent Lawyer;Very High;M567005;x
567006;Head of Military Intelligence;サイモン・ジェンキンソン;36;SC;Dismal Enigma;Very High;M567006;x
567007;Chief of Staff;オマー・アリ・サリフ;36;SC;School of Psychology;Very High;M567007;x
567008;Chief of Army;H・L・ヘンダーソン;36;SC;Decisive Battle Doctrine;Very High;M567008;x
567009;Chief of Navy;R・M・C・アラント;36;SC;Indirect Approach Doctrine;Very High;M567009;x
567010;Chief of Air Force;H・H・ドーン;36;SC;Air Superiority Doctrine;Very High;M567010;x
567011;Head of State;ラジピプラ藩王ヴィジャヤシンジ;36;FA;Popular Figurehead;High;M567011;x
567012;Head of Government;モハンメド・トゥットゥ;36;FA;Political Protege;High;M567012;x
567013;Foreign Minister;シオール・カラ・ヌーダイ;36;FA;Ideological Crusader;Very High;M567013;x
567014;Foreign Minister;アフマド・カマルル;45;SC;General Staffer;Very High;M567014;x
567015;Minister of Armament;アリー・エンヤング;36;FA;Air to Ground Proponent;Very High;M567015;x
567016;Minister of Armament;パドゥカ・ハジ・アリ;42;SC;laissez-faire capitalist;Very High;M567016;x
567017;Minister of Security;サチン・イブラヒム・ヤクート;36;FA;Man of the People;Very High;M567017;x
567018;Minister of Security;アブダラ・ラジク;45;SC;Prince of Terror;Very High;M567018;x
567019;Head of Military Intelligence;プドゥク・マルタンダ;36;FA;Industrial Specialist;Very High;M567019;x
567020;Head of Military Intelligence;ナビル・マシフール;43;SC;Logistics Specialist;Very High;M567020;x
567021;Chief of Staff;イスマエル・タラナグール;36;FA;School of Defence;Very High;M567021;x
567022;Chief of Staff;アブドゥラ・ラタック;44;SC;School of Mass Combat;Very High;M567022;x
567023;Chief of Army;ラーマ・ヴァルマ6世;36;FA;Static Defence Doctrine;Very High;M567023;x
567024;Chief of Army;オマー・アリ・サリフ;44;SC;Armoured Spearhead Doctrine;Very High;M567007;x
567025;Chief of Navy;ラーマ・ヴァルマ6世;36;FA;Base Control Doctrine;Very High;M567023;x
567026;Chief of Navy;デワナガル・シン;44;SC;Open Seas Doctrine;Very High;M567026;x
567027;Chief of Air Force;イスマエル・タラナグール;36;FA;Vertical Envelopment Doctrine;Very High;M567021;x
567028;Chief of Air Force;C・S・オッディ;41;SC;Naval Aviation Doctrine;Very High;M567028;x
567029;Chief of Air Force;ドナルド・エンク;45;SC;Army Aviation Doctrine;Very High;M567029;x
567030;Head of State;オマル・アリ・サイフディン3世;50;SC;Benevolent Gentleman;High;M567030;x
567031;Head of Government;オマル・アリ・サイフディン3世;47;SC;Smiling Oilman;High;M567030;x
