BUL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
19001;Head of State;ボリス3世;36;PA;Stern Imperialist;High;M19001;x
19002;Head of Government;ゲオルギ・キオセイヴァノフ;36;PA;Backroom Backstabber;High;M19002;x
19003;Foreign Minister;ゲオルギ・キオセイヴァノフ;36;PA;Biased Intellectual;High;M19002;x
19004;Minister of Armament;キリル・ゴウネフ;36;PA;Administrative Genius;Medium;M19004;x
19005;Minister of Security;ゲオルギ・サポフ;36;PA;Crime Fighter;Low;M19005;x
19006;Head of Military Intelligence;ディミタール・ペシェフ;36;PA;Dismal Enigma;Medium;M19006;x
19007;Chief of Staff;フリスト・ルコフ;36;PA;School of Defence;Low;M19007;x
19008;Chief of Army;トドール・ジョルジエフ;36;PA;Static Defence Doctrine;Medium;M19008;x
19009;Chief of Navy;サヴァ・イヴァノフ;36;PA;Open Seas Doctrine;Medium;M19009;x
19010;Chief of Air Force;ヴァシル・ボイデフ;36;PA;Air Superiority Doctrine;Medium;M19010;x
19042;Head of State;プレスラフ公キリル;43;PA;Stern Imperialist;High;M19042;x
19043;Head of State;ボリス3世;39;NS;Stern Imperialist;High;M19001;x
19044;Head of State;アレクサンダー・ツァンコフ;43;NS;Barking Buffoon;High;M19021;x
19045;Head of State;ボリス3世;39;SC;Stern Imperialist;High;M19001;x
19046;Head of State;プレスラフ公キリル;43;SC;Stern Imperialist;High;M19042;x
19047;Head of State;ニコラ・ペトコフ;45;SC;Die-hard Reformer;High;M19047;x
19048;Head of State;プレスラフ公キリル;44;LWR;Stern Imperialist;High;M19042;x
19049;Head of State;ボリス・サクスコブルクゴツキ;39;ST;Popular Figurehead;High;M19001;x
19050;Head of State;ゲオルギ・ディミトロフ;43;ST;Powerhungry Demagogue;High;M19032;x
19051;Head of State;ヴァシル・P・コラロフ;45;ST;Weary Stiffneck;High;M19031;x
19052;Head of Government;ボグダン・フィロフ;39;PA;Political Protege;High;M19024;x
19053;Head of Government;ドブリ・ボジロフ;43;PA;Corporate Suit;High;M19053;x
19054;Head of Government;イワン・I・バグリアノフ;44;PA;Old General;High;M19054;x
19055;Head of Government;アレクサンダー・ツァンコフ;39;NS;Backroom Backstabber;High;M19021;x
19056;Head of Government;ペトゥル・ガブロフスキ;43;PA;Naive Optimist;High;M19022;x
19057;Head of Government;コンスタンティン・ムラヴィヨフ;39;SC;Happy Amateur;High;M19012;x
19058;Head of Government;ニコラ・ペトコフ;44;SC;Flamboyant Tough Guy;High;M19047;x
19059;Head of Government;キモン・ゲオルギエフ;44;LWR;Naive Optimist;High;M19059;x
19060;Head of Government;ゲオルギ・ディミトロフ;39;ST;Political Protege;High;M19032;x
19061;Foreign Minister;イワン・ポポフ;39;PA;Biased Intellectual;Medium;M19061;x
19062;Foreign Minister;アレクサンダー・ニコライエフ;39;PA;Ideological Crusader;Medium;M19062;x
19063;Foreign Minister;ボグダン・フィロフ;42;PA;Biased Intellectual;Medium;M19024;x
19064;Foreign Minister;ディミタール・シシュマノフ;43;PA;The Cloak N Dagger Schemer;Medium;M19064;x
19065;Foreign Minister;イワン・I・バグリアノフ;44;PA;Iron Fisted Brute;Medium;M19054;x
19066;Foreign Minister;ピルヴァン・ドラガノフ;44;FA;General Staffer;Medium;M19066;x
19067;Foreign Minister;アレクサンダー・ツァンコフ;39;FA;Ideological Crusader;Medium;M19021;x
19068;Foreign Minister;アタナス・ブロフ;39;SC;Great Compromiser;Low;M19068;x
19069;Foreign Minister;ゲオルギ・ブラソフ;43;SC;Biased Intellectual;Low;M19069;x
19070;Foreign Minister;コンスタンティン・ムラヴィヨフ;44;SC;Apologetic Clerk;Medium;M19012;x
19071;Foreign Minister;ニコラ・ペトコフ;45;SC;The Cloak N Dagger Schemer;Medium;M19047;x
19072;Foreign Minister;ペトコ・スタイノフ;44;LWR;Biased Intellectual;Medium;M19072;x
