BUR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
563001;Head of State;サー・レジナルド・ドーマン＝スミス;35;ML;Stern Imperialist;High;M563001;x
563002;Head of Government;ヒューバート・エルヴィン・ランス;35;ML;Naive Optimist;High;M563002;x
563003;Foreign Minister;サー・アーチボルド・コクラン;35;ML;General Staffer;High;M563003;x
563004;Minister of Armament;ロバート・フィッツヘンドリクス;35;ML;Military Entrepreneur;Medium;M563004;x
563005;Minister of Security;ジョン・コリンズ;35;ML;Crime Fighter;Medium;M563005;x
563006;Head of Military Intelligence;ラルフ・ボトムリー卿;35;ML;Dismal Enigma;Medium;M563006;x
563007;Chief of Staff;サー・アーチボルド・コクラン;35;ML;School of Defence;Medium;M563003;x
563008;Chief of Army;ドナルド・クラークソン;35;ML;Static Defence Doctrine;Medium;M563008;x
563009;Chief of Navy;ヒューバート・スコット＝ペイン;35;ML;Power Projection Doctrine;Medium;M563009;x
563010;Chief of Air Force;P・C・モルトビー;35;ML;Army Aviation Doctrine;Medium;M563010;x
563011;Head of State;タキン・バイ・テイ・ティン;35;ST;Ruthless Powermonger;High;M563011;x
563012;Head of State;サオ・シュウェ・タイケ;35;SD;Die-hard Reformer;High;M563012;x
563013;Head of State;サオ・ヤン・ウェン・ピン;35;PA;Pig-headed Isolationist;High;M563013;x
563014;Head of State;バー・モウ;35;FA;Insignificant Layman;High;M563014;x
563015;Head of Government;タキン・ソエ・ブー;35;ST;Old Admiral;High;M563015;x
563016;Head of Government;アウン・サン;35;SD;Old General;High;M563016;x
563017;Head of Government;サオ・エドワード・ヤン・ケイン・ツァイ;35;PA;Political Protege;High;M563017;x
563018;Head of Government;バー・モウ;35;FA;Flamboyant Tough Guy;High;M563014;x
563019;Foreign Minister;タイク・トゥン;35;ST;Ideological Crusader;High;M563019;x
563020;Foreign Minister;ウ・タント;35;SD;Great Compromiser;High;M563020;x
563021;Foreign Minister;タキン・ヌー;35;PA;Apologetic Clerk;High;M563021;x
563022;Foreign Minister;ガロン・ソー・オー;35;FA;The Cloak N Dagger Schemer;High;M563022;x
563023;Minister of Armament;タキン・バ・タウン;35;ST;Submarine Proponent;Medium;M563023;x
563024;Minister of Armament;アウン・ジイ;35;SD;laissez-faire capitalist;Medium;M563024;x
563025;Minister of Armament;ジェームズ・フランクリン;35;PA;Administrative Genius;Medium;M563025;x
563026;Minister of Armament;バ・キン;35;FA;Air to Ground Proponent;Medium;M563026;x
563027;Minister of Security;A・N・ゴーサル;35;ST;Man of the People;Medium;M563027;x
563028;Minister of Security;ウィン・マウン;35;SD;Back Stabber;Medium;M563028;x
563029;Minister of Security;セイン・ルウィン;35;PA;Silent Lawyer;Medium;M563029;x
563030;Minister of Security;ネ・ウィン;35;FA;Compassionate Gentleman;Medium;L101130;x
563031;Head of Military Intelligence;ヘム・チャンドラ・マズマダル;35;ST;Industrial Specialist;Medium;M563031;x
563032;Head of Military Intelligence;フラ・ミャイン;35;SD;Logistics Specialist;Medium;M563032;x
563033;Head of Military Intelligence;セシル・クロウチ・フォード;35;PA;Political Specialist;Medium;M563033;x
563034;Head of Military Intelligence;金子豐治;35;FA;Technical Specialist;Medium;M563034;x
563035;Chief of Staff;ネ・ウィン;35;FA;School of Manoeuvre;Medium;L101130;x
563036;Chief of Staff;スミス・ダン;35;SD;School of Psychology;Medium;M563036;x
563037;Chief of Staff;メイソン・フィッツジェラルド;41;ML;School of Fire Support;Medium;M563037;x
563038;Chief of Staff;ボ・ミャ;35;PA;School of Mass Combat;Medium;M563038;x
563039;Chief of Staff;クン・サ;35;FA;School of Manoeuvre;Medium;M563039;x
563040;Chief of Army;マウン・キン;35;ST;Decisive Battle Doctrine;Medium;M563040;x
563041;Chief of Army;アウン・サン;35;SD;Guns and Butter Doctrine;Medium;M563016;x
563042;Chief of Army;ウィリアム・メリック;43;ML;Armoured Spearhead Doctrine;Medium;M563042;x
563043;Chief of Army;ガロン・ソー・オー;35;PA;Elastic Defence Doctrine;Medium;M563022;x
563044;Chief of Army;ネ・ウィン;35;FA;Decisive Battle Doctrine;Medium;L101130;x
563045;Chief of Navy;タキン・ソエ・ブー;35;ST;Indirect Approach Doctrine;Medium;M563015;x
563046;Chief of Navy;キン・マウン・スウェ;35;SD;Base Control Doctrine;Medium;M563046;x
563047;Chief of Navy;クロード・ポイグデストル;35;PA;Decisive Naval Battle Doctrine;Medium;M563047;x
563048;Chief of Navy;フサヤ・マウン・タウ・カ;35;FA;Open Seas Doctrine;Medium;M563048;x
563049;Chief of Air Force;タイク・トゥン;35;ST;Vertical Envelopment Doctrine;Medium;M563019;x
563050;Chief of Air Force;ナウ・セン;35;SD;Naval Aviation Doctrine;Medium;M563050;x
563051;Chief of Air Force;アイク・ルク;35;PA;Air Superiority Doctrine;Medium;M563051;x
563052;Chief of Air Force;ティン・トゥン;35;FA;Carpet Bombing Doctrine;Medium;M563052;x
563053;Head of State;バー・モウ;52;LWR;Stern Imperialist;High;M563014;x
563054;Head of Government;ウー・ヌ;48;SD;Smiling Oilman;High;M563054;x
563080;Head of State;バー・モウ;35;PA;Stern Imperialist;High;M563014;x
563081;Head of State;バー・モウ;35;SC;Stern Imperialist;High;M563014;x
563082;Head of Government;バー・モウ;35;PA;Flamboyant Tough Guy;High;M563014;x
563083;Head of Government;バー・モウ;35;SC;Flamboyant Tough Guy;High;M563014;x
