CAL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
572001;Head of State;フランク・フィンレイ・メリアム;36;PA;Die-hard Reformer;High;M572001;x
572002;Head of Government;カルバート・レヴィ・オルソン;36;PA;Smiling Oilman;High;M572002;x
572003;Foreign Minister;フランク・E・ホーマン;36;PA;Great Compromiser;High;M572003;x
572004;Minister of Armament;アンジェロ・ロッシ;36;PA;Corrupt Kleptocrat;Medium;M572004;x
572005;Minister of Security;パトリック・J・クイン;36;PA;Crooked Kleptocrat;Medium;M572005;x
572006;Head of Military Intelligence;パーシー・ベンボー;36;PA;Naval Intelligence Specialist;Medium;M572006;x
572007;Chief of Staff;ハーバート・R・テンプル;36;PA;School of Mass Combat;Medium;M572007;x
572008;Chief of Army;ジーン・D・ジェームズ;36;PA;Decisive Battle Doctrine;Medium;M572008;x
572009;Chief of Navy;ジョセフ・リーヴス;36;PA;Power Projection Doctrine;Medium;L60458;x
572010;Chief of Air Force;ルロイ・レゴウィック;36;PA;Vertical Envelopment Doctrine;Medium;M572010;x
572011;Foreign Minister;フランク・L・ショー;38;PA;Apologetic Clerk;High;M572011;x
572012;Foreign Minister;デーヴィッド・プレスコット・バロウズ;40;PA;General Staffer;High;M572012;x
572013;Foreign Minister;アール・ウォーレン;44;PA;Ideological Crusader;High;M572013;x
572014;Minister of Armament;フレッチャー・バウロン;39;PA;Resource Industrialist;Medium;M572014;x
572015;Minister of Armament;ヘンリー・ファウンテン・アッシャースト;40;PA;Submarine Proponent;Medium;M572015;x
572016;Minister of Armament;ハーリー・ノックス;42;PA;Administrative Genius;Medium;M572016;x
572017;Minister of Armament;ニューウェル・スチュワート;44;PA;Air to Sea Proponent;Medium;M572017;x
572018;Minister of Security;トム・モンク;39;PA;Prince of Terror;Medium;M572018;x
572019;Minister of Security;スチュワート・ウダール;41;PA;Compassionate Gentleman;Medium;M572019;x
572020;Minister of Security;ジョン・ドックワイラー;41;PA;Crime Fighter;Medium;M572020;x
572021;Minister of Security;ロジャー・ディアボーン・ラッファム;44;PA;Silent Lawyer;Medium;M572021;x
572022;Head of Military Intelligence;アーサー・D・ファーガソン;38;PA;Dismal Enigma;Medium;M572022;x
572023;Head of Military Intelligence;ダグラス・ムーア;39;PA;Technical Specialist;Medium;M572023;x
572024;Head of Military Intelligence;アーサー・C・ファーガソン;42;PA;Industrial Specialist;Medium;M572024;x
572025;Head of Military Intelligence;ロナルド・レーガン;46;PA;Political Specialist;Medium;M572025;x
572026;Chief of Staff;ジョン・H・ハートネット;42;PA;School of Psychology;Medium;M572026;x
572027;Chief of Army;レイモンド・C・バーン;43;PA;Elastic Defence Doctrine;Medium;M572027;x
572028;Chief of Navy;M・H・ドーマン;45;PA;Decisive Naval Battle Doctrine;Medium;M572028;x
572029;Chief of Air Force;ロナルド・E・シュープマン;41;PA;Air Superiority Doctrine;Medium;M572029;x
