CAM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
534001;Head of State;ジュール・レピケ;36;SL;Popular Figurehead;High;M534001;x
534002;Head of Government;エマヌエル・エンドレー;36;SL;Political Protege;High;M534002;x
534003;Foreign Minister;リシャール・ブリュノ;36;SL;Great Compromiser;High;M534003;x
534004;Minister of Armament;ピエール・シャルル・クールネール;36;SL;Corrupt Kleptocrat;Medium;M534004;x
534005;Minister of Security;ユベール・E・P・カラス;36;SL;Back Stabber;Medium;M534005;x
534006;Head of Military Intelligence;アンリ・ピエール・ニコラ;36;SL;Political Specialist;Medium;M534006;x
534007;Chief of Staff;フランソワ・プリオー;36;SL;School of Psychology;Medium;M534007;x
534008;Chief of Army;ピエール・ラヴェル＝エクール;36;SL;Decisive Battle Doctrine;Medium;M534008;x
534009;Chief of Navy;ロベール・ドラヴィネット;36;SL;Indirect Approach Doctrine;Medium;M534009;x
534010;Chief of Air Force;ピエール・ボワッソン;36;SL;Naval Aviation Doctrine;Medium;M534010;x
534011;Head of State;ピエール・ボワッソン;37;SL;Powerhungry Demagogue;High;M534010;x
534012;Head of State;リシャール・ブリュノ;38;SL;Benevolent Gentleman;High;M534003;x
534013;Head of State;ピエール・シャルル・クールネール;40;SL;Insignificant Layman;High;M534004;x
534014;Head of State;ユベール・E・P・カラス;43;SL;Weary Stiffneck;High;M534005;x
534015;Head of State;アンリ・ピエール・ニコラ;44;SL;Barking Buffoon;High;M534006;x
534016;Head of State;ロベール・ドラヴィネット;46;SL;Die-hard Reformer;High;M534009;x
534017;Head of State;ルネ・オフェール;47;SL;Pig-headed Isolationist;High;M534017;x
534018;Head of State;アフマドゥ・アヒジョ;36;SC;Stern Imperialist;High;M534018;x
534019;Head of Government;アンドレ・マリ・ムビダ;36;SC;Flamboyant Tough Guy;High;M534019;x
534020;Foreign Minister;アンドレ・ジェルブロン;42;SL;Apologetic Clerk;High;M534020;x
534021;Foreign Minister;ジョン・ヌグ・フォンチャ;36;SC;The Cloak N Dagger Schemer;High;M534021;x
534022;Minister of Armament;アントワーヌ・ビサンニェ;42;SL;Military Entrepreneur;Medium;M534022;x
534023;Minister of Armament;ヴァンサン・ド・ポール・アハンダ;36;SC;Administrative Genius;Medium;M534023;x
534024;Minister of Security;ウジェーヌ・シャヴァン;40;SL;Man of the People;Medium;M534024;x
534025;Minister of Security;ジョルジュ・ボネ;36;SC;Compassionate Gentleman;Medium;M534025;x
534026;Head of Military Intelligence;ルネ・オフェール;42;SL;Logistics Specialist;Medium;M534017;x
534027;Head of Military Intelligence;シャルル・アサル;36;SC;Industrial Specialist;Medium;M534027;x
534028;Chief of Staff;アルフェ・マジエラ;42;SL;School of Defence;Medium;M534028;x
534029;Chief of Staff;ヴァランタン・アベイユ;36;SC;School of Mass Combat;Medium;M534029;x
534030;Chief of Army;ジョルジュ・ユゴー;42;SL;Guns and Butter Doctrine;Medium;M534030;x
534031;Chief of Army;ヴァランタン・アベイユ;36;SC;Elastic Defence Doctrine;Medium;M534029;x
534032;Chief of Navy;ジャン・セディル;39;SL;Decisive Naval Battle Doctrine;Medium;M534032;x
534033;Chief of Navy;シャルル・アサル;36;SC;Power Projection Doctrine;Medium;M534027;x
534034;Chief of Air Force;ロジェ・モット;41;SL;Vertical Envelopment Doctrine;Medium;M534034;x
534035;Chief of Air Force;ルイ・フェラン;36;SC;Army Aviation Doctrine;Medium;M534035;x
