CAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
45001;Head of State;ジョン・トウィーズミュア男爵;36;ML;Benevolent Gentleman;High;M45001;x
45002;Head of Government;マッケンジー・キング;36;ML;Flamboyant Tough Guy;High;M45002;x
45003;Foreign Minister;マッケンジー・キング;36;ML;Great Compromiser;Undying;M45002;x
45004;Minister of Armament;イアン・A・マッケンジー;36;ML;Administrative Genius;High;M45004;x
45005;Minister of Security;アーネスト・ラポインテ;36;ML;Crime Fighter;Very High;M45005;x
45006;Head of Military Intelligence;ヘンリー・クレーラー;36;ML;Technical Specialist;High;M45006;x
45007;Chief of Staff;アーネスト・アシュトン;36;ML;School of Fire Support;Very High;M45007;x
45008;Chief of Army;アーネスト・アシュトン;36;ML;Guns and Butter Doctrine;Very High;M45007;x
45009;Chief of Navy;パーシー・ネレス;36;ML;Open Seas Doctrine;Very High;M45009;x
45010;Chief of Air Force;ジョージ・クロイル;36;ML;Carpet Bombing Doctrine;Very High;M45010;x
45033;Head of State;エイドリアン・アーカンド;36;FA;Barking Buffoon;High;M45011;x
45034;Head of State;ティム・バック;36;ST;Insignificant Layman;High;M45021;x
45036;Head of Government;R・B・ベネット;36;SC;Silent Workhorse;High;M45036;x
45037;Head of Government;ロバート・マニオン;40;SC;Naive Optimist;High;M45037;x
45038;Head of Government;ジョン・ブラッケン;44;SC;Smiling Oilman;High;M45038;x
45039;Head of Government;エイドリアン・アーカンド;36;FA;Happy Amateur;High;M45011;x
45040;Head of Government;ティム・バック;36;ST;Ambitious Union Boss;High;M45021;x
45042;Foreign Minister;ルイス・サンロラン;46;ML;General Staffer;High;M45042;x
45043;Foreign Minister;R・B・ベネット;36;SC;Iron Fisted Brute;Undying;M45036;x
45044;Foreign Minister;ニュートン・ウェスリー・ローウェル;38;SC;Ideological Crusader;High;M45044;x
45045;Foreign Minister;ロバート・マニオン;40;SC;Apologetic Clerk;Undying;M45037;x
45046;Foreign Minister;ジョン・ブラッケン;44;SC;Biased Intellectual;Undying;M45038;x
45047;Foreign Minister;エイドリアン・アーカンド;36;FA;Ideological Crusader;Low;M45011;x
45048;Foreign Minister;アンドリュー・グリーン・カーネル;44;PA;Iron Fisted Brute;Medium;M45016;x
45049;Foreign Minister;ティム・バック;36;ST;The Cloak N Dagger Schemer;Very Low;M45021;x
45050;Foreign Minister;アーマンド・ラヴァショー;42;LWR;Biased Intellectual;Medium;M45050;x
45051;Foreign Minister;ジョン・レスブリッジ;45;LE;Ideological Crusader;Medium;M45028;x
45053;Minister of Armament;ジェームス・ラルストン;39;ML;Infantry Proponent;High;M45053;x
45054;Minister of Armament;ダグラス・S・アボット;44;ML;Submarine Proponent;Very High;M45054;x
45055;Minister of Armament;ラウル・ダンデュランド;36;ML;Laissez-Faire Capitalist;Low;M45055;x
45056;Minister of Armament;アーサー・メイヘン;40;SC;Resource Industrialist;High;M45056;x
45057;Minister of Armament;C・D・ハウ;40;SC;Administrative Genius;Very High;M45057;x
45058;Minister of Armament;ジョン・ロス・テイラー;36;PA;Corrupt Kleptocrat;Very Low;M45014;x
45059;Minister of Armament;タスカー・クック;39;PA;Air to Ground Proponent;Medium;M45059;x
45060;Minister of Armament;チャールズ・J・ハウレット;42;PA;Infantry Proponent;Medium;M45060;x
45061;Minister of Armament;レネ・サンピエール;44;PA;Battle Fleet Proponent;Medium;M45061;x
45062;Minister of Armament;ピエール・ギャグノン;45;PA;Resource Industrialist;Medium;M45062;x
45063;Minister of Armament;マシュー・ポポヴィッチ;36;LWR;Tank Proponent;Low;M45024;x
45064;Minister of Armament;ウィリアム・カシュタン;38;LE;Resource Industrialist;Low;M45064;x
45065;Minister of Armament;ロバート・M・エドワーズ;41;LWR;Infantry Proponent;Medium;M45065;x
45066;Minister of Armament;ボブ・マン;43;LE;Air Superiority Proponent;Medium;M45030;x
45069;Minister of Security;ジョージ・W・スティーヴンス;44;ML;Compassionate Gentleman;Medium;M45069;x
45070;Minister of Security;トーマス・A・クレーラー;36;ML;Man of the People;Very High;M45070;x
45071;Minister of Security;ゴードン・グレイドン;40;SC;Silent Lawyer;High;M45071;x
45072;Minister of Security;ルイス・サンロラン;41;ML;Crime Fighter;High;M45042;x
45073;Minister of Security;ジョン・ディーフェンベーカー;44;SC;Man of the People;High;M45073;x
45074;Minister of Security;チャック・クレート;36;PA;Prince of Terror;Medium;M45015;x
45075;Minister of Security;ピエール・サンピエール;37;PA;Man of the People;Medium;M45075;x
45076;Minister of Security;トーマス・アダムス;41;PA;Compassionate Gentleman;Medium;M45076;x
45077;Minister of Security;ピエール・ギャグノン;42;PA;Crime Fighter;Medium;M45062;x
45078;Minister of Security;ジーン・クイラード;43;PA;Silent Lawyer;Medium;M45078;x
45079;Minister of Security;ウィリアム・G・アダムズ;45;PA;Back Stabber;Medium;M45079;x
45080;Minister of Security;トム・マッキュアン;36;LE;Crime Fighter;Medium;M45025;x
45081;Minister of Security;ロバート・ブラックホーク;40;LWR;Man of the People;Medium;M45081;x
45082;Minister of Security;ジノ・ヴァーチエラ;41;LE;Efficient Sociopath;Medium;M45082;x
45083;Minister of Security;クエンティン・ピゴット;43;LE;Compassionate Gentleman;Medium;M45083;x
45085;Head of Military Intelligence;ハーバート・ブラウン・エイムズ;37;ML;Dismal Enigma;Very High;M45085;x
45086;Head of Military Intelligence;ケネス・ステュアート;40;ML;Technical Specialist;Very High;M45086;x
