CGX;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
502001;Head of State;白崇禧 (パイ・チュンシ）;35;PA;Resigned Generalissimo;High;M502007;x
502002;Head of Government;李宗仁 (リー・ツンジェン）;35;PA;Flamboyant Tough Guy;High;L50186;x
502003;Foreign Minister;汪兆銘 (ワン・チャオミン）;35;PA;Biased Intellectual;High;M52011;x
502004;Minister of Armament;李宗仁 (リー・ツンジェン）;35;PA;Military Entrepreneur;Medium;L50186;x
502005;Minister of Security;リー・チュン;35;PA;Man of the People;Medium;M502005;x
502006;Head of Military Intelligence;李濟深 (リー・チシェン）;35;PA;Dismal Enigma;Medium;M502001;x
502007;Chief of Staff;白崇禧 (パイ・チュンシ）;35;PA;School of Manoeuvre;Medium;M502007;x
502008;Chief of Army;李宗仁 (リー・ツンジェン）;35;PA;Static Defence Doctrine;Medium;L50186;x
502009;Chief of Navy;白崇禧 (パイ・チュンシ）;35;PA;Indirect Approach Doctrine;Medium;M502007;x
502010;Chief of Air Force;李宗仁 (リー・ツンジェン）;35;PA;Air Superiority Doctrine;Medium;L50186;x
502011;Chief of Army;陳濟棠 (チェン・チタン）;35;PA;Guns and Butter Doctrine;Medium;M502008;x
502012;Minister of Armament;余漢謀 (ユ・ハンモウ）;35;PA;Infantry Proponent;Medium;M502004;x
502013;Head of State;胡漢民 (フー・ハンミン）;35;PA;Die-hard Reformer;High;M502013;x
502014;Head of State;陳濟棠 (チェン・チタン）;35;PA;Resigned Generalissimo;High;M502008;x
502015;Chief of Air Force;黄光鋭 (ホアン・クアンルイ）;35;PA;Air Superiority Doctrine;Medium;L50374;x
502016;Head of State;黄紹竑（ホアン・シャオホン）;35;PA;Ruthless Powermonger;High;L50132;x
502017;Head of Government;黄紹竑（ホアン・シャオホン）;35;PA;Old General;High;L50132;x
502018;Foreign Minister;李濟深 (リー・チシェン）;35;PA;The Cloak N Dagger Schemer;Medium;M502001;x
