CHC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
51001;Head of State;毛澤東 (マオ・ツォートン);35;ST;Mao_Zedong_1;High;M51001;x
51002;Head of Government;毛澤東 (マオ・ツォートン);35;ST;Backroom Backstabber;High;M51001;x
51003;Foreign Minister;王稼祥 (ワン・チアシアン);35;ST;General Staffer;High;M51003;x
51004;Minister of Armament;林伯渠 (リン・ボーチュー);35;ST;Military Entrepreneur;High;M51004;x
51005;Minister of Security;謝覚哉 (シー・チューツァイ);35;ST;Man of the People;Medium;M51005;x
51006;Head of Military Intelligence;李克農 (リ・ケヌン);35;ST;Logistics Specialist;Medium;M51006;x
51007;Chief of Staff;朱德 (ヂュ・ドゥー);35;ST;School of Mass Combat;Medium;M51007;x
51008;Chief of Army;朱德 (ヂュ・ドゥー);35;ST;Guns and Butter Doctrine;Low;M51007;x
51009;Chief of Navy;蕭勁光 (シャオ・ジンガン);35;ST;Open Seas Doctrine;Medium;M51009;x
51010;Chief of Air Force;方子翼 (ファン・ツェイ);35;ST;Army Aviation Doctrine;Medium;M51010;x
51012;Head of State;張国燾 (ジャン・グオタオ);37;LE;Ruthless Powermonger;High;M51012;x
51013;Head of State;林伯渠 (リン・ボーチュー);37;LWR;Die-hard Reformer;High;M51004;x
51015;Head of Government;張国燾 (ジャン・グオタオ);37;LE;Ambitious Union Boss;High;M51012;x
51016;Head of Government;林伯渠 (リン・ボーチュー);37;LWR;Flamboyant Tough Guy;High;M51004;x
51018;Foreign Minister;張国燾 (ジャン・グオタオ);42;ST;Ideological Crusader;High;M51012;x
51019;Foreign Minister;李克農 (リ・ケヌン);44;ST;Great Compromiser;Medium;M51006;x
51023;Minister of Armament;曹菊如 (ツァオ・チウジュ);39;ST;Administrative Genius;High;M51023;x
51024;Minister of Armament;郭雲山 (クオ・ユンシェン);41;ST;Air to Ground Proponent;High;M51024;x
51025;Minister of Armament;王豐波 (ワン・フェンポ);43;ST;Laissez-Faire Capitalist;High;M51025;x
51028;Minister of Armament;何元唐 (ヘ・ユアンタン) ;37;LWR;Resource Industrialist;High;M51026;x
51030;Minister of Security;周興 (チョウ・フシン);39;ST;Crime Fighter;Medium;M51030;x
51031;Minister of Security;毛澤東 (マオ・ツォートン);41;ST;Back Stabber;Medium;M51001;x
51032;Minister of Security;林伯渠 (リン・ボーチュー);42;ST;Compassionate Gentleman;High;M51004;x
51033;Minister of Security;高雪 (カオ・フスエ);44;ST;Compassionate Gentleman;High;M51033;x
51037;Head of Military Intelligence;周恩來 (ヂョウ・オンライ);39;ST;Technical Specialist;Medium;M51037;x
51038;Head of Military Intelligence;鄧小平 (ダン・シャオピン);40;ST;Industrial Specialist;Medium;M51038;x
51039;Head of Military Intelligence;王稼祥 (ワン・チアシアン);42;ST;Dismal Enigma;High;M51003;x
51040;Head of Military Intelligence;謝覚哉 (シー・チューツァイ);45;ST;Political Specialist;Medium;M51005;x
51044;Chief of Staff;徐向前 (スー・シャンツェン);41;ST;School of Manoeuvre;Medium;M51044;x
51045;Chief of Staff;陳毅 (チェン・イー);44;ST;School of Psychology;Medium;M51045;x
51049;Chief of Army;高崗 (カオ・カン);40;ST;Elastic Defence Doctrine;Low;M51049;x
51050;Chief of Army;陳毅 (チェン・イー);43;ST;Armoured Spearhead Doctrine;Medium;M51045;x
51051;Head of Government;周恩來 (ヂョウ・オンライ);49;ST;Zhou_Enlai;High;M51051;x
51052;Foreign Minister;周恩來 (ヂョウ・オンライ);49;ST;Ideological Crusader;High;M51051;x
51053;Minister of Armament;彭德懐(ポン・ドーファイ);49;ST;Theoretical Scientist;High;M51053;x
51054;Minister of Security;任弼時 (レン・ビーシー);49;ST;Efficient Sociopath;Medium;M51054;x
51055;Head of Military Intelligence;彭真 (ポン・ヂェン);49;ST;Industrial Specialist;High;M51055;x
51056;Foreign Minister;陳毅 (チェン・イー);58;ST;General Staffer;High;M51045;x
51057;Minister of Armament;林彪  (リン・ピャオ);59;ST;Military Entrepreneur;High;L76324;x
51058;Minister of Security;史良 (シー・リャン);50;ST;Prince of Terror;Medium;M51058;x
51059;Minister of Security;銭瑛 (チェン・イン) ;59;ST;Silent Lawyer;Medium;M51059;x
51060;Minister of Security;曾山 (ゼン・シャン);60;ST;Back Stabber;Medium;M51060;x
51061;Head of Military Intelligence;薄一波 (パク・イッパ);53;ST;Technical Specialist;High;M51061;x
51062;Head of Military Intelligence;李先念 (リー・シエンニエン);54;ST;Logistics Specialist;High;L76322;x
