CHI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
52001;Head of State;林森 (リン・セン);35;PA;Weary Stiffneck;High;M52001;x
52002;Head of Government;蒋介石 (チアン・カイシェク);35;PA;Jiang_Jieshi_1;High;M52002;x
52003;Foreign Minister;張群 (チャン・ツン);35;PA;Great Compromiser;Very High;M52003;x
52004;Minister of Armament;閻錫山 (イェン・シーシャン);35;PA;Corrupt Kleptocrat;Low;M52004;x
52005;Minister of Security;陳果夫 (チェン・クオフ);35;PA;Crooked Kleptocrat;Very High;M52005;x
52006;Head of Military Intelligence;陳立夫 (チェン・リフー);35;PA;Political Specialist;Very High;M52006;x
52007;Chief of Staff;蒋介石 (チアン・カイシェク);35;PA;School of Manoeuvre;Undying;M52002;x
52008;Chief of Army;張學良 (チャン・スエリャン);35;PA;Guns and Butter Doctrine;Low;M52008;x
52009;Chief of Navy;陳紹寛 (チェン・シャオクァン);35;PA;Indirect Approach Doctrine;Medium;M52009;x
52010;Chief of Air Force;周至柔 (チョウ・チージョウ);35;PA;Army Aviation Doctrine;Very High;M52010;x
52022;Head of State;蒋介石 (チアン・カイシェク);43;PA;Resigned Generalissimo;High;M52002;x
52023;Head of State;林森 (リン・セン);39;SC;Weary Stiffneck;High;M52001;x
52024;Head of State;宋子文 (ソン・ズーウェン);43;SC;Autocratic Charmer;High;M52024;x
52025;Head of State;汪兆銘 (ワン・チャオミン);35;PA;Benevolent Gentleman;High;M52011;x
52026;Head of Government;王寵惠 (ワン・チュンホェイ);37;PA;Flamboyant Tough Guy;High;M52026;x
52027;Head of Government;張群 (チャン・ツン);39;PA;Happy Amateur;High;M52003;x
52029;Head of Government;宋子文 (ソン・ズーウェン);45;PA;Political Protege;High;M52024;x
52030;Head of Government;孔祥煕 (クン・シャンシ);38;PA;Silent Workhorse;High;M52030;x
52031;Head of Government;李宗仁 (リー・ツンジェン);43;SC;Corporate Suit;High;M52031;x
52032;Head of Government;王克敏 (ワン・ケミン);35;FA;Backroom Backstabber;High;M52012;x
52033;Foreign Minister;王寵惠 (ワン・チュンホェイ);37;PA;Ideological Crusader;Medium;M52026;x
52035;Foreign Minister;林蔚 (リン・ウェイ);39;PA;General Staffer;High;M52035;x
52036;Foreign Minister;沈醉 (シェン・ツイ);40;PA;Apologetic Clerk;Very High;M52036;x
52037;Foreign Minister;陳果夫 (チェン・クオフ);41;PA;Great Compromiser;Low;M52005;x
52038;Foreign Minister;王世杰 (ワン・シーチー);45;PA;Iron Fisted Brute;Medium;M52038;x
52039;Foreign Minister;林森 (リン・セン);39;SC;Ideological Crusader;Medium;M52001;x
52040;Foreign Minister;宋子文 (ソン・ズーウェン);41;PA;The Cloak N Dagger Schemer;Medium;M52024;x
52041;Foreign Minister;汪兆銘 (ワン・チャオミン);35;PA;Biased Intellectual;Medium;M52011;x
52042;Foreign Minister;陳群 (チェン・クン);38;PA;Apologetic Clerk;Medium;M52013;x
52043;Foreign Minister;楊魯昌 (ヤン・ルーチャン);44;FA;Great Compromiser;Medium;M52043;x
52045;Minister of Armament;白崇禧 (パイ・チュンシ);37;PA;Resource Industrialist;Low;M52045;x
52046;Minister of Armament;徐永昌 (シュー・ユンチャン);38;PA;Theoretical Scientist;High;M52046;x
52047;Minister of Armament;黄鎭球 (ホアン・チェンツオ);39;PA;Military Entrepreneur;High;M52047;x
52048;Minister of Armament;何應欽 (ヘ・インキン);39;PA;Air Superiority Proponent;High;M52048;x
52049;Minister of Armament;陳果夫 (チェン・クオフ);40;PA;Laissez-Faire Capitalist;Low;M52005;x
52050;Minister of Armament;蔡文治 (ツァイ・ウェンチー);41;PA;Tank Proponent;High;M52050;x
52051;Minister of Armament;賀國光 (ホー・クオカン);42;PA;Air to Ground Proponent;High;M52051;x
52052;Minister of Armament;陳紹寛 (チェン・シャオクァン);42;PA;Battle Fleet Proponent;Medium;M52009;x
52053;Minister of Armament;于飛鵬 (ユ・フェイペン);42;PA;Infantry Proponent;High;M52053;x
52054;Minister of Armament;王叔銘 (ワン・シュウミン);43;PA;Air to Sea Proponent;High;M52054;x
52055;Minister of Armament;蒋經國 (チアン・チンクオ);45;PA;Administrative Genius;High;M52055;x
