CHL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
44001;Head of State;アルトゥーロ・アレッサンドリ・パルマ;36;SL;Stern Imperialist;High;M44001;x
44002;Head of Government;グスタボ・ロス・サンタ・マリア;36;SL;Naive Optimist;High;M44002;x
44003;Foreign Minister;ミゲル・クルチャガ・タコマール;36;SL;Iron Fisted Brute;Medium;M44003;x
44004;Minister of Armament;エドゥアルド・イルマン;36;SL;Resource Industrialist;High;M44004;x
44005;Minister of Security;アルトゥーロ・アレッサンドリ・パルマ;36;SL;Compassionate Gentleman;Medium;M44001;x
44006;Head of Military Intelligence;フリオ・アラルド・ピント;36;SL;Naval Intelligence Specialist;Medium;M44006;x
44007;Chief of Staff;C・J・デ・ラ・モッテ;36;SL;School of Fire Support;Medium;M44007;x
44008;Chief of Army;E・ノボア・フエンテス;36;SL;Static Defence Doctrine;Medium;M44008;x
44009;Chief of Navy;C・J・デ・ラ・モッテ;36;SL;Open Seas Doctrine;Medium;M44007;x
44010;Chief of Air Force;ダリオ・ムヒカ・ガンボア;36;SL;Air Superiority Doctrine;Medium;M44010;x
44031;Head of State;ペドロ・アギレ・セルダ;38;SD;Benevolent Gentleman;High;M44031;x
44032;Head of State;アントニオ・J・ロイス・モラレス;42;SD;Weary Stiffneck;High;M44032;x
44033;Head of State;ガブリエル・ゴンサレス・ビデラ;46;SD;Popular Figurehead;High;M44033;x
44035;Head of State;カルロス・イバニェス・デル・カンポ;46;SC;Resigned Generalissimo;High;M44035;x
44036;Head of State;カルロス・イバニェス・デル・カンポ;42;PA;Resigned Generalissimo;High;M44035;x
44037;Head of State;J・G・フォン・マレース;38;FA;Autocratic Charmer;High;M44011;x
44038;Head of State;マーマデューク・グロベ;38;LE;Barking Buffoon;High;M44021;x
44039;Head of State;サルバドル・アジェンデ;45;LWR;Die-hard Reformer;High;M44039;x
44040;Head of Government;ペドロ・アギレ・セルダ;38;SD;Political Protege;High;M44031;x
44041;Head of Government;アントニオ・J・ロイス・モラレス;42;SD;Flamboyant Tough Guy;High;M44032;x
44042;Head of Government;ガブリエル・ゴンサレス・ビデラ;46;SD;Backroom Backstabber;High;M44033;x
44043;Head of Government;アルトゥーロ・アレッサンドリ・パルマ;37;SL;Smiling Oilman;High;M44001;x
44044;Head of Government;グスタボ・ロス・サンタ・マリア;38;SC;Naive Optimist;High;M44002;x
44045;Head of Government;マヌエル・モラ・ミランダ;42;SC;Happy Amateur;High;M44045;x
44046;Head of Government;カルロス・イバニェス・デル・カンポ;42;PA;Old General;High;M44035;x
44047;Head of Government;ミサエル・ガリェギリョス;38;FA;Ambitious Union Boss;High;M44012;x
44048;Head of Government;C・L・ブレスト・リフォ;38;LE;Old Admiral;High;M44022;x
44049;Head of Government;マーマデューク・グロベ;42;LE;old airmarshal;High;M44021;x
44050;Head of Government;サルバドル・アジェンデ;45;LWR;Naive Optimist;NA;M44039;x
44051;Foreign Minister;アブラーム・オルエガ・アグアヨ;38;SD;Iron Fisted Brute;Medium;M44051;x
44052;Foreign Minister;クリストバル・サエンス・セルダ;40;SD;Apologetic Clerk;Medium;M44052;x
44053;Foreign Minister;マヌエル・モラ・ミランダ;40;SD;Great Compromiser;Medium;M44045;x
44054;Foreign Minister;マヌエル・ビアンチ・グンディアン;40;SD;Iron Fisted Brute;Medium;M44054;x
