CON;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
574001;Head of State;ムタラ・ルダヒグワ3世;36;ML;Autocratic Charmer;High;M574001;x
574002;Head of Government;ピエール・リックマンス;36;ML;Silent Workhorse;High;M574002;x
574003;Foreign Minister;ウジェーヌ・ヨンゲルス;36;ML;Apologetic Clerk;High;M574003;x
574004;Minister of Armament;ジェラール・シルヴェルクルイス男爵;36;ML;Administrative Genius;Medium;M574004;x
574005;Minister of Security;ヴィルヘルム・デルイケ;36;ML;Crime Fighter;Medium;M574005;x
574006;Head of Military Intelligence;ティエリー・ド・フラマンジュ;36;ML;Logistics Specialist;Medium;M574006;x
574007;Chief of Staff;ティエリー・ド・フラマンジュ;36;ML;School of Psychology;Medium;M574006;x
574008;Chief of Army;ポール・ヴァン・レインデン;36;ML;Elastic Defence Doctrine;Medium;M574008;x
574009;Chief of Navy;ポール・ヴァン・レインデン;36;ML;Base Control Doctrine;Medium;M574008;x
574010;Chief of Air Force;ピエール・P・パスカル;36;ML;Army Aviation Doctrine;Medium;M574010;x
574011;Head of State;ムワンブツァ・バンギリセンゲ4世;36;PA;Benevolent Gentleman;High;M574011;x
574012;Head of State;ジョゼフ・カサヴブ;36;LWR;Ruthless Powermonger;High;M574012;x
574013;Head of Government;ヘンドリック・J・エリアス;36;PA;Naive Optimist;High;M15039;x
574014;Head of Government;パトリス・ルムンバ;36;LWR;Ambitious Union Boss;High;M574014;x
574015;Foreign Minister;ポール・オウヴェル;36;PA;Biased Intellectual;High;M15075;x
574016;Foreign Minister;モイゼ・チョンベ;36;LWR;The Cloak N Dagger Schemer;High;M574016;x
574017;Foreign Minister;アントワーヌ・ギゼンガ;42;LWR;Ideological Crusader;High;M574017;x
574018;Minister of Armament;ヘンリー・M・フラグラー;36;PA;laissez-faire capitalist;Medium;M574018;x
574019;Minister of Armament;グレゴリー・カイバンダ;36;LWR;Corrupt Kleptocrat;Medium;M574019;x
574020;Minister of Armament;ジョゼフ・バミナ;43;LWR;Air to Ground Proponent;Medium;M574020;x
574021;Minister of Security;アルビン・ニャモヤ;36;PA;Crooked Kleptocrat;Medium;M574021;x
574022;Minister of Security;ミシェル・ミコンベロ;44;PA;Back Stabber;Medium;M574022;x
574023;Minister of Security;シャルル・ヌディゼイエ;36;LWR;Compassionate Gentleman;Medium;M574023;x
574024;Head of Military Intelligence;アントワーヌ・ラピエール;36;PA;Dismal Enigma;Medium;M574024;x
574025;Head of Military Intelligence;アンドレ・ムヒルヴァ;36;LWR;Industrial Specialist;Medium;M574025;x
574026;Chief of Staff;ガストン・ルノンドー;36;PA;School of Defence;Medium;M574026;x
574027;Chief of Staff;ジョゼフ・カサヴブ;36;LWR;School of Manoeuvre;Medium;M574027;x
574028;Chief of Army;ラウル・ドフレトゥール;42;ML;Armoured Spearhead Doctrine;Medium;M574028;x
574029;Chief of Army;マチュー・ルマネン;36;PA;Static Defence Doctrine;Medium;M574029;x
574030;Chief of Army;ジョゼフ・D・モブツ;36;LWR;Guns and Butter Doctrine;Medium;M574030;x
574031;Chief of Navy;ゲリト・ベルゲン;36;PA;Indirect Approach Doctrine;Medium;M574031;x
574032;Chief of Navy;ドミニク・ムボニュムトワ;43;PA;Power Projection Doctrine;Medium;M574032;x
574033;Chief of Navy;ジャン・ピエール・ラファージュ;36;LWR;Open Seas Doctrine;Medium;M574033;x
574034;Chief of Air Force;ゲリト・ベルゲン;36;PA;Naval Aviation Doctrine;Medium;M574031;x
574035;Chief of Air Force;ルイ・ルワガソル;36;LWR;Carpet Bombing Doctrine;Medium;M574035;x
