CSA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
573001;Head of State;アール・ケンプス・ロング;36;SC;Popular Figurehead;High;M573001;x
573002;Head of Government;リチャード・ウェブスター・レチェ;36;SC;Naive Optimist;High;M573002;x
573003;Foreign Minister;ランサム・ジャッド・ウィリアムズ;36;SC;Apologetic Clerk;High;M573003;x
573004;Minister of Armament;スペサード・リンゼー・ホーランド;36;SC;Air Superiority Proponent;Medium;M573004;x
573005;Minister of Security;ポール・バーニー・ジョンソン・シニア;36;SC;Silent Lawyer;Medium;M573005;x
573006;Head of Military Intelligence;ロバート・G・チェリー;36;SC;Industrial Specialist;Medium;M573006;x
573007;Chief of Staff;ウィリアム・S・グレイヴス;36;SC;School of Mass Combat;Medium;M573007;x
573008;Chief of Army;ヘンリー・ジュエット;36;SC;Elastic Defence Doctrine;Medium;M573008;x
573009;Chief of Navy;エドワード・I・ボーン;36;SC;Indirect Approach Doctrine;Medium;M573009;x
573010;Chief of Air Force;ケネス・ウォーカー;36;SC;Army Aviation Doctrine;Medium;M573010;x
573011;Foreign Minister;サム・ヒューストン・ジョーンズ;41;SC;The Cloak N Dagger Schemer;High;M573011;x
573012;Foreign Minister;クライド・ロアーク・ヘイ;42;SC;Biased Intellectual;High;M573012;x
573013;Foreign Minister;ユージン・タルマッジ;42;SC;Iron Fisted Brute;High;M573013;x
573014;Foreign Minister;ジョン・C・B・エリングハウス;43;SC;General Staffer;High;M573014;x
573015;Foreign Minister;ジェームズ・ヒューストン・デイヴィス;45;SC;Ideological Crusader;High;M573015;x
573016;Foreign Minister;チャンウシー・スパークス;45;SC;Great Compromiser;High;M573016;x
573017;Minister of Armament;ハリー・ヒル・マカリスター;37;SC;Infantry Proponent;Medium;M573017;x
573018;Minister of Armament;デイヴィッド・ビッブ・グレイヴィス;37;SC;Laissez-Faire Capitalist;Medium;M573018;x
573019;Minister of Armament;カール・ベイリー;38;SC;Strategic Air Proponent;Medium;M573019;x
573020;Minister of Armament;ジュニアス・M・フットレル;39;SC;Resource Industrialist;Medium;M573020;x
573021;Minister of Armament;コルゲート・W・ダーデン・ジュニア;40;SC;Administrative Genius;Medium;M573021;x
573022;Minister of Armament;バーネット・レット・メイバンク;40;SC;Air to Ground Proponent;Medium;M573022;x
573023;Minister of Armament;フレデリック・プレイストン・コーン;41;SC;Air to Sea Proponent;Medium;M573023;x
573024;Minister of Armament;ジム・ナンス・マッコード;42;SC;Military Entrepreneur;Medium;M573024;x
573025;Minister of Armament;オリン・デウィット・ジョンストン;43;SC;Tank Proponent;Medium;M573025;x
573026;Minister of Armament;アルバート・B・チャンドラー;45;SC;Battle Fleet Proponent;Medium;M573026;x
573027;Minister of Armament;デイヴィッド・ショルツ;46;SC;Submarine Proponent;Medium;M573027;x
