CSX;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
503001;Head of State;閻錫山 (イェン・シーシャン);35;PA;Yan_Xishan;High;L50348;x
503002;Head of Government;閻錫山 (イェン・シーシャン);35;PA;Smiling Oilman;High;L50348;x
503003;Foreign Minister;王贊緒 (ワン・ツァンシュー);35;PA;Iron Fisted Brute;High;L50323;x
503004;Minister of Armament;傅作義 (フ・ズオイー);35;PA;Air to Ground Proponent;Medium;L50085;x
503005;Minister of Security;曲楊科 (ク・ヤンケ);35;PA;Prince of Terror;Medium;M503005;x
503006;Head of Military Intelligence;商震 (シャン・チェン);35;PA;Naval Intelligence Specialist;Medium;M503006;x
503007;Chief of Staff;閻錫山 (イェン・シーシャン);35;PA;School of Defence;Medium;L50348;x
503008;Chief of Army;閻錫山 (イェン・シーシャン);35;PA;Armoured Spearhead Doctrine;Medium;L50348;x
503009;Chief of Navy;ドミトリー・クロルチェフ;35;PA;Base Control Doctrine;Medium;M503009;x
503010;Chief of Air Force;閻錫山 (イェン・シーシャン);35;PA;Carpet Bombing Doctrine;Medium;L50348;x
