DEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
16001;Head of State;クリスティアン10世;36;SD;Weary Stiffneck;High;M16001;x
16002;Head of Government;トルヴァルト・スタウニング;36;SD;Ambitious Union Boss;High;M16002;x
16003;Foreign Minister;ペーター・ムンク;36;SL;Apologetic Clerk;Medium;M16003;x
16004;Minister of Armament;アルシング・アンデルセン;36;SD;laissez-faire capitalist;High;M16004;x
16005;Minister of Security;カール・クリスティアン・ステインケ;36;SD;Silent Lawyer;High;M16005;x
16006;Head of Military Intelligence;エリク・メルツ;36;SL;Logistics Specialist;High;M16006;x
16007;Chief of Staff;ウィリアム・ヴァイン・プリオル;36;SL;School of Defence;Medium;M16007;x
16008;Chief of Army;エリク・ウィット;36;SD;Static Defence Doctrine;High;M16008;x
16009;Chief of Navy;ヤルマル・レクニッツァー;36;SD;Indirect Approach Doctrine;High;M16009;x
16010;Chief of Air Force;K・W・エッセマン;36;SL;Army Aviation Doctrine;Very High;M16010;x
16034;Head of State;クリスティアン10世;43;PA;Weary Stiffneck;High;M16001;x
16036;Head of State;フリッツ・クラウセン;38;FA;Insignificant Layman;High;M16011;x
16037;Head of State;アクセル・ラーセン;38;ST;Powerhungry Demagogue;High;M16021;x
16039;Head of Government;ヴィルヘルム・ブール;42;SD;Flamboyant Tough Guy;High;M16039;x
16040;Head of Government;エーリク・スカヴェニウス;42;SL;Silent Workhorse;High;M16040;x
16041;Head of Government;クリスマス・ムラー;36;SC;Happy Amateur;High;M16041;x
16042;Head of Government;オーレ・ビュルン・クラフト;42;SC;Smiling Oilman;High;M16042;x
16043;Head of Government;クヌート・イェスペルセン;45;ML;Political Protege;High;M16043;x
16044;Head of Government;フリッツ・クラウセン;38;NS;Naive Optimist;High;M16011;x
16045;Head of Government;オットー・ボーヴェンシーペン;43;PA;Old General;High;M16045;x
16046;Head of Government;アクセル・ラーセン;38;ST;Backroom Backstabber;High;M16021;x
16048;Foreign Minister;エーリク・スカヴェニウス;40;SL;Biased Intellectual;Very High;M16040;x
16049;Foreign Minister;ハンス・ヘドトフト;45;SD;Great Compromiser;Very High;M16049;x
16050;Foreign Minister;オーレ・ビュルン・クラフト;38;SC;Great Compromiser;Medium;M16042;x
16051;Foreign Minister;オットー・カール・モーア;42;ML;Ideological Crusader;High;M16051;x
16052;Foreign Minister;クリスマス・ムラー;45;SC;Biased Intellectual;Medium;M16041;x
16053;Foreign Minister;グスタフ・ラスムセン;45;ML;The Cloak N Dagger Schemer;Medium;M16053;x
16054;Foreign Minister;アクセル・クリスティアン・ハーテル;38;NS;Ideological Crusader;Low;M16013;x
16055;Foreign Minister;アルベルト・オルセン;38;LWR;General Staffer;High;M16023;x
16056;Foreign Minister;イブ・ヌルンド;45;ST;Iron Fisted Brute;High;M16056;x
16057;Foreign Minister;ヘンリク・ハウク;43;PA;Apologetic Clerk;Low;M16057;x
16059;Minister of Armament;ヴィルヘルム・ブール;40;SD;Battle Fleet Proponent;High;M16039;x
16060;Minister of Armament;ハンス・ヘドトフト;42;SD;Resource Industrialist;Very High;M16049;x
16061;Minister of Armament;グンナー・ラーセン;42;SL;Administrative Genius;Very High;M16061;x
16062;Minister of Armament;ヴィゴー・カンプマン;53;SD;Administrative Genius;Very High;M16062;x
16063;Minister of Armament;セーレン・ブローセン;38;SC;Theoretical Scientist;High;M16063;x
16064;Minister of Armament;クヌート・イェスペルセン;41;ML;Infantry Proponent;High;M16043;x
16065;Minister of Armament;ハルフダン・ヘンリクセン;42;ML;Air to Ground Proponent;High;M16065;x
16066;Minister of Armament;オーレ・ビュルン・クラフト;45;SC;Resource Industrialist;Medium;M16042;x
16067;Minister of Armament;クリステン・ニールセン・ハウゲ;45;ML;laissez-faire capitalist;Medium;M16067;x
16068;Minister of Armament;ユルゲン・セヘステッド;38;NS;Infantry Proponent;High;M16014;x
16069;Minister of Armament;C・V・ブランスンス;43;PA;laissez-faire capitalist;High;M16069;x
16070;Minister of Armament;アルフレート・イェンセン;38;ST;Tank Proponent;High;M16024;x
16071;Minister of Armament;ニールス・ボーア;45;LWR;Theoretical Scientist;Very High;M16071;x
16072;Minister of Security;トルヴァルト・スタウニング;37;SD;Crime Fighter;Very High;M16002;x
16074;Minister of Security;ペーター・クリスティアン・スコー;40;SL;Back Stabber;High;M16074;x
