DFR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
506001;Head of State;テオドール・ホイス;36;SC;Insignificant Layman;High;M38;x
506002;Head of Government;コンラート・アデナウアー;36;SC;Corporate Suit;High;M50;x
506003;Foreign Minister;コンラート・アデナウアー;36;SC;Great Compromiser;Very High;M50;x
506004;Minister of Armament;フランツ・エッツェル;36;SC;Infantry Proponent;Medium;M506004;x
506005;Minister of Security;ロベルト・レーア;36;SC;Man of the People;Medium;M506040;x
506006;Head of Military Intelligence;テオドール・ブランク;36;SC;Political Specialist;Medium;M506006;x
506007;Chief of Staff;オスカー・ハンゼン;36;SC;School of Manoeuvre;Medium;L118;x
506008;Chief of Army;ハンス・シュパイデル;36;SC;Armoured Spearhead Doctrine;Medium;L506191;x
506009;Chief of Navy;ヘルマン・モーツ;36;SC;Indirect Approach Doctrine;Medium;L506297;x
506010;Chief of Air Force;アルフレート・ブロヴィウス;36;SC;Air Superiority Doctrine;Medium;L431;x
506011;Head of Government;クルト・シューマッハー;36;SD;Ambitious Union Boss;High;M506011;x
506012;Head of Government;フランツ・ブリュッハー;36;ML;Political Protege;High;M506012;x
506013;Foreign Minister;ハリンリヒ・フォン・ブレンターノ;36;SC;Ideological Crusader;Very High;M506013;x
506014;Foreign Minister;エーリヒ・オレンハウアー;36;SD;Iron Fisted Brute;Very High;M506014;x
506015;Foreign Minister;トーマス・デーラー;36;ML;Apologetic Clerk;Very High;M506015;x
506016;Minister of Armament;フリッツ・シャファー;36;SC;Laissez-Faire Capitalist;Very High;M103;x
506017;Minister of Armament;ルートヴィヒ・エアハルト;36;SC;Administrative Genius;Very High;M104;x
506018;Minister of Armament;ハインリヒ・ヴィルヘルム・コプフ;36;SD;Resource Industrialist;Very High;M506018;x
506019;Minister of Armament;ハインツ・シュタルケ;36;ML;Theoretical Scientist;Very High;M506019;x
506020;Minister of Security;カール・アーノルト;36;SC;Crime Fighter;High;M129;x
506021;Minister of Security;グスタフ・ハイネマン;36;SC;Silent Lawyer;High;M130;x
506022;Minister of Security;ゲアハルト・シュレーダー;36;SC;Back Stabber;High;M506022;x
506023;Minister of Security;ゲオルク・アウグスト・ツィン;36;SD;Prince of Terror;High;M506023;x
506024;Minister of Security;ラインホルト・マイアー;36;ML;Compassionate Gentleman;High;M506024;x
506025;Head of Military Intelligence;ハンス・エハルト;36;SC;Logistics Specialist;High;M149;x
506026;Head of Military Intelligence;ラインハルト・ゲーレン;36;SC;Dismal Enigma;High;M506026;x
