DOM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
49001;Head of State;ラファエル・トルヒーヨ;36;PA;Barking Buffoon;High;M49001;x
49002;Head of Government;ハシント・ビエンベニード・ペイナード;36;PA;Naive Optimist;High;M49002;x
49003;Foreign Minister;エリアス・ブラチェ;36;PA;Great Compromiser;Medium;M49003;x
49004;Minister of Armament;マヌエル・デ・ヘスス・トロンコソ;36;PA;Infantry Proponent;Medium;M49004;x
49005;Minister of Security;ラファエル・トルヒーヨ;36;PA;Prince of Terror;Low;M49001;x
49006;Head of Military Intelligence;ヘスス・ダ・コスタ・ルイス;36;PA;Technical Specialist;Medium;M49006;x
49007;Chief of Staff;ラファエル・トルヒーヨ;36;PA;School of Defence;Low;M49001;x
49008;Chief of Army;ラファエル・トルヒーヨ;36;PA;Static Defence Doctrine;Low;M49008;x
49009;Chief of Navy;ウンベルト・ロハス;36;PA;Indirect Approach Doctrine;Medium;M49009;x
49010;Chief of Air Force;アニバル・バリェホ・ソーサ;36;PA;Air Superiority Doctrine;Low;M49010;x
49031;Head of State;ハシント・ビエンベニード・ペイナード;38;PA;Insignificant Layman;High;M49002;x
49032;Head of State;マヌエル・デ・ヘスス・トロンコソ;40;PA;Benevolent Gentleman;High;M49004;x
49034;Head of State;エリアス・ブラチェ;38;SC;Weary Stiffneck;High;M49003;x
49035;Head of State;ラファエル・エスパイリャ;46;SC;Popular Figurehead;High;M49035;x
49036;Head of State;フランク・フェリス・ミランダ;38;LWR;Popular Figurehead;High;M49030;x
49037;Head of State;フランシスコ・プラス・ラミレス;42;LWR;Autocratic Charmer;High;M49037;x
49038;Head of Government;マヌエル・デ・ヘスス・トロンコソ;38;PA;Silent Workhorse;High;M49004;x
49039;Head of Government;ラファエル・トルヒーヨ;40;PA;Backroom Backstabber;High;M49001;x
49040;Head of Government;アルベルト・ガルシア・ビエンダ;38;SC;Happy Amateur;High;M49015;x
49041;Head of Government;ラファエル・エスパイリャ;42;SC;Political Protege;High;M49035;x
49042;Head of Government;ラファエル・ボネリ・フォンドゥール;46;SC;Smiling Oilman;High;M49042;x
49043;Head of Government;フランシスコ・プラス・ラミレス;38;LWR;Happy Amateur;High;M49037;x
49044;Head of Government;マリオ・インベルト・マグレゴル;42;SD;Corporate Suit;High;M49026;x
